itemName,trialNr,submission_id,targetOption,answerType,response,categorized_response,by_trial_nr
blanket-transportation,3,3802,itemQuestion,sameCategory,82,itemQuestion,7
blanket-transportation,3,3802,itemQuestion,otherCategory,46,itemQuestion,7
blanket-transportation,3,3802,itemQuestion,mostSimilar,40,itemQuestion,7
sugar-baking,4,3802,itemQuestion,itemQuestion,97,itemQuestion,8
sugar-baking,4,3802,itemQuestion,competitor,68,itemQuestion,8
sugar-baking,4,3802,itemQuestion,sameCategory,32,itemQuestion,8
sugar-baking,4,3802,itemQuestion,otherCategory,25,itemQuestion,8
sugar-baking,4,3802,itemQuestion,mostSimilar,73,itemQuestion,8
blanket-sleepover,1,3803,itemQuestion,itemQuestion,100,itemQuestion,9
blanket-sleepover,1,3803,itemQuestion,competitor,100,itemQuestion,9
blanket-sleepover,1,3803,itemQuestion,sameCategory,13,itemQuestion,9
blanket-sleepover,1,3803,itemQuestion,otherCategory,27,itemQuestion,9
blanket-sleepover,1,3803,itemQuestion,mostSimilar,60,itemQuestion,9
bottle-plants,2,3803,itemQuestion,itemQuestion,100,itemQuestion,10
bottle-plants,2,3803,itemQuestion,competitor,100,itemQuestion,10
bottle-plants,2,3803,itemQuestion,sameCategory,88,itemQuestion,10
bottle-plants,2,3803,itemQuestion,otherCategory,0,itemQuestion,10
bottle-plants,2,3803,itemQuestion,mostSimilar,89,itemQuestion,10
sugar-coffee,3,3803,itemQuestion,itemQuestion,100,itemQuestion,11
sugar-coffee,3,3803,itemQuestion,competitor,80,itemQuestion,11
sugar-coffee,3,3803,itemQuestion,sameCategory,73,itemQuestion,11
sugar-coffee,3,3803,itemQuestion,otherCategory,0,itemQuestion,11
sugar-coffee,3,3803,itemQuestion,mostSimilar,73,itemQuestion,11
umbrella-summer,5,3803,itemQuestion,itemQuestion,100,itemQuestion,12
umbrella-summer,5,3803,itemQuestion,competitor,1,itemQuestion,12
umbrella-summer,5,3803,itemQuestion,sameCategory,81,itemQuestion,12
umbrella-summer,5,3803,itemQuestion,otherCategory,41,itemQuestion,12
umbrella-summer,5,3803,itemQuestion,mostSimilar,59,itemQuestion,12
handkerchief-injury,1,3804,itemQuestion,itemQuestion,100,itemQuestion,13
handkerchief-injury,1,3804,itemQuestion,competitor,87,itemQuestion,13
handkerchief-injury,1,3804,itemQuestion,sameCategory,100,itemQuestion,13
handkerchief-injury,1,3804,itemQuestion,otherCategory,0,itemQuestion,13
handkerchief-injury,1,3804,itemQuestion,mostSimilar,83,itemQuestion,13
blanket-sleepover,2,3804,itemQuestion,itemQuestion,100,itemQuestion,14
blanket-sleepover,2,3804,itemQuestion,competitor,100,itemQuestion,14
blanket-sleepover,2,3804,itemQuestion,sameCategory,0,itemQuestion,14
blanket-sleepover,2,3804,itemQuestion,otherCategory,0,itemQuestion,14
blanket-sleepover,2,3804,itemQuestion,mostSimilar,59,itemQuestion,14
pot-garden,3,3804,itemQuestion,itemQuestion,100,itemQuestion,15
pot-garden,3,3804,itemQuestion,competitor,0,itemQuestion,15
pot-garden,3,3804,itemQuestion,sameCategory,0,itemQuestion,15
pot-garden,3,3804,itemQuestion,otherCategory,0,itemQuestion,15
pot-garden,3,3804,itemQuestion,mostSimilar,0,itemQuestion,15
sweatpants-sleepover,5,3804,itemQuestion,itemQuestion,100,itemQuestion,16
sweatpants-sleepover,5,3804,itemQuestion,competitor,0,itemQuestion,16
sweatpants-sleepover,5,3804,itemQuestion,sameCategory,0,itemQuestion,16
sweatpants-sleepover,5,3804,itemQuestion,otherCategory,0,itemQuestion,16
sweatpants-sleepover,5,3804,itemQuestion,mostSimilar,0,itemQuestion,16
bottle-water,1,3805,itemQuestion,itemQuestion,100,itemQuestion,17
bottle-water,1,3805,itemQuestion,competitor,36,itemQuestion,17
bottle-water,1,3805,itemQuestion,sameCategory,0,itemQuestion,17
bottle-water,1,3805,itemQuestion,otherCategory,0,itemQuestion,17
bottle-water,1,3805,itemQuestion,mostSimilar,7,itemQuestion,17
blanket-transportation,3,3805,itemQuestion,itemQuestion,100,itemQuestion,18
blanket-transportation,3,3805,itemQuestion,competitor,57,itemQuestion,18
blanket-transportation,3,3805,itemQuestion,sameCategory,42,itemQuestion,18
blanket-transportation,3,3805,itemQuestion,otherCategory,38,itemQuestion,18
blanket-transportation,3,3805,itemQuestion,mostSimilar,33,itemQuestion,18
umbrella-rain,4,3805,itemQuestion,itemQuestion,100,itemQuestion,19
umbrella-rain,4,3805,itemQuestion,competitor,100,itemQuestion,19
umbrella-rain,4,3805,itemQuestion,sameCategory,0,itemQuestion,19
umbrella-rain,4,3805,itemQuestion,otherCategory,11,itemQuestion,19
umbrella-rain,4,3805,itemQuestion,mostSimilar,65,itemQuestion,19
box-bbq,5,3805,itemQuestion,itemQuestion,100,itemQuestion,20
box-bbq,5,3805,itemQuestion,competitor,58,itemQuestion,20
box-bbq,5,3805,itemQuestion,sameCategory,62,itemQuestion,20
box-bbq,5,3805,itemQuestion,otherCategory,10,itemQuestion,20
box-bbq,5,3805,itemQuestion,mostSimilar,29,itemQuestion,20
sugar-coffee,1,3806,itemQuestion,itemQuestion,100,itemQuestion,21
sugar-coffee,1,3806,itemQuestion,competitor,81,itemQuestion,21
sugar-coffee,1,3806,itemQuestion,sameCategory,63,itemQuestion,21
sugar-coffee,1,3806,itemQuestion,otherCategory,0,itemQuestion,21
sugar-coffee,1,3806,itemQuestion,mostSimilar,80,itemQuestion,21
sweatpants-sleepover,2,3806,itemQuestion,itemQuestion,100,itemQuestion,22
sweatpants-sleepover,2,3806,itemQuestion,competitor,67,itemQuestion,22
sweatpants-sleepover,2,3806,itemQuestion,sameCategory,67,itemQuestion,22
sweatpants-sleepover,2,3806,itemQuestion,otherCategory,0,itemQuestion,22
sweatpants-sleepover,2,3806,itemQuestion,mostSimilar,69,itemQuestion,22
pot-garden,3,3806,itemQuestion,itemQuestion,100,itemQuestion,23
pot-garden,3,3806,itemQuestion,competitor,0,itemQuestion,23
pot-garden,3,3806,itemQuestion,sameCategory,38,itemQuestion,23
pot-garden,3,3806,itemQuestion,otherCategory,0,itemQuestion,23
pot-garden,3,3806,itemQuestion,mostSimilar,34,itemQuestion,23
candy-halloween,5,3806,itemQuestion,itemQuestion,100,itemQuestion,24
candy-halloween,5,3806,itemQuestion,competitor,71,itemQuestion,24
candy-halloween,5,3806,itemQuestion,sameCategory,7,itemQuestion,24
candy-halloween,5,3806,itemQuestion,otherCategory,12,itemQuestion,24
candy-halloween,5,3806,itemQuestion,mostSimilar,67,itemQuestion,24
towel-hair,2,3807,itemQuestion,itemQuestion,100,itemQuestion,25
towel-hair,2,3807,itemQuestion,competitor,100,itemQuestion,25
towel-hair,2,3807,itemQuestion,sameCategory,100,itemQuestion,25
towel-hair,2,3807,itemQuestion,otherCategory,74,itemQuestion,25
towel-hair,2,3807,itemQuestion,mostSimilar,57,itemQuestion,25
candy-halloween,3,3807,itemQuestion,itemQuestion,100,itemQuestion,26
candy-halloween,3,3807,itemQuestion,competitor,100,itemQuestion,26
candy-halloween,3,3807,itemQuestion,sameCategory,0,itemQuestion,26
candy-halloween,3,3807,itemQuestion,otherCategory,0,itemQuestion,26
candy-halloween,3,3807,itemQuestion,mostSimilar,94,itemQuestion,26
postit-board,4,3807,itemQuestion,itemQuestion,100,itemQuestion,27
postit-board,4,3807,itemQuestion,competitor,100,itemQuestion,27
postit-board,4,3807,itemQuestion,sameCategory,79,itemQuestion,27
postit-board,4,3807,itemQuestion,otherCategory,29,itemQuestion,27
postit-board,4,3807,itemQuestion,mostSimilar,79,itemQuestion,27
bottle-plants,5,3807,itemQuestion,itemQuestion,100,itemQuestion,28
bottle-plants,5,3807,itemQuestion,competitor,100,itemQuestion,28
bottle-plants,5,3807,itemQuestion,sameCategory,55,itemQuestion,28
bottle-plants,5,3807,itemQuestion,otherCategory,0,itemQuestion,28
bottle-plants,5,3807,itemQuestion,mostSimilar,100,itemQuestion,28
blanket-transportation,1,3808,itemQuestion,itemQuestion,100,itemQuestion,29
blanket-transportation,1,3808,itemQuestion,competitor,100,itemQuestion,29
blanket-transportation,1,3808,itemQuestion,sameCategory,100,itemQuestion,29
blanket-transportation,1,3808,itemQuestion,otherCategory,73,itemQuestion,29
blanket-transportation,1,3808,itemQuestion,mostSimilar,26,itemQuestion,29
broom-snow,2,3808,itemQuestion,itemQuestion,100,itemQuestion,30
broom-snow,2,3808,itemQuestion,competitor,100,itemQuestion,30
broom-snow,2,3808,itemQuestion,sameCategory,0,itemQuestion,30
broom-snow,2,3808,itemQuestion,otherCategory,0,itemQuestion,30
broom-snow,2,3808,itemQuestion,mostSimilar,81,itemQuestion,30
candy-dessert,3,3808,itemQuestion,itemQuestion,100,itemQuestion,31
candy-dessert,3,3808,itemQuestion,competitor,100,itemQuestion,31
candy-dessert,3,3808,itemQuestion,sameCategory,78,itemQuestion,31
candy-dessert,3,3808,itemQuestion,otherCategory,76,itemQuestion,31
candy-dessert,3,3808,itemQuestion,mostSimilar,100,itemQuestion,31
pot-jam,4,3808,itemQuestion,itemQuestion,100,itemQuestion,32
pot-jam,4,3808,itemQuestion,competitor,0,itemQuestion,32
pot-jam,4,3808,itemQuestion,sameCategory,28,itemQuestion,32
pot-jam,4,3808,itemQuestion,otherCategory,0,itemQuestion,32
pot-jam,4,3808,itemQuestion,mostSimilar,0,itemQuestion,32
box-bbq,1,3809,itemQuestion,itemQuestion,75,itemQuestion,33
box-bbq,1,3809,itemQuestion,competitor,23,itemQuestion,33
box-bbq,1,3809,itemQuestion,sameCategory,34,itemQuestion,33
box-bbq,1,3809,itemQuestion,otherCategory,0,itemQuestion,33
box-bbq,1,3809,itemQuestion,mostSimilar,63,itemQuestion,33
towel-clothes,3,3809,itemQuestion,itemQuestion,91,itemQuestion,34
towel-clothes,3,3809,itemQuestion,competitor,23,itemQuestion,34
towel-clothes,3,3809,itemQuestion,sameCategory,64,itemQuestion,34
towel-clothes,3,3809,itemQuestion,otherCategory,72,itemQuestion,34
towel-clothes,3,3809,itemQuestion,mostSimilar,67,itemQuestion,34
candy-dessert,4,3809,itemQuestion,itemQuestion,96,itemQuestion,35
candy-dessert,4,3809,itemQuestion,competitor,80,itemQuestion,35
candy-dessert,4,3809,itemQuestion,sameCategory,36,itemQuestion,35
candy-dessert,4,3809,itemQuestion,otherCategory,67,itemQuestion,35
candy-dessert,4,3809,itemQuestion,mostSimilar,81,itemQuestion,35
blanket-transportation,5,3809,itemQuestion,itemQuestion,100,itemQuestion,36
blanket-transportation,5,3809,itemQuestion,competitor,0,itemQuestion,36
blanket-transportation,5,3809,itemQuestion,sameCategory,85,itemQuestion,36
blanket-transportation,5,3809,itemQuestion,otherCategory,38,itemQuestion,36
blanket-transportation,5,3809,itemQuestion,mostSimilar,20,itemQuestion,36
bottle-plants,1,3810,itemQuestion,itemQuestion,80,itemQuestion,37
bottle-plants,1,3810,itemQuestion,competitor,100,itemQuestion,37
bottle-plants,1,3810,itemQuestion,sameCategory,46,itemQuestion,37
bottle-plants,1,3810,itemQuestion,otherCategory,26,itemQuestion,37
bottle-plants,1,3810,itemQuestion,mostSimilar,58,itemQuestion,37
postit-board,2,3810,itemQuestion,itemQuestion,100,itemQuestion,38
postit-board,2,3810,itemQuestion,competitor,54,itemQuestion,38
postit-board,2,3810,itemQuestion,sameCategory,79,itemQuestion,38
postit-board,2,3810,itemQuestion,otherCategory,0,itemQuestion,38
postit-board,2,3810,itemQuestion,mostSimilar,15,itemQuestion,38
sweatpants-sleepover,4,3810,itemQuestion,itemQuestion,100,itemQuestion,39
sweatpants-sleepover,4,3810,itemQuestion,competitor,79,itemQuestion,39
sweatpants-sleepover,4,3810,itemQuestion,sameCategory,64,itemQuestion,39
sweatpants-sleepover,4,3810,itemQuestion,otherCategory,0,itemQuestion,39
sweatpants-sleepover,4,3810,itemQuestion,mostSimilar,65,itemQuestion,39
candy-halloween,5,3810,itemQuestion,itemQuestion,100,itemQuestion,40
candy-halloween,5,3810,itemQuestion,competitor,60,itemQuestion,40
candy-halloween,5,3810,itemQuestion,sameCategory,0,itemQuestion,40
candy-halloween,5,3810,itemQuestion,otherCategory,0,itemQuestion,40
candy-halloween,5,3810,itemQuestion,mostSimilar,41,itemQuestion,40
handkerchief-sauce,1,3811,itemQuestion,itemQuestion,100,itemQuestion,41
handkerchief-sauce,1,3811,itemQuestion,competitor,89,itemQuestion,41
handkerchief-sauce,1,3811,itemQuestion,sameCategory,84,itemQuestion,41
handkerchief-sauce,1,3811,itemQuestion,otherCategory,0,itemQuestion,41
handkerchief-sauce,1,3811,itemQuestion,mostSimilar,100,itemQuestion,41
umbrella-rain,2,3811,itemQuestion,itemQuestion,100,itemQuestion,42
umbrella-rain,2,3811,itemQuestion,competitor,100,itemQuestion,42
umbrella-rain,2,3811,itemQuestion,sameCategory,0,itemQuestion,42
umbrella-rain,2,3811,itemQuestion,otherCategory,5,itemQuestion,42
umbrella-rain,2,3811,itemQuestion,mostSimilar,5,itemQuestion,42
towel-clothes,4,3811,itemQuestion,itemQuestion,100,itemQuestion,43
towel-clothes,4,3811,itemQuestion,competitor,68,itemQuestion,43
towel-clothes,4,3811,itemQuestion,sameCategory,81,itemQuestion,43
towel-clothes,4,3811,itemQuestion,otherCategory,12,itemQuestion,43
towel-clothes,4,3811,itemQuestion,mostSimilar,80,itemQuestion,43
pot-jam,5,3811,itemQuestion,itemQuestion,100,itemQuestion,44
pot-jam,5,3811,itemQuestion,competitor,74,itemQuestion,44
pot-jam,5,3811,itemQuestion,sameCategory,0,itemQuestion,44
pot-jam,5,3811,itemQuestion,otherCategory,2,itemQuestion,44
pot-jam,5,3811,itemQuestion,mostSimilar,62,itemQuestion,44
box-muffins,1,3812,itemQuestion,itemQuestion,100,itemQuestion,45
box-muffins,1,3812,itemQuestion,competitor,100,itemQuestion,45
box-muffins,1,3812,itemQuestion,sameCategory,42,itemQuestion,45
box-muffins,1,3812,itemQuestion,otherCategory,10,itemQuestion,45
box-muffins,1,3812,itemQuestion,mostSimilar,9,itemQuestion,45
bottle-plants,2,3812,itemQuestion,itemQuestion,80,itemQuestion,46
bottle-plants,2,3812,itemQuestion,competitor,100,itemQuestion,46
bottle-plants,2,3812,itemQuestion,sameCategory,66,itemQuestion,46
bottle-plants,2,3812,itemQuestion,otherCategory,19,itemQuestion,46
bottle-plants,2,3812,itemQuestion,mostSimilar,60,itemQuestion,46
towel-hair,3,3812,itemQuestion,itemQuestion,100,itemQuestion,47
towel-hair,3,3812,itemQuestion,competitor,48,itemQuestion,47
towel-hair,3,3812,itemQuestion,sameCategory,40,itemQuestion,47
towel-hair,3,3812,itemQuestion,otherCategory,38,itemQuestion,47
towel-hair,3,3812,itemQuestion,mostSimilar,73,itemQuestion,47
handkerchief-injury,5,3812,itemQuestion,itemQuestion,100,itemQuestion,48
handkerchief-injury,5,3812,itemQuestion,competitor,100,itemQuestion,48
handkerchief-injury,5,3812,itemQuestion,sameCategory,100,itemQuestion,48
handkerchief-injury,5,3812,itemQuestion,otherCategory,0,itemQuestion,48
handkerchief-injury,5,3812,itemQuestion,mostSimilar,100,itemQuestion,48
umbrella-summer,2,3813,itemQuestion,itemQuestion,100,itemQuestion,49
umbrella-summer,2,3813,itemQuestion,competitor,0,itemQuestion,49
umbrella-summer,2,3813,itemQuestion,sameCategory,89,itemQuestion,49
umbrella-summer,2,3813,itemQuestion,otherCategory,0,itemQuestion,49
umbrella-summer,2,3813,itemQuestion,mostSimilar,63,itemQuestion,49
blanket-sleepover,3,3813,itemQuestion,itemQuestion,100,itemQuestion,50
blanket-sleepover,3,3813,itemQuestion,competitor,95,itemQuestion,50
blanket-sleepover,3,3813,itemQuestion,sameCategory,82,itemQuestion,50
blanket-sleepover,3,3813,itemQuestion,otherCategory,0,itemQuestion,50
blanket-sleepover,3,3813,itemQuestion,mostSimilar,61,itemQuestion,50
candy-halloween,4,3813,itemQuestion,itemQuestion,100,itemQuestion,51
candy-halloween,4,3813,itemQuestion,competitor,82,itemQuestion,51
candy-halloween,4,3813,itemQuestion,sameCategory,0,itemQuestion,51
candy-halloween,4,3813,itemQuestion,otherCategory,0,itemQuestion,51
candy-halloween,4,3813,itemQuestion,mostSimilar,0,itemQuestion,51
box-muffins,5,3813,itemQuestion,itemQuestion,100,itemQuestion,52
box-muffins,5,3813,itemQuestion,competitor,63,itemQuestion,52
box-muffins,5,3813,itemQuestion,sameCategory,58,itemQuestion,52
box-muffins,5,3813,itemQuestion,otherCategory,89,itemQuestion,52
box-muffins,5,3813,itemQuestion,mostSimilar,76,itemQuestion,52
candy-halloween,1,3814,itemQuestion,itemQuestion,98,itemQuestion,53
candy-halloween,1,3814,itemQuestion,competitor,49,itemQuestion,53
candy-halloween,1,3814,itemQuestion,sameCategory,8,itemQuestion,53
candy-halloween,1,3814,itemQuestion,otherCategory,19,itemQuestion,53
candy-halloween,1,3814,itemQuestion,mostSimilar,70,itemQuestion,53
broom-renovation,3,3814,itemQuestion,itemQuestion,100,itemQuestion,54
broom-renovation,3,3814,itemQuestion,competitor,100,itemQuestion,54
broom-renovation,3,3814,itemQuestion,sameCategory,61,itemQuestion,54
broom-renovation,3,3814,itemQuestion,otherCategory,0,itemQuestion,54
broom-renovation,3,3814,itemQuestion,mostSimilar,55,itemQuestion,54
box-muffins,4,3814,itemQuestion,itemQuestion,100,itemQuestion,55
box-muffins,4,3814,itemQuestion,competitor,100,itemQuestion,55
box-muffins,4,3814,itemQuestion,sameCategory,51,itemQuestion,55
box-muffins,4,3814,itemQuestion,otherCategory,34,itemQuestion,55
box-muffins,4,3814,itemQuestion,mostSimilar,72,itemQuestion,55
towel-hair,5,3814,itemQuestion,itemQuestion,100,itemQuestion,56
towel-hair,5,3814,itemQuestion,competitor,41,itemQuestion,56
towel-hair,5,3814,itemQuestion,sameCategory,14,itemQuestion,56
towel-hair,5,3814,itemQuestion,otherCategory,65,itemQuestion,56
towel-hair,5,3814,itemQuestion,mostSimilar,76,itemQuestion,56
sweatpants-spill,2,3815,itemQuestion,itemQuestion,100,itemQuestion,57
sweatpants-spill,2,3815,itemQuestion,competitor,65,itemQuestion,57
sweatpants-spill,2,3815,itemQuestion,sameCategory,56,itemQuestion,57
sweatpants-spill,2,3815,itemQuestion,otherCategory,52,itemQuestion,57
sweatpants-spill,2,3815,itemQuestion,mostSimilar,66,itemQuestion,57
pot-jam,3,3815,itemQuestion,itemQuestion,100,itemQuestion,58
pot-jam,3,3815,itemQuestion,competitor,14,itemQuestion,58
pot-jam,3,3815,itemQuestion,sameCategory,69,itemQuestion,58
pot-jam,3,3815,itemQuestion,otherCategory,4,itemQuestion,58
pot-jam,3,3815,itemQuestion,mostSimilar,70,itemQuestion,58
handkerchief-sauce,4,3815,itemQuestion,itemQuestion,86,itemQuestion,59
handkerchief-sauce,4,3815,itemQuestion,competitor,93,itemQuestion,59
handkerchief-sauce,4,3815,itemQuestion,sameCategory,0,itemQuestion,59
handkerchief-sauce,4,3815,itemQuestion,otherCategory,0,itemQuestion,59
handkerchief-sauce,4,3815,itemQuestion,mostSimilar,93,itemQuestion,59
blanket-transportation,5,3815,itemQuestion,itemQuestion,79,itemQuestion,60
blanket-transportation,5,3815,itemQuestion,competitor,84,itemQuestion,60
blanket-transportation,5,3815,itemQuestion,sameCategory,71,itemQuestion,60
blanket-transportation,5,3815,itemQuestion,otherCategory,55,itemQuestion,60
blanket-transportation,5,3815,itemQuestion,mostSimilar,19,itemQuestion,60
handkerchief-sauce,1,3816,itemQuestion,itemQuestion,99,itemQuestion,61
handkerchief-sauce,1,3816,itemQuestion,competitor,78,itemQuestion,61
handkerchief-sauce,1,3816,itemQuestion,sameCategory,2,itemQuestion,61
handkerchief-sauce,1,3816,itemQuestion,otherCategory,0,itemQuestion,61
handkerchief-sauce,1,3816,itemQuestion,mostSimilar,97,itemQuestion,61
sweatpants-spill,2,3816,itemQuestion,itemQuestion,100,itemQuestion,62
sweatpants-spill,2,3816,itemQuestion,competitor,73,itemQuestion,62
sweatpants-spill,2,3816,itemQuestion,sameCategory,81,itemQuestion,62
sweatpants-spill,2,3816,itemQuestion,otherCategory,2,itemQuestion,62
sweatpants-spill,2,3816,itemQuestion,mostSimilar,77,itemQuestion,62
umbrella-rain,3,3816,itemQuestion,itemQuestion,100,itemQuestion,63
umbrella-rain,3,3816,itemQuestion,competitor,100,itemQuestion,63
umbrella-rain,3,3816,itemQuestion,sameCategory,0,itemQuestion,63
umbrella-rain,3,3816,itemQuestion,otherCategory,7,itemQuestion,63
umbrella-rain,3,3816,itemQuestion,mostSimilar,15,itemQuestion,63
bottle-water,4,3816,itemQuestion,itemQuestion,100,itemQuestion,64
bottle-water,4,3816,itemQuestion,competitor,33,itemQuestion,64
bottle-water,4,3816,itemQuestion,sameCategory,1,itemQuestion,64
bottle-water,4,3816,itemQuestion,otherCategory,1,itemQuestion,64
bottle-water,4,3816,itemQuestion,mostSimilar,2,itemQuestion,64
handkerchief-injury,1,3817,itemQuestion,itemQuestion,100,itemQuestion,65
handkerchief-injury,1,3817,itemQuestion,competitor,100,itemQuestion,65
handkerchief-injury,1,3817,itemQuestion,sameCategory,60,itemQuestion,65
handkerchief-injury,1,3817,itemQuestion,otherCategory,1,itemQuestion,65
handkerchief-injury,1,3817,itemQuestion,mostSimilar,100,itemQuestion,65
blanket-sleepover,3,3817,itemQuestion,itemQuestion,100,itemQuestion,66
blanket-sleepover,3,3817,itemQuestion,competitor,100,itemQuestion,66
blanket-sleepover,3,3817,itemQuestion,sameCategory,8,itemQuestion,66
blanket-sleepover,3,3817,itemQuestion,otherCategory,0,itemQuestion,66
blanket-sleepover,3,3817,itemQuestion,mostSimilar,2,itemQuestion,66
pot-garden,4,3817,itemQuestion,itemQuestion,100,itemQuestion,67
pot-garden,4,3817,itemQuestion,competitor,22,itemQuestion,67
pot-garden,4,3817,itemQuestion,sameCategory,25,itemQuestion,67
pot-garden,4,3817,itemQuestion,otherCategory,0,itemQuestion,67
pot-garden,4,3817,itemQuestion,mostSimilar,21,itemQuestion,67
umbrella-summer,5,3817,itemQuestion,itemQuestion,100,itemQuestion,68
umbrella-summer,5,3817,itemQuestion,competitor,10,itemQuestion,68
umbrella-summer,5,3817,itemQuestion,sameCategory,28,itemQuestion,68
umbrella-summer,5,3817,itemQuestion,otherCategory,31,itemQuestion,68
umbrella-summer,5,3817,itemQuestion,mostSimilar,19,itemQuestion,68
bottle-water,1,3818,itemQuestion,itemQuestion,100,itemQuestion,69
bottle-water,1,3818,itemQuestion,competitor,87,itemQuestion,69
bottle-water,1,3818,itemQuestion,sameCategory,22,itemQuestion,69
bottle-water,1,3818,itemQuestion,otherCategory,5,itemQuestion,69
bottle-water,1,3818,itemQuestion,mostSimilar,59,itemQuestion,69
broom-snow,3,3818,itemQuestion,itemQuestion,100,itemQuestion,70
broom-snow,3,3818,itemQuestion,competitor,93,itemQuestion,70
broom-snow,3,3818,itemQuestion,sameCategory,6,itemQuestion,70
broom-snow,3,3818,itemQuestion,otherCategory,0,itemQuestion,70
broom-snow,3,3818,itemQuestion,mostSimilar,80,itemQuestion,70
pot-jam,4,3818,itemQuestion,itemQuestion,100,itemQuestion,71
pot-jam,4,3818,itemQuestion,competitor,100,itemQuestion,71
pot-jam,4,3818,itemQuestion,sameCategory,72,itemQuestion,71
pot-jam,4,3818,itemQuestion,otherCategory,18,itemQuestion,71
pot-jam,4,3818,itemQuestion,mostSimilar,95,itemQuestion,71
sugar-baking,5,3818,itemQuestion,itemQuestion,100,itemQuestion,72
sugar-baking,5,3818,itemQuestion,competitor,82,itemQuestion,72
sugar-baking,5,3818,itemQuestion,sameCategory,10,itemQuestion,72
sugar-baking,5,3818,itemQuestion,otherCategory,0,itemQuestion,72
sugar-baking,5,3818,itemQuestion,mostSimilar,81,itemQuestion,72
candy-dessert,1,3819,itemQuestion,itemQuestion,100,itemQuestion,73
candy-dessert,1,3819,itemQuestion,competitor,46,itemQuestion,73
candy-dessert,1,3819,itemQuestion,sameCategory,12,itemQuestion,73
candy-dessert,1,3819,itemQuestion,otherCategory,1,itemQuestion,73
candy-dessert,1,3819,itemQuestion,mostSimilar,100,itemQuestion,73
sweatpants-spill,2,3819,itemQuestion,itemQuestion,100,itemQuestion,74
sweatpants-spill,2,3819,itemQuestion,competitor,21,itemQuestion,74
sweatpants-spill,2,3819,itemQuestion,sameCategory,1,itemQuestion,74
sweatpants-spill,2,3819,itemQuestion,otherCategory,0,itemQuestion,74
sweatpants-spill,2,3819,itemQuestion,mostSimilar,47,itemQuestion,74
broom-snow,3,3819,itemQuestion,itemQuestion,100,itemQuestion,75
broom-snow,3,3819,itemQuestion,competitor,79,itemQuestion,75
broom-snow,3,3819,itemQuestion,sameCategory,0,itemQuestion,75
broom-snow,3,3819,itemQuestion,otherCategory,0,itemQuestion,75
broom-snow,3,3819,itemQuestion,mostSimilar,6,itemQuestion,75
blanket-transportation,4,3819,itemQuestion,itemQuestion,100,itemQuestion,76
blanket-transportation,4,3819,itemQuestion,competitor,93,itemQuestion,76
blanket-transportation,4,3819,itemQuestion,sameCategory,5,itemQuestion,76
blanket-transportation,4,3819,itemQuestion,otherCategory,17,itemQuestion,76
blanket-transportation,4,3819,itemQuestion,mostSimilar,7,itemQuestion,76
blanket-sleepover,1,3820,itemQuestion,itemQuestion,97,itemQuestion,77
blanket-sleepover,1,3820,itemQuestion,competitor,84,itemQuestion,77
