submission_id,age,answer,category,response_option,itemName,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type
4776,30,"No, but I'm going to the shop now, would you like me to pick some up?
",other,other,sugar-baking,,main,Graduated College,229620,1673311575283,1673311345663,female,English ,56325,sugar,4,main
4776,30,Sculpture ,,,art-drawing,,sculpture,Graduated College,229620,1673311575283,1673311345663,female,English ,15162,art,5,filler
4774,44,'teacher',,,jobCenter-engineer,,teacher,Graduated College,214803,1673311310459,1673311095656,female,english,23737,jobCenter,1,filler
4774,44,I have an armchair that may work and a stool that would definitely work.,sameCategory,"armchair, stool",chair-party,,main,Graduated College,214803,1673311310459,1673311095656,female,english,51612,chair,2,main
4774,44,I do not have a box.,taciturn,no,box-bbq,,main,Graduated College,214803,1673311310459,1673311095656,female,english,23897,box,3,main
4774,44,"I do not but I'm running to the store, can I get you some?",other,other,sugar-baking,,main,Graduated College,214803,1673311310459,1673311095656,female,english,24495,sugar,4,main
4774,44,I do have a bedspread and also a sleeping bag that could work.,otherCompetitor,"bedspread, sleeping bag",blanket-transportation,,main,Graduated College,214803,1673311310459,1673311095656,female,english,49393,blanket,5,main
4777,18,"No sorry, i just used mine up. I can grab you some next time i go out?",other,other,sugar-baking,,main,Graduated High-school,291339,1673311661520,1673311370181,male,English,96522,sugar,1,main
4777,18,"Sorry we dont have a box, but we do have a bag if you would prefer.",other,other,box-bbq,,main,Graduated High-school,291339,1673311661520,1673311370181,male,English,42580,box,2,main
4777,18,London,,,airport-europe-UPDATED,,London,Graduated High-school,291339,1673311661520,1673311370181,male,English,29533,airport,3,filler
4777,18,"Sorry, we've run out, ill just go grab a stool for you.",competitor,stool,chair-party,,main,Graduated High-school,291339,1673311661520,1673311370181,male,English,42618,chair,4,main
4777,18,I have a sleeping bag if that'll do.,otherCompetitor,sleeping bag,blanket-transportation,,main,Graduated High-school,291339,1673311661520,1673311370181,male,English,42267,blanket,5,main
4781,30,This is the range of products we have here. I'm not sure if any will suit your needs,other,other,box-bbq,,main,Graduated College,239014,1673332376197,1673332137183,female,Emglish,62277,box,1,main
4781,30,I don't but I do have some alternatives which work well,other,other,sugar-baking,,main,Graduated College,239014,1673332376197,1673332137183,female,Emglish,24570,sugar,2,main
4781,30,Classic,,,music-softrock,,classic,Graduated College,239014,1673332376197,1673332137183,female,Emglish,13943,music,3,filler
4781,30,I don't but I have some spare bedding,other,other,blanket-transportation,,main,Graduated College,239014,1673332376197,1673332137183,female,Emglish,52186,blanket,4,main
4781,30,I have a stool. Let me get it,competitor,stool,chair-party,,main,Graduated College,239014,1673332376197,1673332137183,female,Emglish,42756,chair,5,main
