submission_id,age,comments,competitor,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemOrder,itemQuestion,languages,otherCategory,responseTime,sameCategory,settingName,targetOption,trialNr,trial_type
2818,45,NA,13,Graduated College,104582,1711966905119,1711966800537,female,touristInfo-clubbing,"otherCategory,competitor,itemQuestion,sameCategory",55,English,4,13457,99,touristInfo,sameCategory,4,main
2818,45,NA,100,Graduated College,104582,1711966905119,1711966800537,female,zoo-reptiles,"itemQuestion,otherCategory,sameCategory,competitor",87,English,14,12724,60,zoo,competitor,5,main
2839,33,NA,0,Graduated College,184301,1711966948483,1711966764182,male,jobCenter-engineer,"otherCategory,sameCategory,itemQuestion,competitor",0,english,0,33907,0,jobCenter,itemQuestion,1,filler
2839,33,NA,93,Graduated College,184301,1711966948483,1711966764182,male,touristInfo-childTheatre,"competitor,otherCategory,sameCategory,itemQuestion",60,english,2,96751,18,touristInfo,competitor,2,main
2839,33,NA,43,Graduated College,184301,1711966948483,1711966764182,male,bar-whiteWine,"sameCategory,itemQuestion,otherCategory,competitor",39,english,41,12033,98,bar,sameCategory,3,main
2839,33,NA,64,Graduated College,184301,1711966948483,1711966764182,male,petAdoption-dogs,"sameCategory,itemQuestion,competitor,otherCategory",99,english,2,13402,10,petAdoption,itemQuestion,4,main
2839,33,NA,1,Graduated College,184301,1711966948483,1711966764182,male,interior-green,"itemQuestion,competitor,otherCategory,sameCategory",2,english,99,12036,2,interior,otherCategory,5,main
2846,18,NA,79,Graduated College,166717,1711966959890,1711966793173,female,waterSport-motor,"itemQuestion,sameCategory,otherCategory,competitor",100,English,53,28937,22,waterSport,itemQuestion,1,main
2846,18,NA,85,Graduated College,166717,1711966959890,1711966793173,female,electronics-laptop,"competitor,otherCategory,sameCategory,itemQuestion",91,English,67,15789,100,electronics,sameCategory,2,main
2846,18,NA,100,Graduated College,166717,1711966959890,1711966793173,female,cafe-pie,"competitor,otherCategory,sameCategory,itemQuestion",80,English,32,12959,40,cafe,competitor,3,main
2846,18,NA,0,Graduated College,166717,1711966959890,1711966793173,female,jobCenter-engineer,"itemQuestion,sameCategory,otherCategory,competitor",0,English,0,19993,0,jobCenter,itemQuestion,4,filler
2846,18,NA,4,Graduated College,166717,1711966959890,1711966793173,female,kidsActivities-crafts,"competitor,otherCategory,itemQuestion,sameCategory",20,English,100,12455,10,kidsActivities,otherCategory,5,main
2864,77,NA,98,Graduated College,245215,1711967053315,1711966808100,male,art-painting,"otherCategory,itemQuestion,sameCategory,competitor",99,NA,99,57539,98,art,itemQuestion,1,filler
2864,77,NA,98,Graduated College,245215,1711967053315,1711966808100,male,dutyFree-sweets,"otherCategory,sameCategory,competitor,itemQuestion",69,NA,1,26635,18,dutyFree,competitor,2,main
2864,77,NA,67,Graduated College,245215,1711967053315,1711966808100,male,interior-deco,"otherCategory,competitor,itemQuestion,sameCategory",96,NA,25,39188,22,interior,itemQuestion,3,main
2864,77,NA,27,Graduated College,245215,1711967053315,1711966808100,male,touristInfo-clubbing,"itemQuestion,sameCategory,otherCategory,competitor",10,NA,4,33604,1,touristInfo,otherCategory,4,main
2864,77,NA,65,Graduated College,245215,1711967053315,1711966808100,male,cafe-pizza,"itemQuestion,otherCategory,sameCategory,competitor",1,NA,2,24105,99,cafe,sameCategory,5,main
2871,43,An interesting study topic to help delve into,100,Graduated College,330244,1711967108662,1711966778418,male,art-drawing,"sameCategory,otherCategory,competitor,itemQuestion",99,NA,100,58680,99,art,itemQuestion,1,filler
2871,43,An interesting study topic to help delve into,74,Graduated College,330244,1711967108662,1711966778418,male,friendsActivities-boardGames,"sameCategory,otherCategory,itemQuestion,competitor",76,NA,81,36780,43,friendsActivities,itemQuestion,2,main
2871,43,An interesting study topic to help delve into,14,Graduated College,330244,1711967108662,1711966778418,male,bookingAgency-lowClassAccommodation,"sameCategory,otherCategory,itemQuestion,competitor",1,NA,99,40752,16,bookingAgency,otherCategory,3,main
2871,43,An interesting study topic to help delve into,99,Graduated College,330244,1711967108662,1711966778418,male,interior-green,"competitor,itemQuestion,sameCategory,otherCategory",90,NA,43,31232,63,interior,competitor,4,main
2871,43,An interesting study topic to help delve into,55,Graduated College,330244,1711967108662,1711966778418,male,books-romance,"competitor,itemQuestion,otherCategory,sameCategory",64,NA,34,36686,56,books,sameCategory,5,main
2822,34,NA,0,Graduated High-school,134994,1711966909911,1711966774917,male,jobCenter-office,"competitor,itemQuestion,otherCategory,sameCategory",1,English,0,12862,0,jobCenter,itemQuestion,1,filler
2822,34,NA,100,Graduated High-school,134994,1711966909911,1711966774917,male,gym-boxing,"sameCategory,competitor,otherCategory,itemQuestion",76,English,18,13126,79,gymActivities,competitor,2,main
2822,34,NA,81,Graduated High-school,134994,1711966909911,1711966774917,male,zoo-reptiles,"otherCategory,competitor,sameCategory,itemQuestion",100,English,15,12242,80,zoo,itemQuestion,3,main
2822,34,NA,0,Graduated High-school,134994,1711966909911,1711966774917,male,clothing-acc,"competitor,otherCategory,sameCategory,itemQuestion",0,English,0,8182,100,clothing,sameCategory,4,main
2822,34,NA,100,Graduated High-school,134994,1711966909911,1711966774917,male,bookingAgency-highClassAccommodation,"itemQuestion,sameCategory,otherCategory,competitor",100,English,100,21144,100,bookingAgency,otherCategory,5,main
2851,58,NA,83,Graduated College,151822,1711966977450,1711966825628,male,music-hardrock,"otherCategory,competitor,itemQuestion,sameCategory",100,NA,8,23256,88,music,itemQuestion,1,filler
2851,58,NA,53,Graduated College,151822,1711966977450,1711966825628,male,interior-deco,"competitor,itemQuestion,sameCategory,otherCategory",100,NA,0,31479,17,interior,itemQuestion,2,main
2851,58,NA,47,Graduated College,151822,1711966977450,1711966825628,male,bookingAgency-highClassAccommodation,"otherCategory,competitor,itemQuestion,sameCategory",44,NA,100,20440,14,bookingAgency,otherCategory,3,main
2851,58,NA,52,Graduated College,151822,1711966977450,1711966825628,male,electronics-console,"competitor,itemQuestion,otherCategory,sameCategory",53,NA,4,13537,100,electronics,sameCategory,4,main
2851,58,NA,100,Graduated College,151822,1711966977450,1711966825628,male,friendsActivities-videoEntertainment,"sameCategory,competitor,itemQuestion,otherCategory",92,NA,22,17631,32,friendsActivities,competitor,5,main
2866,67,NA,50,Graduated High-school,250695,1711967061562,1711966810867,male,friendsActivities-videoEntertainment,"otherCategory,sameCategory,competitor,itemQuestion",51,English,99,54924,2,friendsActivities,otherCategory,1,main
2866,67,NA,66,Graduated High-school,250695,1711967061562,1711966810867,male,bookingAgency-highClassAccommodation,"itemQuestion,otherCategory,competitor,sameCategory",12,English,1,41433,98,bookingAgency,sameCategory,2,main
2866,67,NA,100,Graduated High-school,250695,1711967061562,1711966810867,male,touristInfo-clubbing,"itemQuestion,sameCategory,competitor,otherCategory",55,English,0,35255,2,touristInfo,competitor,3,main
2866,67,NA,39,Graduated High-school,250695,1711967061562,1711966810867,male,art-painting,"competitor,itemQuestion,otherCategory,sameCategory",100,English,44,29109,52,art,itemQuestion,4,filler
2866,67,NA,50,Graduated High-school,250695,1711967061562,1711966810867,male,gym-boxing,"competitor,otherCategory,sameCategory,itemQuestion",98,English,3,22404,2,gymActivities,itemQuestion,5,main
2828,56,NA,92,Graduated College,134684,1711966918665,1711966783981,female,petAdoption-hamster,"sameCategory,competitor,otherCategory,itemQuestion",78,English,3,35931,20,petAdoption,competitor,1,main
2828,56,NA,25,Graduated College,134684,1711966918665,1711966783981,female,friendsActivities-videoEntertainment,"sameCategory,itemQuestion,competitor,otherCategory",24,English,90,18122,18,friendsActivities,otherCategory,2,main
2828,56,NA,100,Graduated College,134684,1711966918665,1711966783981,female,music-hardrock,"sameCategory,otherCategory,competitor,itemQuestion",100,English,100,15334,100,music,itemQuestion,3,filler
2828,56,NA,37,Graduated College,134684,1711966918665,1711966783981,female,books-fantasy,"competitor,otherCategory,sameCategory,itemQuestion",85,English,9,18281,28,books,itemQuestion,4,main
2828,56,NA,61,Graduated College,134684,1711966918665,1711966783981,female,waterSport-muscle,"itemQuestion,sameCategory,otherCategory,competitor",64,English,11,16118,90,waterSport,sameCategory,5,main
2845,40,None,30,Higher degree,155995,1711966958451,1711966802456,female,touristInfo-clubbing,"itemQuestion,sameCategory,otherCategory,competitor",9,English,1,31829,99,touristInfo,sameCategory,1,main
2845,40,None,98,Higher degree,155995,1711966958451,1711966802456,female,bookingAgency-highClassAccommodation,"competitor,sameCategory,otherCategory,itemQuestion",100,English,0,35543,14,bookingAgency,itemQuestion,2,main
2845,40,None,0,Higher degree,155995,1711966958451,1711966802456,female,bar-tea,"competitor,sameCategory,otherCategory,itemQuestion",0,English,99,19666,1,bar,otherCategory,3,main
2845,40,None,40,Higher degree,155995,1711966958451,1711966802456,female,music-hardrock,"otherCategory,itemQuestion,competitor,sameCategory",99,English,1,17640,0,music,itemQuestion,4,filler
2845,40,None,99,Higher degree,155995,1711966958451,1711966802456,female,zoo-reptiles,"itemQuestion,competitor,otherCategory,sameCategory",51,English,0,16211,18,zoo,competitor,5,main
2832,56,NA,66,Graduated High-school,172268,1711966922260,1711966749992,female,gym-boxing,"otherCategory,competitor,itemQuestion,sameCategory",66,English,21,28835,100,gymActivities,sameCategory,1,main
2832,56,NA,100,Graduated High-school,172268,1711966922260,1711966749992,female,music-hardrock,"competitor,itemQuestion,otherCategory,sameCategory",100,English,100,45461,100,music,itemQuestion,2,filler
2832,56,NA,23,Graduated High-school,172268,1711966922260,1711966749992,female,books-fantasy,"competitor,sameCategory,itemQuestion,otherCategory",5,English,98,18474,35,books,otherCategory,3,main
2832,56,NA,56,Graduated High-school,172268,1711966922260,1711966749992,female,zoo-reptiles,"sameCategory,otherCategory,competitor,itemQuestion",98,English,56,15456,62,zoo,itemQuestion,4,main
2832,56,NA,100,Graduated High-school,172268,1711966922260,1711966749992,female,bookingAgency-highClassAccommodation,"otherCategory,itemQuestion,sameCategory,competitor",32,English,7,17934,39,bookingAgency,competitor,5,main
2835,51,NA,35,Higher degree,144913,1711966927251,1711966782338,female,waterSport-muscle,"itemQuestion,competitor,sameCategory,otherCategory",41,English,4,33815,97,waterSport,sameCategory,1,main
2835,51,NA,100,Higher degree,144913,1711966927251,1711966782338,female,music-hardrock,"otherCategory,sameCategory,competitor,itemQuestion",100,English,100,12879,100,music,itemQuestion,2,filler
2835,51,NA,72,Higher degree,144913,1711966927251,1711966782338,female,petAdoption-hamster,"sameCategory,otherCategory,competitor,itemQuestion",100,English,12,18003,33,petAdoption,itemQuestion,3,main
2835,51,NA,99,Higher degree,144913,1711966927251,1711966782338,female,bookingAgency-highClassAccommodation,"itemQuestion,competitor,otherCategory,sameCategory",62,English,28,22576,81,bookingAgency,competitor,4,main
2835,51,NA,56,Higher degree,144913,1711966927251,1711966782338,female,interior-deco,"otherCategory,sameCategory,competitor,itemQuestion",55,English,100,18707,3,interior,otherCategory,5,main
2844,32,NA,100,Higher degree,117297,1711966952831,1711966835534,female,petAdoption-dogs,"itemQuestion,sameCategory,competitor,otherCategory",39,english,5,21934,26,petAdoption,competitor,1,main
2844,32,NA,4,Higher degree,117297,1711966952831,1711966835534,female,dutyFree-smokes,"sameCategory,otherCategory,itemQuestion,competitor",5,english,27,15711,100,dutyFree,sameCategory,2,main
2844,32,NA,63,Higher degree,117297,1711966952831,1711966835534,female,jobCenter-engineer,"competitor,itemQuestion,otherCategory,sameCategory",100,english,3,25064,72,jobCenter,itemQuestion,3,filler
2844,32,NA,30,Higher degree,117297,1711966952831,1711966835534,female,waterSport-motor,"sameCategory,competitor,otherCategory,itemQuestion",47,english,99,13170,55,waterSport,otherCategory,4,main
2844,32,NA,75,Higher degree,117297,1711966952831,1711966835534,female,zoo-xl,"otherCategory,itemQuestion,competitor,sameCategory",99,english,47,12380,53,zoo,itemQuestion,5,main
2865,62,NONE,68,Graduated High-school,199862,1711967061502,1711966861640,male,friendsActivities-videoEntertainment,"competitor,sameCategory,otherCategory,itemQuestion",97,ENGLISH,23,27481,35,friendsActivities,itemQuestion,1,main
2865,62,NONE,98,Graduated High-school,199862,1711967061502,1711966861640,male,kidsActivities-sports,"sameCategory,itemQuestion,competitor,otherCategory",73,ENGLISH,17,26396,6,kidsActivities,competitor,2,main
2865,62,NONE,22,Graduated High-school,199862,1711967061502,1711966861640,male,cafe-pizza,"itemQuestion,competitor,otherCategory,sameCategory",27,ENGLISH,98,23809,19,cafe,otherCategory,3,main
2865,62,NONE,68,Graduated High-school,199862,1711967061502,1711966861640,male,airport-usa,"otherCategory,competitor,itemQuestion,sameCategory",98,ENGLISH,1,29780,2,airport,itemQuestion,4,filler
2865,62,NONE,68,Graduated High-school,199862,1711967061502,1711966861640,male,electronics-console,"itemQuestion,otherCategory,competitor,sameCategory",73,ENGLISH,57,22701,99,electronics,sameCategory,5,main
2833,31,NA,18,Graduated High-school,154446,1711966923947,1711966769501,female,friendsActivities-boardGames,"competitor,itemQuestion,otherCategory,sameCategory",4,english,100,20160,11,friendsActivities,otherCategory,1,main
2833,31,NA,99,Graduated High-school,154446,1711966923947,1711966769501,female,kidsActivities-crafts,"itemQuestion,competitor,otherCategory,sameCategory",32,english,0,17978,4,kidsActivities,competitor,2,main
2833,31,NA,51,Graduated High-school,154446,1711966923947,1711966769501,female,gym-yoga,"competitor,sameCategory,itemQuestion,otherCategory",50,english,26,29077,100,gymActivities,sameCategory,3,main
2833,31,NA,0,Graduated High-school,154446,1711966923947,1711966769501,female,carRental-moving,"sameCategory,otherCategory,competitor,itemQuestion",0,english,0,10108,0,carRental,itemQuestion,4,filler
2833,31,NA,66,Graduated High-school,154446,1711966923947,1711966769501,female,bar-whiteWine,"itemQuestion,competitor,otherCategory,sameCategory",100,english,6,8270,10,bar,itemQuestion,5,main
2843,NA,NA,52,NA,204559,1711966954728,1711966750169,NA,bar-whiteWine,"sameCategory,competitor,otherCategory,itemQuestion",88,NA,16,32327,37,bar,itemQuestion,1,main
2843,NA,NA,62,NA,204559,1711966954728,1711966750169,NA,books-romance,"otherCategory,sameCategory,itemQuestion,competitor",49,NA,80,64413,66,books,otherCategory,2,main
2843,NA,NA,50,NA,204559,1711966954728,1711966750169,NA,kidsActivities-crafts,"competitor,otherCategory,itemQuestion,sameCategory",50,NA,31,26092,88,kidsActivities,sameCategory,3,main
2843,NA,NA,0,NA,204559,1711966954728,1711966750169,NA,jobCenter-engineer,"sameCategory,competitor,itemQuestion,otherCategory",0,NA,0,28364,0,jobCenter,itemQuestion,4,filler
2843,NA,NA,85,NA,204559,1711966954728,1711966750169,NA,dutyFree-smokes,"itemQuestion,competitor,sameCategory,otherCategory",45,NA,51,30951,57,dutyFree,competitor,5,main
2834,24,NA,83,Graduated College,107560,1711966931849,1711966824289,male,music-hardrock,"sameCategory,otherCategory,itemQuestion,competitor",100,"English, Chinese",11,20359,70,music,itemQuestion,1,filler
2834,24,NA,53,Graduated College,107560,1711966931849,1711966824289,male,clothing-acc,"otherCategory,itemQuestion,competitor,sameCategory",53,"English, Chinese",9,14337,100,clothing,sameCategory,2,main
2834,24,NA,63,Graduated College,107560,1711966931849,1711966824289,male,electronics-console,"sameCategory,otherCategory,itemQuestion,competitor",100,"English, Chinese",72,31986,39,electronics,itemQuestion,3,main
2834,24,NA,39,Graduated College,107560,1711966931849,1711966824289,male,interior-deco,"otherCategory,sameCategory,itemQuestion,competitor",39,"English, Chinese",100,12320,41,interior,otherCategory,4,main
2834,24,NA,99,Graduated College,107560,1711966931849,1711966824289,male,books-fantasy,"competitor,otherCategory,sameCategory,itemQuestion",77,"English, Chinese",40,14141,41,books,competitor,5,main
2877,23,Fun to answer,31,Higher degree,1130247,1711967954038,1711966823791,female,bar-tea,"otherCategory,sameCategory,itemQuestion,competitor",98,Engkish,0,904021,98,bar,itemQuestion,1,main
2877,23,Fun to answer,0,Higher degree,1130247,1711967954038,1711966823791,female,art-painting,"otherCategory,itemQuestion,competitor,sameCategory",99,Engkish,0,93500,82,art,itemQuestion,2,filler
2877,23,Fun to answer,89,Higher degree,1130247,1711967954038,1711966823791,female,electronics-console,"competitor,sameCategory,otherCategory,itemQuestion",84,Engkish,32,26196,99,electronics,sameCategory,3,main
2877,23,Fun to answer,39,Higher degree,1130247,1711967954038,1711966823791,female,cafe-pizza,"competitor,itemQuestion,sameCategory,otherCategory",35,Engkish,99,16973,26,cafe,otherCategory,4,main
2877,23,Fun to answer,100,Higher degree,1130247,1711967954038,1711966823791,female,petAdoption-hamster,"competitor,itemQuestion,sameCategory,otherCategory",95,Engkish,2,60742,37,petAdoption,competitor,5,main
2776,1828,NA,100,Graduated College,87359,1711326234292,1711326146933,male,zoo-xl,"sameCategory,competitor,itemQuestion,otherCategory",88,English,48,13239,72,zoo,competitor,1,main
2776,1828,NA,68,Graduated College,87359,1711326234292,1711326146933,male,waterSport-motor,"competitor,otherCategory,sameCategory,itemQuestion",94,English,75,11288,100,waterSport,sameCategory,2,main
2776,1828,NA,100,Graduated College,87359,1711326234292,1711326146933,male,bookingAgency-lowClassAccommodation,"itemQuestion,sameCategory,otherCategory,competitor",100,English,100,13352,100,bookingAgency,itemQuestion,3,main
2776,1828,NA,0,Graduated College,87359,1711326234292,1711326146933,male,jobCenter-engineer,"itemQuestion,sameCategory,otherCategory,competitor",0,English,0,11248,0,jobCenter,itemQuestion,4,filler
2776,1828,NA,38,Graduated College,87359,1711326234292,1711326146933,male,interior-green,"itemQuestion,sameCategory,otherCategory,competitor",27,English,100,9975,24,interior,otherCategory,5,main
2777,21,NA,69,NA,56906,1711326357268,1711326300362,NA,kidsActivities-sports,"otherCategory,sameCategory,competitor,itemQuestion",100,NA,32,8265,50,kidsActivities,itemQuestion,1,main
2777,21,NA,48,NA,56906,1711326357268,1711326300362,NA,dutyFree-sweets,"sameCategory,itemQuestion,otherCategory,competitor",74,NA,0,9649,100,dutyFree,sameCategory,2,main
2777,21,NA,100,NA,56906,1711326357268,1711326300362,NA,interior-deco,"sameCategory,otherCategory,itemQuestion,competitor",73,NA,0,15577,52,interior,competitor,3,main
2777,21,NA,22,NA,56906,1711326357268,1711326300362,NA,books-fantasy,"itemQuestion,otherCategory,competitor,sameCategory",0,NA,100,8434,25,books,otherCategory,4,main
2777,21,NA,66,NA,56906,1711326357268,1711326300362,NA,art-painting,"sameCategory,competitor,itemQuestion,otherCategory",100,NA,43,9487,67,art,itemQuestion,5,filler
2783,25,NA,43,Graduated College,137371,1711326643569,1711326506198,female,friendsActivities-videoEntertainment,"itemQuestion,otherCategory,sameCategory,competitor",57,English,74,35292,99,friendsActivities,sameCategory,1,main
2783,25,NA,0,Graduated College,137371,1711326643569,1711326506198,female,airport-usa,"competitor,otherCategory,sameCategory,itemQuestion",0,English,0,22047,0,airport,itemQuestion,2,filler
2783,25,NA,100,Graduated College,137371,1711326643569,1711326506198,female,waterSport-muscle,"otherCategory,itemQuestion,competitor,sameCategory",93,English,67,24642,74,waterSport,competitor,3,main
2783,25,NA,80,Graduated College,137371,1711326643569,1711326506198,female,zoo-reptiles,"competitor,itemQuestion,otherCategory,sameCategory",99,English,51,19015,74,zoo,itemQuestion,4,main
2783,25,NA,46,Graduated College,137371,1711326643569,1711326506198,female,books-fantasy,"itemQuestion,sameCategory,competitor,otherCategory",19,English,99,16627,38,books,otherCategory,5,main
2785,24,NA,36,Graduated High-school,173050,1711326677230,1711326504180,female,zoo-reptiles,"itemQuestion,sameCategory,otherCategory,competitor",100,English,8,11899,29,zoo,itemQuestion,1,main
2785,24,NA,32,Graduated High-school,173050,1711326677230,1711326504180,female,gym-boxing,"competitor,itemQuestion,otherCategory,sameCategory",31,English,21,15498,100,gymActivities,sameCategory,2,main
