submission_id,age,comments,competitor,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemOrder,itemQuestion,languages,mostSimilar,otherCategory,responseTime,sameCategory,settingName,targetOption,trialNr,trial_type
3805,37,NA,0,Graduated High-school,125792,1718290115447,1718289989655,female,airport-usa,"otherCategory,itemQuestion,sameCategory,competitor,mostSimilar",0,english,0,0,13437,0,airport,itemQuestion,2,filler
3805,37,NA,57,Graduated High-school,125792,1718290115447,1718289989655,female,blanket-transportation,"mostSimilar,sameCategory,competitor,itemQuestion,otherCategory",100,english,33,38,21067,42,blanket,itemQuestion,3,main
3805,37,NA,100,Graduated High-school,125792,1718290115447,1718289989655,female,umbrella-rain,"itemQuestion,otherCategory,mostSimilar,sameCategory,competitor",100,english,65,11,13204,0,umbrella,itemQuestion,4,main
3805,37,NA,58,Graduated High-school,125792,1718290115447,1718289989655,female,box-bbq,"mostSimilar,otherCategory,sameCategory,itemQuestion,competitor",100,english,29,10,9653,62,box,itemQuestion,5,main
3806,29,NA,81,Graduated College,172678,1718290128679,1718289956001,female,sugar-coffee,"sameCategory,otherCategory,mostSimilar,competitor,itemQuestion",100,english,80,0,24224,63,sugar,itemQuestion,1,main
3806,29,NA,67,Graduated College,172678,1718290128679,1718289956001,female,sweatpants-sleepover,"mostSimilar,sameCategory,itemQuestion,competitor,otherCategory",100,english,69,0,18439,67,sweatpants,itemQuestion,2,main
3806,29,NA,0,Graduated College,172678,1718290128679,1718289956001,female,pot-garden,"sameCategory,mostSimilar,itemQuestion,otherCategory,competitor",100,english,34,0,28167,38,pot,itemQuestion,3,main
3806,29,NA,0,Graduated College,172678,1718290128679,1718289956001,female,carRental-moving,"competitor,itemQuestion,mostSimilar,sameCategory,otherCategory",0,english,0,0,17734,0,carRental,itemQuestion,4,filler
3806,29,NA,71,Graduated College,172678,1718290128679,1718289956001,female,candy-halloween,"mostSimilar,itemQuestion,competitor,sameCategory,otherCategory",100,english,67,12,24232,7,candy,itemQuestion,5,main
3807,46,NA,100,Graduated College,168104,1718290169264,1718290001160,female,music-softrock,"itemQuestion,mostSimilar,otherCategory,competitor,sameCategory",100,English,100,100,18160,100,music,itemQuestion,1,filler
3807,46,NA,100,Graduated College,168104,1718290169264,1718290001160,female,towel-hair,"sameCategory,itemQuestion,otherCategory,mostSimilar,competitor",100,English,57,74,32989,100,towel,itemQuestion,2,main
3807,46,NA,100,Graduated College,168104,1718290169264,1718290001160,female,candy-halloween,"itemQuestion,competitor,sameCategory,otherCategory,mostSimilar",100,English,94,0,29074,0,candy,itemQuestion,3,main
3807,46,NA,100,Graduated College,168104,1718290169264,1718290001160,female,postit-board,"sameCategory,mostSimilar,otherCategory,competitor,itemQuestion",100,English,79,29,32711,79,postit,itemQuestion,4,main
3807,46,NA,100,Graduated College,168104,1718290169264,1718290001160,female,bottle-plants,"mostSimilar,competitor,itemQuestion,otherCategory,sameCategory",100,English,100,0,18196,55,bottle,itemQuestion,5,main
3808,52,NA,100,Graduated High-school,138214,1718290235640,1718290097426,female,blanket-transportation,"itemQuestion,mostSimilar,sameCategory,competitor,otherCategory",100,English,26,73,25256,100,blanket,itemQuestion,1,main
3808,52,NA,100,Graduated High-school,138214,1718290235640,1718290097426,female,broom-snow,"itemQuestion,otherCategory,mostSimilar,competitor,sameCategory",100,English,81,0,22654,0,broom,itemQuestion,2,main
3808,52,NA,100,Graduated High-school,138214,1718290235640,1718290097426,female,candy-dessert,"mostSimilar,competitor,otherCategory,itemQuestion,sameCategory",100,English,100,76,19589,78,candy,itemQuestion,3,main
3808,52,NA,0,Graduated High-school,138214,1718290235640,1718290097426,female,pot-jam,"sameCategory,otherCategory,competitor,mostSimilar,itemQuestion",100,English,0,0,21204,28,pot,itemQuestion,4,main
3808,52,NA,100,Graduated High-school,138214,1718290235640,1718290097426,female,art-painting,"otherCategory,itemQuestion,mostSimilar,sameCategory,competitor",100,English,100,100,19107,100,art,itemQuestion,5,filler
3809,21,NA,23,Graduated High-school,128823,1718290244335,1718290115512,other,box-bbq,"itemQuestion,competitor,sameCategory,mostSimilar,otherCategory",75,English,63,0,13397,34,box,itemQuestion,1,main
3809,21,NA,62,Graduated High-school,128823,1718290244335,1718290115512,other,jobCenter-office,"sameCategory,competitor,mostSimilar,itemQuestion,otherCategory",93,English,32,0,13063,71,jobCenter,itemQuestion,2,filler
3809,21,NA,23,Graduated High-school,128823,1718290244335,1718290115512,other,towel-clothes,"sameCategory,otherCategory,itemQuestion,competitor,mostSimilar",91,English,67,72,15336,64,towel,itemQuestion,3,main
3809,21,NA,80,Graduated High-school,128823,1718290244335,1718290115512,other,candy-dessert,"mostSimilar,otherCategory,competitor,itemQuestion,sameCategory",96,English,81,67,37508,36,candy,itemQuestion,4,main
3809,21,NA,0,Graduated High-school,128823,1718290244335,1718290115512,other,blanket-transportation,"itemQuestion,sameCategory,mostSimilar,otherCategory,competitor",100,English,20,38,14629,85,blanket,itemQuestion,5,main
3810,45,NA,100,Higher degree,155785,1718290296692,1718290140907,female,bottle-plants,"competitor,otherCategory,sameCategory,mostSimilar,itemQuestion",80,English,58,26,16584,46,bottle,itemQuestion,1,main
3810,45,NA,54,Higher degree,155785,1718290296692,1718290140907,female,postit-board,"mostSimilar,sameCategory,itemQuestion,competitor,otherCategory",100,English,15,0,16519,79,postit,itemQuestion,2,main
3810,45,NA,60,Higher degree,155785,1718290296692,1718290140907,female,jobCenter-engineer,"sameCategory,otherCategory,mostSimilar,itemQuestion,competitor",100,English,0,0,12825,0,jobCenter,itemQuestion,3,filler
3810,45,NA,79,Higher degree,155785,1718290296692,1718290140907,female,sweatpants-sleepover,"itemQuestion,sameCategory,competitor,otherCategory,mostSimilar",100,English,65,0,18496,64,sweatpants,itemQuestion,4,main
3810,45,NA,60,Higher degree,155785,1718290296692,1718290140907,female,candy-halloween,"itemQuestion,sameCategory,mostSimilar,competitor,otherCategory",100,English,41,0,16311,0,candy,itemQuestion,5,main
3811,23,NA,89,Graduated College,438501,1718290308229,1718289869728,male,handkerchief-sauce,"otherCategory,competitor,sameCategory,mostSimilar,itemQuestion",100,English,100,0,66056,84,handkerchief,itemQuestion,1,main
3811,23,NA,100,Graduated College,438501,1718290308229,1718289869728,male,umbrella-rain,"sameCategory,mostSimilar,competitor,itemQuestion,otherCategory",100,English,5,5,74036,0,umbrella,itemQuestion,2,main
3811,23,NA,0,Graduated College,438501,1718290308229,1718289869728,male,carRental-fun,"otherCategory,competitor,mostSimilar,sameCategory,itemQuestion",0,English,0,0,51089,0,carRental,itemQuestion,3,filler
3811,23,NA,68,Graduated College,438501,1718290308229,1718289869728,male,towel-clothes,"competitor,otherCategory,sameCategory,itemQuestion,mostSimilar",100,English,80,12,66407,81,towel,itemQuestion,4,main
3811,23,NA,74,Graduated College,438501,1718290308229,1718289869728,male,pot-jam,"mostSimilar,itemQuestion,otherCategory,competitor,sameCategory",100,English,62,2,40932,0,pot,itemQuestion,5,main
3812,55,NA,100,Graduated High-school,304154,1718290359157,1718290055003,male,box-muffins,"competitor,itemQuestion,mostSimilar,sameCategory,otherCategory",100,English,9,10,79867,42,box,itemQuestion,1,main
3812,55,NA,100,Graduated High-school,304154,1718290359157,1718290055003,male,bottle-plants,"sameCategory,itemQuestion,competitor,otherCategory,mostSimilar",80,English,60,19,68997,66,bottle,itemQuestion,2,main
3812,55,NA,48,Graduated High-school,304154,1718290359157,1718290055003,male,towel-hair,"itemQuestion,mostSimilar,competitor,otherCategory,sameCategory",100,English,73,38,81436,40,towel,itemQuestion,3,main
3812,55,NA,0,Graduated High-school,304154,1718290359157,1718290055003,male,art-drawing,"itemQuestion,competitor,otherCategory,mostSimilar,sameCategory",100,English,0,0,19167,0,art,itemQuestion,4,filler
3812,55,NA,100,Graduated High-school,304154,1718290359157,1718290055003,male,handkerchief-injury,"mostSimilar,otherCategory,itemQuestion,competitor,sameCategory",100,English,100,0,22940,100,handkerchief,itemQuestion,5,main
3813,65,NA,79,Graduated High-school,111586,1718290413206,1718290301620,female,jobCenter-engineer,"competitor,mostSimilar,otherCategory,itemQuestion,sameCategory",100,English,2,2,21186,64,jobCenter,itemQuestion,1,filler
3813,65,NA,0,Graduated High-school,111586,1718290413206,1718290301620,female,umbrella-summer,"itemQuestion,otherCategory,competitor,sameCategory,mostSimilar",100,English,63,0,15400,89,umbrella,itemQuestion,2,main
3813,65,NA,95,Graduated High-school,111586,1718290413206,1718290301620,female,blanket-sleepover,"otherCategory,itemQuestion,sameCategory,competitor,mostSimilar",100,English,61,0,13515,82,blanket,itemQuestion,3,main
3813,65,NA,82,Graduated High-school,111586,1718290413206,1718290301620,female,candy-halloween,"mostSimilar,sameCategory,itemQuestion,competitor,otherCategory",100,English,0,0,13221,0,candy,itemQuestion,4,main
3813,65,NA,63,Graduated High-school,111586,1718290413206,1718290301620,female,box-muffins,"otherCategory,mostSimilar,competitor,sameCategory,itemQuestion",100,English,76,89,12279,58,box,itemQuestion,5,main
3814,51,NA,49,Graduated College,150953,1718290511935,1718290360982,female,candy-halloween,"mostSimilar,sameCategory,itemQuestion,competitor,otherCategory",98,English,70,19,27384,8,candy,itemQuestion,1,main
3814,51,NA,0,Graduated College,150953,1718290511935,1718290360982,female,carRental-moving,"mostSimilar,sameCategory,otherCategory,competitor,itemQuestion",0,English,0,1,34723,0,carRental,itemQuestion,2,filler
3814,51,NA,100,Graduated College,150953,1718290511935,1718290360982,female,broom-renovation,"sameCategory,mostSimilar,otherCategory,itemQuestion,competitor",100,English,55,0,29116,61,broom,itemQuestion,3,main
3814,51,NA,100,Graduated College,150953,1718290511935,1718290360982,female,box-muffins,"otherCategory,sameCategory,itemQuestion,competitor,mostSimilar",100,English,72,34,17691,51,box,itemQuestion,4,main
3814,51,NA,41,Graduated College,150953,1718290511935,1718290360982,female,towel-hair,"competitor,sameCategory,otherCategory,mostSimilar,itemQuestion",100,English,76,65,20928,14,towel,itemQuestion,5,main
3815,29,NA,0,Higher degree,115644,1718290517601,1718290401957,female,airport-usa,"itemQuestion,competitor,sameCategory,otherCategory,mostSimilar",0,English,0,0,15905,0,airport,itemQuestion,1,filler
3815,29,NA,65,Higher degree,115644,1718290517601,1718290401957,female,sweatpants-spill,"competitor,otherCategory,sameCategory,mostSimilar,itemQuestion",100,English,66,52,19113,56,sweatpants,itemQuestion,2,main
3815,29,NA,14,Higher degree,115644,1718290517601,1718290401957,female,pot-jam,"itemQuestion,otherCategory,competitor,mostSimilar,sameCategory",100,English,70,4,20847,69,pot,itemQuestion,3,main
3815,29,NA,93,Higher degree,115644,1718290517601,1718290401957,female,handkerchief-sauce,"otherCategory,sameCategory,competitor,itemQuestion,mostSimilar",86,English,93,0,14679,0,handkerchief,itemQuestion,4,main
3815,29,NA,84,Higher degree,115644,1718290517601,1718290401957,female,blanket-transportation,"sameCategory,competitor,otherCategory,itemQuestion,mostSimilar",79,English,19,55,12633,71,blanket,itemQuestion,5,main
3816,58,NA,78,Higher degree,216411,1718290537209,1718290320798,female,handkerchief-sauce,"mostSimilar,competitor,sameCategory,otherCategory,itemQuestion",99,English,97,0,62843,2,handkerchief,itemQuestion,1,main
3816,58,NA,73,Higher degree,216411,1718290537209,1718290320798,female,sweatpants-spill,"itemQuestion,sameCategory,otherCategory,mostSimilar,competitor",100,English,77,2,22777,81,sweatpants,itemQuestion,2,main
3816,58,NA,100,Higher degree,216411,1718290537209,1718290320798,female,umbrella-rain,"mostSimilar,otherCategory,itemQuestion,competitor,sameCategory",100,English,15,7,18950,0,umbrella,itemQuestion,3,main
3816,58,NA,33,Higher degree,216411,1718290537209,1718290320798,female,bottle-water,"competitor,sameCategory,otherCategory,mostSimilar,itemQuestion",100,English,2,1,30151,1,bottle,itemQuestion,4,main
3816,58,NA,0,Higher degree,216411,1718290537209,1718290320798,female,carRental-fun,"sameCategory,mostSimilar,otherCategory,competitor,itemQuestion",0,English,0,0,42836,0,carRental,itemQuestion,5,filler
3817,78,NA,100,Higher degree,243299,1718290538392,1718290295093,female,handkerchief-injury,"mostSimilar,competitor,otherCategory,sameCategory,itemQuestion",100,NA,100,1,44172,60,handkerchief,itemQuestion,1,main
3817,78,NA,67,Higher degree,243299,1718290538392,1718290295093,female,art-drawing,"sameCategory,otherCategory,itemQuestion,competitor,mostSimilar",100,NA,4,7,41960,7,art,itemQuestion,2,filler
3817,78,NA,100,Higher degree,243299,1718290538392,1718290295093,female,blanket-sleepover,"mostSimilar,competitor,otherCategory,sameCategory,itemQuestion",100,NA,2,0,28200,8,blanket,itemQuestion,3,main
3817,78,NA,22,Higher degree,243299,1718290538392,1718290295093,female,pot-garden,"otherCategory,mostSimilar,itemQuestion,sameCategory,competitor",100,NA,21,0,26500,25,pot,itemQuestion,4,main
3817,78,NA,10,Higher degree,243299,1718290538392,1718290295093,female,umbrella-summer,"itemQuestion,sameCategory,mostSimilar,competitor,otherCategory",100,NA,19,31,28966,28,umbrella,itemQuestion,5,main
3818,48,NA,87,Graduated College,236673,1718290588254,1718290351581,female,bottle-water,"otherCategory,competitor,itemQuestion,sameCategory,mostSimilar",100,NA,59,5,31801,22,bottle,itemQuestion,1,main
3818,48,NA,71,Graduated College,236673,1718290588254,1718290351581,female,music-hardrock,"itemQuestion,competitor,mostSimilar,sameCategory,otherCategory",100,NA,88,37,34117,79,music,itemQuestion,2,filler
3818,48,NA,93,Graduated College,236673,1718290588254,1718290351581,female,broom-snow,"mostSimilar,itemQuestion,competitor,sameCategory,otherCategory",100,NA,80,0,28016,6,broom,itemQuestion,3,main
3818,48,NA,100,Graduated College,236673,1718290588254,1718290351581,female,pot-jam,"otherCategory,mostSimilar,competitor,sameCategory,itemQuestion",100,NA,95,18,25316,72,pot,itemQuestion,4,main
3818,48,NA,82,Graduated College,236673,1718290588254,1718290351581,female,sugar-baking,"mostSimilar,competitor,itemQuestion,sameCategory,otherCategory",100,NA,81,0,19134,10,sugar,itemQuestion,5,main
3819,57,NA,46,Graduated High-school,124794,1718290764662,1718290639868,female,candy-dessert,"sameCategory,otherCategory,itemQuestion,mostSimilar,competitor",100,english,100,1,21095,12,candy,itemQuestion,1,main
3819,57,NA,21,Graduated High-school,124794,1718290764662,1718290639868,female,sweatpants-spill,"mostSimilar,itemQuestion,sameCategory,otherCategory,competitor",100,english,47,0,20342,1,sweatpants,itemQuestion,2,main
3819,57,NA,79,Graduated High-school,124794,1718290764662,1718290639868,female,broom-snow,"itemQuestion,sameCategory,mostSimilar,otherCategory,competitor",100,english,6,0,14363,0,broom,itemQuestion,3,main
3819,57,NA,93,Graduated High-school,124794,1718290764662,1718290639868,female,blanket-transportation,"itemQuestion,mostSimilar,competitor,sameCategory,otherCategory",100,english,7,17,14320,5,blanket,itemQuestion,4,main
3819,57,NA,0,Graduated High-school,124794,1718290764662,1718290639868,female,airport-usa,"sameCategory,mostSimilar,itemQuestion,competitor,otherCategory",0,english,0,0,18896,0,airport,itemQuestion,5,filler
3820,39,NA,84,Graduated College,74528,1718291144935,1718291070407,female,blanket-sleepover,"mostSimilar,sameCategory,itemQuestion,otherCategory,competitor",97,English,24,14,15063,3,blanket,itemQuestion,1,main
3820,39,NA,38,Graduated College,74528,1718291144935,1718291070407,female,music-softrock,"mostSimilar,sameCategory,itemQuestion,competitor,otherCategory",100,English,42,0,15620,34,music,itemQuestion,2,filler
3820,39,NA,64,Graduated College,74528,1718291144935,1718291070407,female,sweatpants-sleepover,"mostSimilar,competitor,otherCategory,itemQuestion,sameCategory",99,English,58,21,10072,23,sweatpants,itemQuestion,3,main
3820,39,NA,45,Graduated College,74528,1718291144935,1718291070407,female,candy-halloween,"itemQuestion,mostSimilar,sameCategory,competitor,otherCategory",90,English,75,37,8844,62,candy,itemQuestion,4,main
3820,39,NA,23,Graduated College,74528,1718291144935,1718291070407,female,towel-hair,"itemQuestion,sameCategory,competitor,mostSimilar,otherCategory",98,English,61,60,8776,34,towel,itemQuestion,5,main
3821,51,NA,100,Graduated College,140978,1718291168599,1718291027621,male,sweatpants-spill,"itemQuestion,sameCategory,competitor,mostSimilar,otherCategory",100,NA,0,32,25796,0,sweatpants,itemQuestion,1,main
3821,51,NA,67,Graduated College,140978,1718291168599,1718291027621,male,candy-dessert,"competitor,itemQuestion,mostSimilar,otherCategory,sameCategory",100,NA,82,0,16751,2,candy,itemQuestion,2,main
3821,51,NA,70,Graduated College,140978,1718291168599,1718291027621,male,broom-snow,"itemQuestion,mostSimilar,otherCategory,sameCategory,competitor",100,NA,22,0,18327,0,broom,itemQuestion,3,main
3821,51,NA,61,Graduated College,140978,1718291168599,1718291027621,male,airport-usa,"sameCategory,itemQuestion,otherCategory,competitor,mostSimilar",100,NA,0,0,22525,0,airport,itemQuestion,4,filler
3821,51,NA,25,Graduated College,140978,1718291168599,1718291027621,male,towel-clothes,"sameCategory,itemQuestion,mostSimilar,competitor,otherCategory",100,NA,71,23,17641,73,towel,itemQuestion,5,main
3822,42,NA,94,Graduated College,90374,1718437943830,1718437853456,female,towel-hair,"sameCategory,itemQuestion,otherCategory,mostSimilar,competitor",64,"ENGLISH, GERMAN",11,16,16464,84,towel,itemQuestion,1,main
3822,42,NA,3,Graduated College,90374,1718437943830,1718437853456,female,airport-europe-UPDATED,"mostSimilar,otherCategory,itemQuestion,sameCategory,competitor",99,"ENGLISH, GERMAN",2,1,15509,1,airport,itemQuestion,2,filler
3822,42,NA,21,Graduated College,90374,1718437943830,1718437853456,female,sugar-coffee,"mostSimilar,itemQuestion,sameCategory,competitor,otherCategory",98,"ENGLISH, GERMAN",21,2,10231,34,sugar,itemQuestion,3,main
3822,42,NA,22,Graduated College,90374,1718437943830,1718437853456,female,candy-halloween,"itemQuestion,competitor,mostSimilar,sameCategory,otherCategory",97,"ENGLISH, GERMAN",74,31,12829,62,candy,itemQuestion,4,main
3822,42,NA,4,Graduated College,90374,1718437943830,1718437853456,female,broom-renovation,"sameCategory,otherCategory,itemQuestion,mostSimilar,competitor",98,"ENGLISH, GERMAN",21,2,10465,4,broom,itemQuestion,5,main
3823,25,NA,83,Higher degree,95407,1718437981222,1718437885815,female,towel-hair,"sameCategory,otherCategory,competitor,mostSimilar,itemQuestion",89,English,35,26,16221,26,towel,itemQuestion,1,main
3823,25,NA,11,Higher degree,95407,1718437981222,1718437885815,female,postit-board,"otherCategory,mostSimilar,itemQuestion,competitor,sameCategory",96,English,73,11,12399,33,postit,itemQuestion,2,main
3823,25,NA,85,Higher degree,95407,1718437981222,1718437885815,female,box-muffins,"competitor,itemQuestion,otherCategory,mostSimilar,sameCategory",93,English,79,23,17709,59,box,itemQuestion,3,main
3823,25,NA,75,Higher degree,95407,1718437981222,1718437885815,female,airport-europe-UPDATED,"sameCategory,competitor,mostSimilar,itemQuestion,otherCategory",96,English,3,2,18450,8,airport,itemQuestion,4,filler
3823,25,NA,60,Higher degree,95407,1718437981222,1718437885815,female,handkerchief-injury,"mostSimilar,itemQuestion,otherCategory,sameCategory,competitor",98,English,89,2,13016,72,handkerchief,itemQuestion,5,main
3824,43,NA,65,Graduated High-school,93667,1718437967461,1718437873794,male,carRental-fun,"mostSimilar,itemQuestion,otherCategory,sameCategory,competitor",76,English,57,33,33045,65,carRental,itemQuestion,1,filler
3824,43,NA,65,Graduated High-school,93667,1718437967461,1718437873794,male,bottle-water,"mostSimilar,itemQuestion,sameCategory,competitor,otherCategory",87,English,63,18,14465,42,bottle,itemQuestion,2,main
3824,43,NA,46,Graduated High-school,93667,1718437967461,1718437873794,male,box-bbq,"sameCategory,itemQuestion,otherCategory,competitor,mostSimilar",89,English,57,64,11985,69,box,itemQuestion,3,main
3824,43,NA,58,Graduated High-school,93667,1718437967461,1718437873794,male,handkerchief-sauce,"otherCategory,competitor,itemQuestion,sameCategory,mostSimilar",86,English,70,27,10506,38,handkerchief,itemQuestion,4,main
3824,43,NA,54,Graduated High-school,93667,1718437967461,1718437873794,male,blanket-transportation,"itemQuestion,sameCategory,otherCategory,competitor,mostSimilar",92,English,52,53,10929,69,blanket,itemQuestion,5,main
3825,26,NA,0,Graduated College,120329,1718437983420,1718437863091,male,carRental-fun,"otherCategory,competitor,itemQuestion,mostSimilar,sameCategory",0,English,0,0,20785,0,carRental,itemQuestion,1,filler
3825,26,NA,68,Graduated College,120329,1718437983420,1718437863091,male,box-bbq,"mostSimilar,otherCategory,itemQuestion,sameCategory,competitor",81,English,49,0,27753,20,box,itemQuestion,2,main
3825,26,NA,39,Graduated College,120329,1718437983420,1718437863091,male,towel-clothes,"competitor,itemQuestion,mostSimilar,sameCategory,otherCategory",93,English,80,14,12135,67,towel,itemQuestion,3,main
3825,26,NA,79,Graduated College,120329,1718437983420,1718437863091,male,blanket-transportation,"itemQuestion,otherCategory,competitor,mostSimilar,sameCategory",68,English,28,32,16264,67,blanket,itemQuestion,4,main
3825,26,NA,0,Graduated College,120329,1718437983420,1718437863091,male,sugar-baking,"otherCategory,sameCategory,itemQuestion,competitor,mostSimilar",100,English,0,0,23344,0,sugar,itemQuestion,5,main
3826,39,NA,62,Graduated College,134220,1718437990967,1718437856747,male,sugar-baking,"otherCategory,mostSimilar,competitor,sameCategory,itemQuestion",100,NA,62,6,33510,68,sugar,itemQuestion,1,main
3826,39,NA,33,Graduated College,134220,1718437990967,1718437856747,male,candy-dessert,"itemQuestion,competitor,sameCategory,mostSimilar,otherCategory",32,NA,33,16,20649,60,candy,itemQuestion,2,main
3826,39,NA,100,Graduated College,134220,1718437990967,1718437856747,male,music-hardrock,"itemQuestion,mostSimilar,sameCategory,competitor,otherCategory",100,NA,98,100,12406,98,music,itemQuestion,3,filler
3826,39,NA,79,Graduated College,134220,1718437990967,1718437856747,male,postit-reading,"sameCategory,itemQuestion,competitor,otherCategory,mostSimilar",91,NA,61,0,23392,0,postit,itemQuestion,4,main
3826,39,NA,79,Graduated College,134220,1718437990967,1718437856747,male,umbrella-rain,"competitor,otherCategory,itemQuestion,sameCategory,mostSimilar",92,NA,42,0,14392,1,umbrella,itemQuestion,5,main
3827,60,NA,99,Graduated College,113217,1718438000078,1718437886861,female,box-bbq,"mostSimilar,otherCategory,competitor,itemQuestion,sameCategory",100,english,100,0,22129,0,box,itemQuestion,1,main
3827,60,NA,99,Graduated College,113217,1718438000078,1718437886861,female,umbrella-rain,"sameCategory,otherCategory,mostSimilar,itemQuestion,competitor",100,english,1,0,15182,0,umbrella,itemQuestion,2,main
3827,60,NA,100,Graduated College,113217,1718438000078,1718437886861,female,sugar-baking,"competitor,mostSimilar,otherCategory,itemQuestion,sameCategory",100,english,99,0,15884,1,sugar,itemQuestion,3,main
3827,60,NA,1,Graduated College,113217,1718438000078,1718437886861,female,jobCenter-office,"competitor,itemQuestion,otherCategory,sameCategory,mostSimilar",0,english,0,1,15562,0,jobCenter,itemQuestion,4,filler
3827,60,NA,99,Graduated College,113217,1718438000078,1718437886861,female,pot-jam,"competitor,itemQuestion,sameCategory,otherCategory,mostSimilar",100,english,99,1,14668,1,pot,itemQuestion,5,main
3828,35,n/a,100,Graduated College,124040,1718438003787,1718437879747,female,bottle-water,"itemQuestion,otherCategory,sameCategory,mostSimilar,competitor",100,English,100,0,22850,59,bottle,itemQuestion,1,main
