itemName,requested_option,received_option,mean_response
bookingAgency-highClassAccommodation,sameCategory,competitor,60.57142857142857
bookingAgency-highClassAccommodation,sameCategory,target,61.785714285714285
bookingAgency-highClassAccommodation,sameCategory,otherCategory,10.571428571428571
bookingAgency-highClassAccommodation,sameCategory,sameCategory,95.64285714285714
bookingAgency-lowClassAccommodation,competitor,competitor,92.15384615384616
bookingAgency-lowClassAccommodation,competitor,target,21.076923076923077
bookingAgency-lowClassAccommodation,competitor,otherCategory,73.53846153846153
bookingAgency-lowClassAccommodation,competitor,sameCategory,69.84615384615384
bookingAgency-lowClassAccommodation,target,competitor,74
bookingAgency-lowClassAccommodation,target,target,90.3
bookingAgency-lowClassAccommodation,target,otherCategory,86.6
bookingAgency-lowClassAccommodation,target,sameCategory,74.6
bookingAgency-lowClassAccommodation,otherCategory,competitor,22.583333333333332
bookingAgency-lowClassAccommodation,otherCategory,target,8.666666666666666
bookingAgency-lowClassAccommodation,otherCategory,otherCategory,92.41666666666667
bookingAgency-lowClassAccommodation,otherCategory,sameCategory,26.5
bookingAgency-lowClassAccommodation,sameCategory,competitor,63
bookingAgency-lowClassAccommodation,sameCategory,target,32.56521739130435
bookingAgency-lowClassAccommodation,sameCategory,otherCategory,66.91304347826087
bookingAgency-lowClassAccommodation,sameCategory,sameCategory,91
books-fantasy,competitor,competitor,93.19047619047619
books-fantasy,competitor,target,63.333333333333336
books-fantasy,competitor,otherCategory,17.71428571428571
books-fantasy,competitor,sameCategory,47.95238095238095
books-fantasy,target,competitor,55.57142857142857
books-fantasy,target,target,95.21428571428571
books-fantasy,target,otherCategory,14.892857142857144
books-fantasy,target,sameCategory,40.142857142857146
books-fantasy,otherCategory,competitor,26.214285714285715
books-fantasy,otherCategory,target,16
books-fantasy,otherCategory,otherCategory,98.57142857142857
books-fantasy,otherCategory,sameCategory,27.928571428571427
books-fantasy,sameCategory,competitor,53.357142857142854
books-fantasy,sameCategory,target,50.92857142857143
books-fantasy,sameCategory,otherCategory,16
books-fantasy,sameCategory,sameCategory,98.35714285714286
books-romance,competitor,competitor,97.4
books-romance,competitor,target,61.53333333333333
books-romance,competitor,otherCategory,24.666666666666664
books-romance,competitor,sameCategory,21.466666666666665
books-romance,target,competitor,56.88235294117647
books-romance,target,target,97.6470588235294
books-romance,target,otherCategory,25.11764705882353
books-romance,target,sameCategory,20.823529411764707
books-romance,otherCategory,competitor,20.77777777777778
books-romance,otherCategory,target,18.333333333333332
books-romance,otherCategory,otherCategory,97.44444444444444
books-romance,otherCategory,sameCategory,44.72222222222222
books-romance,sameCategory,competitor,26.8
books-romance,sameCategory,target,24.4
books-romance,sameCategory,otherCategory,35
books-romance,sameCategory,sameCategory,87
cafe-pie,competitor,competitor,98.6875
cafe-pie,competitor,target,73.5
cafe-pie,competitor,otherCategory,22
cafe-pie,competitor,sameCategory,52.5625
cafe-pie,target,competitor,65
cafe-pie,target,target,93.625
cafe-pie,target,otherCategory,25.25
cafe-pie,target,sameCategory,45.125
cafe-pie,otherCategory,competitor,15.461538461538462
cafe-pie,otherCategory,target,19.23076923076923
cafe-pie,otherCategory,otherCategory,89.6923076923077
cafe-pie,otherCategory,sameCategory,28.53846153846154
cafe-pie,sameCategory,competitor,31.266666666666666
cafe-pie,sameCategory,target,34.733333333333334
cafe-pie,sameCategory,otherCategory,20.6
cafe-pie,sameCategory,sameCategory,95.8
cafe-pizza,competitor,competitor,97.77777777777777
cafe-pizza,competitor,target,44.77777777777778
cafe-pizza,competitor,otherCategory,10.333333333333334
cafe-pizza,competitor,sameCategory,40.333333333333336
cafe-pizza,target,competitor,52.1875
cafe-pizza,target,target,98.625
cafe-pizza,target,otherCategory,17.4375
cafe-pizza,target,sameCategory,11
cafe-pizza,otherCategory,competitor,25.789473684210527
cafe-pizza,otherCategory,target,22.210526315789473
cafe-pizza,otherCategory,otherCategory,96.26315789473684
cafe-pizza,otherCategory,sameCategory,21.05263157894737
cafe-pizza,sameCategory,competitor,51.36363636363637
cafe-pizza,sameCategory,target,20.636363636363637
cafe-pizza,sameCategory,otherCategory,9.363636363636363
cafe-pizza,sameCategory,sameCategory,97.36363636363636
clothing-acc,competitor,competitor,98.71428571428571
clothing-acc,competitor,target,32.714285714285715
clothing-acc,competitor,otherCategory,1.357142857142857
clothing-acc,competitor,sameCategory,8.571428571428571
clothing-acc,target,competitor,49.15384615384615
clothing-acc,target,target,96.53846153846153
clothing-acc,target,otherCategory,21
clothing-acc,target,sameCategory,28.153846153846153
clothing-acc,otherCategory,competitor,13.583333333333332
clothing-acc,otherCategory,target,9.75
clothing-acc,otherCategory,otherCategory,99.25
clothing-acc,otherCategory,sameCategory,23.916666666666664
clothing-acc,sameCategory,competitor,27.411764705882355
clothing-acc,sameCategory,target,25.470588235294116
clothing-acc,sameCategory,otherCategory,17.647058823529413
clothing-acc,sameCategory,sameCategory,97.17647058823529
clothing-clothes,competitor,competitor,97.125
clothing-clothes,competitor,target,18.5
clothing-clothes,competitor,otherCategory,20.25
clothing-clothes,competitor,sameCategory,16.125
clothing-clothes,target,competitor,26.6875
clothing-clothes,target,target,93.5625
clothing-clothes,target,otherCategory,18.0625
clothing-clothes,target,sameCategory,28.4375
clothing-clothes,otherCategory,competitor,17.25
clothing-clothes,otherCategory,target,15.3125
clothing-clothes,otherCategory,otherCategory,97.3125
clothing-clothes,otherCategory,sameCategory,19.4375
clothing-clothes,sameCategory,competitor,22.307692307692307
clothing-clothes,sameCategory,target,40.76923076923077
clothing-clothes,sameCategory,otherCategory,26.153846153846153
clothing-clothes,sameCategory,sameCategory,99.3076923076923
dutyFree-smokes,competitor,competitor,96.38461538461539
dutyFree-smokes,competitor,target,30.615384615384617
dutyFree-smokes,competitor,otherCategory,13.615384615384617
dutyFree-smokes,competitor,sameCategory,29.384615384615383
dutyFree-smokes,target,competitor,56.666666666666664
dutyFree-smokes,target,target,98.33333333333333
dutyFree-smokes,target,otherCategory,2.5555555555555554
dutyFree-smokes,target,sameCategory,24
dutyFree-smokes,otherCategory,competitor,3
dutyFree-smokes,otherCategory,target,0.8
dutyFree-smokes,otherCategory,otherCategory,98
dutyFree-smokes,otherCategory,sameCategory,6.6
dutyFree-smokes,sameCategory,competitor,11.222222222222221
dutyFree-smokes,sameCategory,target,13.166666666666668
dutyFree-smokes,sameCategory,otherCategory,16.166666666666668
dutyFree-smokes,sameCategory,sameCategory,90.05555555555556
dutyFree-sweets,competitor,competitor,99.26666666666667
dutyFree-sweets,competitor,target,51.06666666666667
dutyFree-sweets,competitor,otherCategory,1.0666666666666667
dutyFree-sweets,competitor,sameCategory,31.4
dutyFree-sweets,target,competitor,44.888888888888886
dutyFree-sweets,target,target,97.33333333333333
dutyFree-sweets,target,otherCategory,4.166666666666666
dutyFree-sweets,target,sameCategory,28.166666666666664
dutyFree-sweets,otherCategory,competitor,18.5625
dutyFree-sweets,otherCategory,target,24.625
dutyFree-sweets,otherCategory,otherCategory,97.4375
dutyFree-sweets,otherCategory,sameCategory,17.0625
dutyFree-sweets,sameCategory,competitor,51.1875
dutyFree-sweets,sameCategory,target,63.9375
dutyFree-sweets,sameCategory,otherCategory,10
dutyFree-sweets,sameCategory,sameCategory,87.5625
electronics-console,competitor,competitor,90.54545454545455
electronics-console,competitor,target,45.63636363636363
electronics-console,competitor,otherCategory,41.90909090909091
electronics-console,competitor,sameCategory,40.81818181818182
electronics-console,target,competitor,53.30769230769231
electronics-console,target,target,93.38461538461539
electronics-console,target,otherCategory,39.92307692307692
electronics-console,target,sameCategory,35.15384615384615
electronics-console,otherCategory,competitor,27.473684210526315
electronics-console,otherCategory,target,27.94736842105263
electronics-console,otherCategory,otherCategory,98
electronics-console,otherCategory,sameCategory,15.736842105263158
electronics-console,sameCategory,competitor,66.66666666666667
electronics-console,sameCategory,target,70.38888888888889
electronics-console,sameCategory,otherCategory,53.5
electronics-console,sameCategory,sameCategory,96
electronics-laptop,competitor,competitor,98
electronics-laptop,competitor,target,80.75
electronics-laptop,competitor,otherCategory,26.5625
electronics-laptop,competitor,sameCategory,38.5625
electronics-laptop,target,competitor,68.93333333333334
electronics-laptop,target,target,96.46666666666667
electronics-laptop,target,otherCategory,31.6
electronics-laptop,target,sameCategory,38.6
electronics-laptop,otherCategory,competitor,44.90909090909091
electronics-laptop,otherCategory,target,47.45454545454545
electronics-laptop,otherCategory,otherCategory,92.18181818181819
electronics-laptop,otherCategory,sameCategory,50.18181818181818
electronics-laptop,sameCategory,competitor,56
electronics-laptop,sameCategory,target,63.916666666666664
electronics-laptop,sameCategory,otherCategory,31.083333333333336
electronics-laptop,sameCategory,sameCategory,94.91666666666667
friendsActivities-boardGames,competitor,competitor,94.8
friendsActivities-boardGames,competitor,target,59.7
friendsActivities-boardGames,competitor,otherCategory,45.1
friendsActivities-boardGames,competitor,sameCategory,57.3
friendsActivities-boardGames,target,competitor,45.125
friendsActivities-boardGames,target,target,96.75
friendsActivities-boardGames,target,otherCategory,35.125
friendsActivities-boardGames,target,sameCategory,43.5625
friendsActivities-boardGames,otherCategory,competitor,21.09090909090909
friendsActivities-boardGames,otherCategory,target,20.363636363636363
friendsActivities-boardGames,otherCategory,otherCategory,98.18181818181819
friendsActivities-boardGames,otherCategory,sameCategory,21.81818181818182
friendsActivities-boardGames,sameCategory,competitor,41.25
friendsActivities-boardGames,sameCategory,target,53.25
friendsActivities-boardGames,sameCategory,otherCategory,20.125
friendsActivities-boardGames,sameCategory,sameCategory,97
friendsActivities-videoEntertainment,competitor,competitor,87.57142857142857
friendsActivities-videoEntertainment,competitor,target,82
friendsActivities-videoEntertainment,competitor,otherCategory,38.5
friendsActivities-videoEntertainment,competitor,sameCategory,55.142857142857146
friendsActivities-videoEntertainment,target,competitor,72
friendsActivities-videoEntertainment,target,target,97.83333333333333
friendsActivities-videoEntertainment,target,otherCategory,20.666666666666668
friendsActivities-videoEntertainment,target,sameCategory,36.416666666666664
friendsActivities-videoEntertainment,otherCategory,competitor,41.2
friendsActivities-videoEntertainment,otherCategory,target,39.15
friendsActivities-videoEntertainment,otherCategory,otherCategory,96.95
friendsActivities-videoEntertainment,otherCategory,sameCategory,39.55
friendsActivities-videoEntertainment,sameCategory,competitor,45.285714285714285
friendsActivities-videoEntertainment,sameCategory,target,46.42857142857143
friendsActivities-videoEntertainment,sameCategory,otherCategory,31
friendsActivities-videoEntertainment,sameCategory,sameCategory,96.85714285714286
gym-boxing,competitor,competitor,97.76923076923077
gym-boxing,competitor,target,70.46153846153847
gym-boxing,competitor,otherCategory,18.615384615384617
gym-boxing,competitor,sameCategory,57.84615384615385
gym-boxing,target,competitor,71.42105263157895
gym-boxing,target,target,95.36842105263158
gym-boxing,target,otherCategory,26.789473684210527
gym-boxing,target,sameCategory,58.1578947368421
gym-boxing,otherCategory,competitor,23.2
gym-boxing,otherCategory,target,29.466666666666665
gym-boxing,otherCategory,otherCategory,94.86666666666666
gym-boxing,otherCategory,sameCategory,26.866666666666667
gym-boxing,sameCategory,competitor,49.529411764705884
gym-boxing,sameCategory,target,44.94117647058823
gym-boxing,sameCategory,otherCategory,14.117647058823529
gym-boxing,sameCategory,sameCategory,92.76470588235294
gym-yoga,competitor,competitor,95.76190476190476
gym-yoga,competitor,target,63.904761904761905
gym-yoga,competitor,otherCategory,20.714285714285715
gym-yoga,competitor,sameCategory,45.095238095238095
gym-yoga,target,competitor,61.81818181818182
gym-yoga,target,target,98.0909090909091
gym-yoga,target,otherCategory,30.454545454545453
gym-yoga,target,sameCategory,38.72727272727273
gym-yoga,otherCategory,competitor,25.533333333333335
gym-yoga,otherCategory,target,24.666666666666664
gym-yoga,otherCategory,otherCategory,95.13333333333334
gym-yoga,otherCategory,sameCategory,24.4
gym-yoga,sameCategory,competitor,34.25
gym-yoga,sameCategory,target,34.916666666666664
gym-yoga,sameCategory,otherCategory,38
gym-yoga,sameCategory,sameCategory,95.66666666666667
interior-deco,competitor,competitor,93.46666666666667
interior-deco,competitor,target,59.06666666666667
interior-deco,competitor,otherCategory,12.533333333333333
interior-deco,competitor,sameCategory,30.733333333333334
interior-deco,target,competitor,58.111111111111114
interior-deco,target,target,94.72222222222223
interior-deco,target,otherCategory,14.5
interior-deco,target,sameCategory,27.72222222222222
interior-deco,otherCategory,competitor,26.25
interior-deco,otherCategory,target,22.625
interior-deco,otherCategory,otherCategory,95
interior-deco,otherCategory,sameCategory,21.3125
interior-deco,sameCategory,competitor,26.666666666666664
interior-deco,sameCategory,target,28.5
interior-deco,sameCategory,otherCategory,9
interior-deco,sameCategory,sameCategory,96.5
interior-green,competitor,competitor,94.71428571428571
interior-green,competitor,target,51.357142857142854
interior-green,competitor,otherCategory,20.357142857142858
interior-green,competitor,sameCategory,33.57142857142857
interior-green,target,competitor,56.63636363636363
interior-green,target,target,97.72727272727273
interior-green,target,otherCategory,25.727272727272727
interior-green,target,sameCategory,41.27272727272727
interior-green,otherCategory,competitor,25.11764705882353
interior-green,otherCategory,target,24.941176470588236
interior-green,otherCategory,otherCategory,97.47058823529412
interior-green,otherCategory,sameCategory,26.176470588235293
interior-green,sameCategory,competitor,33.470588235294116
interior-green,sameCategory,target,39.64705882352941
interior-green,sameCategory,otherCategory,27.588235294117645
interior-green,sameCategory,sameCategory,89.23529411764706
kidsActivities-crafts,competitor,competitor,86.83333333333333
kidsActivities-crafts,competitor,target,47.25
kidsActivities-crafts,competitor,otherCategory,26.666666666666668
kidsActivities-crafts,competitor,sameCategory,36.25
kidsActivities-crafts,target,competitor,47.15
kidsActivities-crafts,target,target,93.4
kidsActivities-crafts,target,otherCategory,17.7
kidsActivities-crafts,target,sameCategory,42.9
kidsActivities-crafts,otherCategory,competitor,16.22222222222222
kidsActivities-crafts,otherCategory,target,23.61111111111111
kidsActivities-crafts,otherCategory,otherCategory,95.61111111111111
kidsActivities-crafts,otherCategory,sameCategory,13.277777777777779
kidsActivities-crafts,sameCategory,competitor,22.466666666666665
kidsActivities-crafts,sameCategory,target,36.93333333333333
kidsActivities-crafts,sameCategory,otherCategory,8.8
kidsActivities-crafts,sameCategory,sameCategory,97.66666666666667
kidsActivities-sports,competitor,competitor,94.1875
kidsActivities-sports,competitor,target,61.3125
kidsActivities-sports,competitor,otherCategory,13.5625
kidsActivities-sports,competitor,sameCategory,32.5
kidsActivities-sports,target,competitor,61
kidsActivities-sports,target,target,94.66666666666667
kidsActivities-sports,target,otherCategory,20.88888888888889
kidsActivities-sports,target,sameCategory,34.44444444444444
kidsActivities-sports,otherCategory,competitor,20.916666666666664
kidsActivities-sports,otherCategory,target,21.5
kidsActivities-sports,otherCategory,otherCategory,91
kidsActivities-sports,otherCategory,sameCategory,12.583333333333332
kidsActivities-sports,sameCategory,competitor,34.55
kidsActivities-sports,sameCategory,target,30.1
kidsActivities-sports,sameCategory,otherCategory,13.35
kidsActivities-sports,sameCategory,sameCategory,95.85
petAdoption-dogs,competitor,competitor,96.4375
petAdoption-dogs,competitor,target,44.9375
petAdoption-dogs,competitor,otherCategory,11.8125
petAdoption-dogs,competitor,sameCategory,21.0625
petAdoption-dogs,target,competitor,53.421052631578945
petAdoption-dogs,target,target,97.94736842105263
petAdoption-dogs,target,otherCategory,4.7368421052631575
petAdoption-dogs,target,sameCategory,21.473684210526315
petAdoption-dogs,otherCategory,competitor,37.54545454545455
petAdoption-dogs,otherCategory,target,31.90909090909091
petAdoption-dogs,otherCategory,otherCategory,96.45454545454545
petAdoption-dogs,otherCategory,sameCategory,34.63636363636363
petAdoption-dogs,sameCategory,competitor,47.333333333333336
petAdoption-dogs,sameCategory,target,35
petAdoption-dogs,sameCategory,otherCategory,18.77777777777778
petAdoption-dogs,sameCategory,sameCategory,86.77777777777777
petAdoption-hamster,competitor,competitor,95.91666666666667
petAdoption-hamster,competitor,target,62.791666666666664
petAdoption-hamster,competitor,otherCategory,33.79166666666667
petAdoption-hamster,competitor,sameCategory,39.875
petAdoption-hamster,target,competitor,57.05882352941177
petAdoption-hamster,target,target,97
petAdoption-hamster,target,otherCategory,20.705882352941178
petAdoption-hamster,target,sameCategory,25.88235294117647
petAdoption-hamster,otherCategory,competitor,14.52941176470588
petAdoption-hamster,otherCategory,target,17.235294117647058
petAdoption-hamster,otherCategory,otherCategory,95.41176470588235
petAdoption-hamster,otherCategory,sameCategory,16.58823529411765
petAdoption-hamster,sameCategory,competitor,43.66666666666667
petAdoption-hamster,sameCategory,target,45.55555555555556
petAdoption-hamster,sameCategory,otherCategory,42.22222222222222
petAdoption-hamster,sameCategory,sameCategory,97.66666666666667
touristInfo-childTheatre,competitor,competitor,91.4
touristInfo-childTheatre,competitor,target,58
touristInfo-childTheatre,competitor,otherCategory,30.1
touristInfo-childTheatre,competitor,sameCategory,24.6
touristInfo-childTheatre,target,competitor,65.14285714285714
touristInfo-childTheatre,target,target,95.78571428571429
touristInfo-childTheatre,target,otherCategory,14.5
touristInfo-childTheatre,target,sameCategory,15.428571428571429
touristInfo-childTheatre,otherCategory,competitor,28.692307692307693
touristInfo-childTheatre,otherCategory,target,5.307692307692308
touristInfo-childTheatre,otherCategory,otherCategory,98.6923076923077
touristInfo-childTheatre,otherCategory,sameCategory,8.23076923076923
touristInfo-childTheatre,sameCategory,competitor,25.0625
touristInfo-childTheatre,sameCategory,target,21.8125
touristInfo-childTheatre,sameCategory,otherCategory,21.3125
touristInfo-childTheatre,sameCategory,sameCategory,94.125
touristInfo-clubbing,competitor,competitor,97.25
touristInfo-clubbing,competitor,target,51.75
touristInfo-clubbing,competitor,otherCategory,17.1875
touristInfo-clubbing,competitor,sameCategory,24.5625
touristInfo-clubbing,target,competitor,63.666666666666664
touristInfo-clubbing,target,target,92.22222222222223
touristInfo-clubbing,target,otherCategory,36.44444444444444
touristInfo-clubbing,target,sameCategory,51.888888888888886
touristInfo-clubbing,otherCategory,competitor,27.27777777777778
touristInfo-clubbing,otherCategory,target,22.22222222222222
touristInfo-clubbing,otherCategory,otherCategory,85.38888888888889
touristInfo-clubbing,otherCategory,sameCategory,26.5
touristInfo-clubbing,sameCategory,competitor,26.695652173913043
touristInfo-clubbing,sameCategory,target,27.26086956521739
touristInfo-clubbing,sameCategory,otherCategory,20.73913043478261
touristInfo-clubbing,sameCategory,sameCategory,98.73913043478261
waterSport-motor,competitor,competitor,87.71428571428571
waterSport-motor,competitor,target,68.5
waterSport-motor,competitor,otherCategory,43.785714285714285
waterSport-motor,competitor,sameCategory,21.857142857142858
waterSport-motor,target,competitor,60.333333333333336
waterSport-motor,target,target,99.22222222222223
waterSport-motor,target,otherCategory,25.88888888888889
waterSport-motor,target,sameCategory,15.333333333333332
waterSport-motor,otherCategory,competitor,26
waterSport-motor,otherCategory,target,47.63636363636364
waterSport-motor,otherCategory,otherCategory,98
waterSport-motor,otherCategory,sameCategory,44.36363636363637
waterSport-motor,sameCategory,competitor,28.357142857142854
waterSport-motor,sameCategory,target,39.92857142857143
waterSport-motor,sameCategory,otherCategory,58.285714285714285
waterSport-motor,sameCategory,sameCategory,97
waterSport-muscle,competitor,competitor,96.66666666666667
waterSport-muscle,competitor,target,61.523809523809526
waterSport-muscle,competitor,otherCategory,35
waterSport-muscle,competitor,sameCategory,44.666666666666664
waterSport-muscle,target,competitor,61.666666666666664
waterSport-muscle,target,target,99.61111111111111
waterSport-muscle,target,otherCategory,27.22222222222222
waterSport-muscle,target,sameCategory,41.166666666666664
waterSport-muscle,otherCategory,competitor,39.642857142857146
waterSport-muscle,otherCategory,target,31.214285714285715
waterSport-muscle,otherCategory,otherCategory,98.92857142857143
waterSport-muscle,otherCategory,sameCategory,30.5
waterSport-muscle,sameCategory,competitor,53.666666666666664
waterSport-muscle,sameCategory,target,57.083333333333336
waterSport-muscle,sameCategory,otherCategory,33.25
waterSport-muscle,sameCategory,sameCategory,96.33333333333333
zoo-reptiles,competitor,competitor,98.8125
zoo-reptiles,competitor,target,68.8125
zoo-reptiles,competitor,otherCategory,30
zoo-reptiles,competitor,sameCategory,52.3125
zoo-reptiles,target,competitor,57.166666666666664
zoo-reptiles,target,target,95.05555555555556
zoo-reptiles,target,otherCategory,40.05555555555556
zoo-reptiles,target,sameCategory,48.611111111111114
zoo-reptiles,otherCategory,competitor,29.25
zoo-reptiles,otherCategory,target,30.9375
zoo-reptiles,otherCategory,otherCategory,98.125
zoo-reptiles,otherCategory,sameCategory,31.0625
zoo-reptiles,sameCategory,competitor,42.8421052631579
zoo-reptiles,sameCategory,target,46.421052631578945
zoo-reptiles,sameCategory,otherCategory,37.94736842105263
zoo-reptiles,sameCategory,sameCategory,95.10526315789474
zoo-xl,competitor,competitor,99
zoo-xl,competitor,target,72.38461538461539
zoo-xl,competitor,otherCategory,28.384615384615383
zoo-xl,competitor,sameCategory,51.38461538461539
zoo-xl,target,competitor,74.16666666666667
zoo-xl,target,target,98
zoo-xl,target,otherCategory,42.33333333333333
zoo-xl,target,sameCategory,60.583333333333336
zoo-xl,otherCategory,competitor,41.75
zoo-xl,otherCategory,target,41.5625
zoo-xl,otherCategory,otherCategory,94.1875
zoo-xl,otherCategory,sameCategory,35.25
zoo-xl,sameCategory,competitor,60.666666666666664
zoo-xl,sameCategory,target,59.06666666666667
zoo-xl,sameCategory,otherCategory,38.2
zoo-xl,sameCategory,sameCategory,98
