submission_id,answer,itemName,settingName,category,response_option
4861,"No but I do have honey, syrup and sweetener tablets if any of those would be suitable?",sugar-coffee,sugar,sameCategory,"sweetener, syrup, honey"
4861,No - but I do have these containers. Please pick whichever you prefer.,box-muffins,box,other,other
4868,"No, but I do have a watering can you can use if you like.",bottle-plants,bottle,competitor,watering can
4868,I don't have a broom but you're more than welcome to borrow my brush and vacuum cleaner.,broom-renovation,broom,sameCategory,"vacuum, hand brush"
4868,"No, but you can use my pyjamas if you like.",sweatpants-sleepover,sweatpants,competitor,pyjamas
4868,"No, but I do have sweetener, honey or agave syrup.",sugar-coffee,sugar,sameCategory,"sweetener, syrup, honey"
4937,Unfortunately I don't have a blanket but I do have a sleeping bag if that helps?,blanket-sleepover,blanket,competitor,sleeping bag
4937,I dont have a bottle but I have a watering can if you would like to use that to water the plants,bottle-plants,bottle,competitor,watering can
4937,I dont have a towel im afraid but you can use my hair dryer?,towel-hair,towel,competitor,hairdryer
4937,I dont have a box but I have a cake container and some ziplock bags you can use,box-muffins,box,sameCategory,"cake container, ziplock"
4844,No I don't but can offer you a glass.,bottle-water,bottle,mostSimilar,glass
4844,No I do not,sugar-baking,sugar,taciturn,no
4844,I do not but can offer an alternative,broom-snow,broom,other,other
4844,No but can offer you a napkin,handkerchief-sauce,handkerchief,mostSimilar,napkins
4845,I've got a cake box or a ziplock bag if you want to use them,box-bbq,box,sameCategory,"cake container, ziplock"
4845,"Yeah, I've got sticky bookmarks",postit-reading,postit,competitor,bookmarks
4845,"no, but I've got some shorts or leggings if you want them",sweatpants-spill,sweatpants,sameCategory,"shorts, leggings"
4845,I have chocolate,candy-dessert,candy,mostSimilar,chocolate
4847,No but you can use hair the dryer in the basement?,towel-hair,towel,sameCategory,dryer
4847,No but you are welcome to use the hand brush,broom-renovation,broom,mostSimilar,hand brush
4847,No sorry but you can use the watering can,bottle-plants,bottle,competitor,watering can
4847,No but I have sunscreen and you can use the tent for shade,umbrella-summer,umbrella,other,"sunscreen, tent"
4938,"No, sorry",sweatpants-spill,sweatpants,taciturn,no
4938,Does chocolate bar count as candy?,candy-dessert,candy,mostSimilar,chocolate
4938,"I've only got a hand brush, will that be enough?",broom-snow,broom,mostSimilar,hand brush
4947,No i dont have a spare one sorry,blanket-transportation,blanket,taciturn,no
4947,I might have some cookware,pot-jam,pot,other,other
4852,"Yes, I have sticky bookmarks.",postit-board,postit,sameCategory,bookmarks
4852,"No, I only have Pyjamas or leggings. 
",sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, leggings"
4852,No but I have a hair dryer,towel-hair,towel,competitor,hairdryer
4852,No but I have a watering can or my to-go mug.,bottle-plants,bottle,sameCategory,"watering can, mug"
4858,We have chocolate,candy-dessert,candy,mostSimilar,chocolate
4858,No sorry but I’ve got a shovel and a hand brush.,broom-snow,broom,sameCategory,"shovel, hand brush"
4858,"No sorry, I do have a sleeping bag you could borrow. That would help to protect it.",blanket-transportation,blanket,sameCategory,sleeping bag
4858,"No sorry, I’ve got a rain jacket you could borrow, although only one I’m afraid.",umbrella-rain,umbrella,competitor,rain jacket
4865,"I do yeah, I've got wet wipes or tissues, which would you like?",handkerchief-sauce,handkerchief,sameCategory,"wet wipes, napkins"
4865,"Kind of, would these sticky bookmarks do? I've got a notebook if that'd be better.",postit-reading,postit,sameCategory,"bookmarks, notebook"
4865,"Sorry I don't, would leggings work? Come have a look, you can choose something.",sweatpants-spill,sweatpants,mostSimilar,leggings
4865,"I've got a sleeping bag, that'll be more padded than a blanket anyways, I think.",blanket-transportation,blanket,sameCategory,sleeping bag
4866,no sorry but i have loads of bags and cake containers.,box-bbq,box,sameCategory,cake container
4866,"dude, you knoow i  havnt done my washing yet, b i  have towelsr u can u the dryers",towel-clothes,towel,competitor,dryer
4866,"no but i have a shovel, lets do this together shall we",broom-snow,broom,competitor,shovel
4866,"sorry no, but you can lend these shorts or pat dry with a towel 
",sweatpants-spill,sweatpants,other,"shorts, towel"
4854,No but there is a dryer in the basement that they could use,towel-clothes,towel,competitor,dryer
4854,I have ice cream or chocolate,candy-dessert,candy,sameCategory,"ice cream, chocolate"
4854,I do - I have camping cookware and pans that I can lend you,pot-jam,pot,sameCategory,"camping cookware, pans"
4854,not a box but I can give you something to take leftovers in,box-bbq,box,other,other
4871,"No, but I have agave sugar",sugar-baking,sugar,competitor,syrup
4871,No but I have other things that might be helpful,postit-reading,postit,other,other
4871,No but do you want to use this to-go mug?,bottle-water,bottle,competitor,mug
4871,I'll give you a cake container,box-bbq,box,sameCategory,cake container
4939,"Sorry, no, but I do have a hair dryer that you could use instead.",towel-hair,towel,competitor,hairdryer
4939,"Yeah, there's some candy and chocolate in the kitchen - give them that!",candy-halloween,candy,mostSimilar,chocolate
4939,I've got some leggings and pyjamas - would either of those be ok?,sweatpants-sleepover,sweatpants,sameCategory,"leggings, pyjamas"
4855,No sorry. I have a to-go mug if that helps at all?,bottle-water,bottle,competitor,mug
4855,"Yeah, we have chocolate and ice cream!",candy-dessert,candy,sameCategory,"ice cream, chocolate"
4855,I can offer you some leggings?,sweatpants-spill,sweatpants,mostSimilar,leggings
4856,"No, but You could make a sunshade from the bike cover or set up the tent?",umbrella-summer,umbrella,other,"bike cover, tent"
4856,"No, but I've got a sleeping bag, if that helps?",blanket-sleepover,blanket,competitor,sleeping bag
4856,"No, but I've got a notebook and some sticky bookmarks you can have?",postit-board,postit,sameCategory,"bookmarks, notebook"
4856,"No, but I've got some paper towels?",towel-hair,towel,mostSimilar,paper towels
4859,"No, but I do have a sleeping bag.",blanket-sleepover,blanket,competitor,sleeping bag
4859,"No, but I dohave a hair dryer if you want to use that.",towel-hair,towel,competitor,hairdryer
4859,"No, but I have pyjamas or shorts if you'd like any of those.",sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, shorts"
4859,"No, but I have a hand brush and a shovel, or a vacuum cleaner if you could use those.",broom-renovation,broom,sameCategory,"shovel, hand brush, vacuum"
4864,"No, but I have a hair dryer, if that helps.",towel-hair,towel,competitor,hairdryer
4864,No. I have some ziplock bags though.,box-muffins,box,sameCategory,ziplock
4864,No. I have some sunscreen if you're interested.,umbrella-summer,umbrella,competitor,sunscreen
4864,"No, sorry.",broom-renovation,broom,taciturn,no
4869,"No I have le

",sweatpants-spill,sweatpants,taciturn,no
4869,No I have a container,box-bbq,box,other,other
4869,No I dont,postit-reading,postit,taciturn,no
4869,I have chocolate,candy-dessert,candy,mostSimilar,chocolate
4940,"No, but you can use my hairdryer?",towel-hair,towel,competitor,hairdryer
4940,I don’t. I have a marker for the whiteboard we could use?,postit-board,postit,competitor,marker
4940,I don’t but you are welcome to borrow something else.,sweatpants-sleepover,sweatpants,other,other
4875,I have paper towels in the basement,towel-clothes,towel,mostSimilar,paper towels
4875,no sorry but I have a shovel,broom-snow,broom,competitor,shovel
4875,No sorry but I have some cans and pans,pot-jam,pot,sameCategory,"cans, pans"
4875,I have sticky bookmarks if that helps,postit-reading,postit,competitor,bookmarks
4878,"No, sorry. I don't have a broom but I do have a shovel or a hand brush. Could they help you at all?",broom-snow,broom,sameCategory,"shovel, hand brush"
4878,"No, sorry - I have used all mine in my baking. What are yo making? Will honey or agave syrup do?",sugar-baking,sugar,sameCategory,"syrup, honey"
4878,"No, but a wet wipe might clear that up better - I have some of those of you like?",handkerchief-sauce,handkerchief,competitor,wet wipes
4878,"I have a blanket to warm you up and I can put your clothes in the drier if you like? 
",towel-clothes,towel,other,"blanket, dryer"
4941,"No I don’t have a box but I have a carton, a tote bag, a cake container and a zip lock bag if you’d like any of those instead?",box-bbq,box,fullList,"carton, cake container, ziplock, tote"
4941,No I haven’t got a broom but I do have a hand brush if that would be any help?,broom-snow,broom,mostSimilar,hand brush
4941,"No I don’t have a towel but you could try using my blanket, if you wanted?",towel-clothes,towel,otherCategory,blanket
4941,No I don’t have a blanket but I do have other stuff that may help you transport the mirror.,blanket-transportation,blanket,other,other
4876,I don’t have a blanket but I do have a sleeping bag if that would be helpful?,blanket-sleepover,blanket,competitor,sleeping bag
4876,"No, I don’t have a bottle, do you want the watering can?",bottle-plants,bottle,competitor,watering can
4876,"Sorry I don’t, I have lots of other bits but nothing like a plant pot.",pot-garden,pot,other,other
4876,"I have a hair dryer you can use, it will be better than a towel.",towel-hair,towel,competitor,hairdryer
4942,"No sorry, I have a hand brush but I don't have a broom I'm afraid.",broom-renovation,broom,mostSimilar,hand brush
4942,No sorry I don't have any pots but I have some old cans and ceramic plates that you could maybe use instead of a pot if you would like to try them?,pot-garden,pot,other,"cans, ceramic plates"
4942,No sorry but you can borrow my sleeping bag which could be used instead of a blanket.,blanket-sleepover,blanket,competitor,sleeping bag
4942,No sorry I don't have a bottle but you can use my watering can or my glass to water the plants if you like?,bottle-plants,bottle,sameCategory,"watering can, glass"
4943,"I have a vacuum cleaner if that helps, you are welcome to borrow it",broom-renovation,broom,competitor,vacuum
4943,I have some chocolate,candy-halloween,candy,mostSimilar,chocolate
4943,I have some old cans,pot-garden,pot,competitor,cans
4943,No but I have a watering can,bottle-plants,bottle,competitor,watering can
4944,"I sure do, would you like some?",candy-dessert,candy,other,other
4944,"Sure we can share, no problem",bottle-water,bottle,other,other
4934,I have a watering can you can use,bottle-plants,bottle,competitor,watering can
4934,I have some pyjamas you could wear,sweatpants-sleepover,sweatpants,competitor,pyjamas
4934,I have a vacuum,broom-renovation,broom,competitor,vacuum
4930,"Yes I have several, come and see which one you would like!",pot-garden,pot,other,other
4930,"Not exactly, would you like to borrow a hairdryer?",towel-hair,towel,competitor,hairdryer
4930,"No, but I have sunscreen.",umbrella-summer,umbrella,competitor,sunscreen
4930,"I've got sticky bookmarks, will that do?",postit-board,postit,sameCategory,bookmarks
4931,sorry i do not have a broom. I do have a hand brush though.,broom-snow,broom,mostSimilar,hand brush
4931,I have a sleeping bag and a pillow if that helps?,blanket-transportation,blanket,sameCategory,"sleeping bag, pillow"
4931,I have some pans.,pot-jam,pot,competitor,pans
4932,I don't have a pot sorry but I have a few things that may be suitable such as old cans,pot-garden,pot,competitor,cans
4932,No I don't but I have sweetener tablets,sugar-coffee,sugar,competitor,sweetener
4932,No but i have a watering can you can use,bottle-plants,bottle,competitor,watering can
4933,"""I don't have any sweatpants I'm afraid, but I do have a pair of leggings or some pyjama bottoms you could borrow.""",sweatpants-spill,sweatpants,sameCategory,"leggings, pyjamas"
4933,"""I've got a big chocolate bar. Otherwise it's ice cream.""",candy-dessert,candy,sameCategory,"chocolate, ice cream"
4933,"""I don't have an umbrella but you could wear my rain jacket.""",umbrella-rain,umbrella,competitor,rain jacket
4933,"""I've got plenty of pans in the basement.""",pot-jam,pot,competitor,pans
4935,"Yes we have chocolate , trail mix and soda",candy-halloween,candy,other,"chocolate, trailmix, soda"
4935,I have everything but I don’t think I have pots,pot-garden,pot,other,other
4935,No but I have a sleeping bag,blanket-sleepover,blanket,competitor,sleeping bag
4935,I have a cake container or a zip lock bag?,box-muffins,box,sameCategory,"cake container, ziplock"
4936,I have a shovel which will be much more useful,broom-snow,broom,competitor,shovel
4936,I have a to-go mug which you can use instead.,bottle-water,bottle,competitor,mug
4936,I have some chocolate which you might enjoy,candy-dessert,candy,mostSimilar,chocolate
4936,I have some wet wipes that you can use to clean your sweater.,handkerchief-sauce,handkerchief,competitor,wet wipes
4946,"I don't, but you could borrow a cake container.",box-bbq,box,sameCategory,cake container
4946,"Sorry, I don't",towel-clothes,towel,taciturn,no
4946,"I don't, but would bubble wrap be helpful as I have that?",blanket-transportation,blanket,competitor,bubble wrap
4946,"No, but we have chocolate or ice-cream.",candy-dessert,candy,sameCategory,"chocolate, ice cream"
4948,I would reply. Yes I have some paper napkins. You are more than welcome to have some.,handkerchief-sauce,handkerchief,mostSimilar,napkins
4948,No unfortunately I do not one but I can lend you my use rain coat if that helps.,umbrella-rain,umbrella,competitor,rain jacket
4948,I have got some camping cookware and several pans you can use if that is helpful to you.,pot-jam,pot,sameCategory,"camping cookware, pans"
4948,"I have no sugar , but I do have some honey, sweetener tablets and syrup if that helps.",sugar-baking,sugar,sameCategory,"sweetener, syrup, honey"
4949,No sorry but I have some bubble wrap,blanket-transportation,blanket,competitor,bubble wrap
4949,No but I have some sticky bookmarks,postit-reading,postit,sameCategory,bookmarks
4949,What sort of pot? I have some pans,pot-jam,pot,competitor,pans
4949,No sorry but I have a shovel or hand brush you could use,broom-snow,broom,sameCategory,"shovel, hand brush"
4955,"No, I don't have a bottle, but I have a watering can.",bottle-plants,bottle,competitor,watering can
4955,"No, I don't have any sugar, but I have sweetener if that helps.",sugar-coffee,sugar,competitor,sweetener
4955,"Sorry, no, I do t have an umbrella, but I have sunscreen, and you could try to sit in the shade.",umbrella-summer,umbrella,competitor,sunscreen
4955,"No, sorry, I do t have a pit. Bit I have some old cans and some plates and could make you a pot for your plants from rhat.",pot-garden,pot,sameCategory,"cans, ceramic plates"
4957,"I'm sorry, I don't have sugar, but I do have honey, sweetener tablets, salt, and agave syrup if those would work for your coffee.",sugar-coffee,sugar,fullList,"sweetener, syrup, honey, salt"
4957,"Yes, I have a towel for you to use. I also have a hair dryer, a dryer in the basement, a blanket, and paper towels if those would work for drying your hair.",towel-hair,towel,fullList,"paper towels, dryer, hairdryer, blanket"
4957,I don't have a blanket sorry however I have a sleeping bag that will do the job.,blanket-sleepover,blanket,competitor,sleeping bag
4963,"No, just soda, trail mix, chocolate and ice cream.",candy-dessert,candy,fullList,"trailmix, chocolate, ice cream, soda"
4963,"No, just a glass.",bottle-water,bottle,mostSimilar,glass
4963,"No, just a shovel.",broom-snow,broom,competitor,shovel
4963,"No, but I do have some shorts.",sweatpants-spill,sweatpants,competitor,shorts
4950,Yes. I have some sticky bookmarks you can use as post-it notes.,postit-board,postit,sameCategory,bookmarks
4950,No. Sorry.,bottle-plants,bottle,taciturn,no
4950,No. Sorry.,pot-garden,pot,taciturn,no
4950,No. But I have trail mix bags we can use instead. Its healthier.,candy-halloween,candy,competitor,trailmix
4953,No I don't,blanket-sleepover,blanket,taciturn,no
4953,No but i have a hair dryer,towel-hair,towel,competitor,hairdryer
4953,"We dont have candy, but we have other things",candy-halloween,candy,other,other
4958,"I'm sorry I don't have one - use this watering can. 
",bottle-plants,bottle,competitor,watering can
4958,Use this hairdryer instead.,towel-hair,towel,competitor,hairdryer
4958,"Sorry, but you can use this sleeping bag if you open it out.",blanket-sleepover,blanket,competitor,sleeping bag
4958,Why don't you give people paper out of this notebook of mine and then use my whiteboard pen to collate ideas.,postit-board,postit,sameCategory,"notebook, marker"
4965,no i dont,box-muffins,box,taciturn,no
4965,no but i have aids,handkerchief-injury,handkerchief,other,other
4965,no i dont,blanket-sleepover,blanket,taciturn,no
4973,"I don't have a box but I have a cake container, a ziplock bag, a carton it a tote bag. What would you lik",box-bbq,box,fullList,"cake container, ziplock, carton, tote"
4973,"Hi, No I don't have a broom but I have a shovel which may work?",broom-snow,broom,competitor,shovel
4973,"Hi,I don't have sugar but would honey or agave syrup work?",sugar-baking,sugar,sameCategory,"honey, syrup"
4973,No bottle but I have a to-go mug,bottle-water,bottle,competitor,mug
4976,"I do not, but I do have a sleeping bag you can use.",blanket-sleepover,blanket,competitor,sleeping bag
4976,Yes I have sticky bookmarks that are the same. You can have those.,postit-board,postit,sameCategory,bookmarks
4976,"I do not, I do have shorts or pyjamas if you want those.",sweatpants-sleepover,sweatpants,sameCategory,"shorts, pyjamas"
4978,"No sorry, I do have sweetener tablets though?",sugar-coffee,sugar,competitor,sweetener
4978,"No, i do have paper napkins and some wet wipes if they are of any use?",handkerchief-injury,handkerchief,sameCategory,"napkins, wet wipes"
4978,I have some pans and cookware if you need them,pot-garden,pot,sameCategory,pans
4952,I dont have a bottle but i have a glass or travel cup you could use?,bottle-water,bottle,sameCategory,"glass, mug"
4952,I have some small bookmark notes or you can use this notebook i've got if thats any help to you?,postit-reading,postit,sameCategory,"bookmarks, notebook"
4952,"No sorry i haven't got an umbrella, just wait for the rain to ease.",umbrella-rain,umbrella,other,other
4959,"No i dont, but i do have other items that would suffice. Would you like me to go and get them",blanket-transportation,blanket,other,other
4959,"No i dont, but you can use the dryer",towel-clothes,towel,competitor,dryer
4959,No i dont,umbrella-rain,umbrella,taciturn,no
4967,"Sorry, no - I only have paper towels.",towel-clothes,towel,mostSimilar,paper towels
4967,I've only got chocolate and trail mix.,candy-dessert,candy,sameCategory,"trailmix, chocolate"
4967,No but you're welcome to have a wet wipe.,handkerchief-sauce,handkerchief,competitor,wet wipes
4967,"I'm so sorry but I've just run out myself!  I've got honey or agave syrup, if that's of any use?",sugar-baking,sugar,sameCategory,"honey, syrup"
4981,"Not as such, but I can fashion something similar from items I have in my shed.",umbrella-summer,umbrella,other,other
4981,We have a little bit (if we break up a chocolate bar).,candy-halloween,candy,mostSimilar,chocolate
4981,"No, but I can craft something similar from some old pots and pans.",pot-garden,pot,sameCategory,pans
4981,"No, but I have some other things you can use to dry your hair.",towel-hair,towel,other,other
5002,I could offer you a pair of shorts to wear? I also have a towel so you can dry yourself.,sweatpants-spill,sweatpants,other,"shorts, towel"
5002,I have a mug you can use no problem.,bottle-water,bottle,competitor,mug
5002,"I don't have any sugar, but I do have sweeteners or honey and agave syrup. What are you making?",sugar-baking,sugar,sameCategory,"sweetener, syrup, honey"
5002,There is a big chocolate bar if you want to open that.,candy-dessert,candy,mostSimilar,chocolate
5008,"Yes, we have a big chocolate bar.",candy-dessert,candy,mostSimilar,chocolate
5008,"No, sorry, I don't have one.",umbrella-rain,umbrella,taciturn,no
5008,No but I have a shovel if that helps.,broom-snow,broom,competitor,shovel
5008,Yes I have lots of cookware you could use.,pot-jam,pot,other,other
4956,No candy but we have something else for trick & treaters,candy-halloween,candy,other,other
4956,No sorry I don’t but I have sweetener,sugar-coffee,sugar,competitor,sweetener
4956,I don’t have a towel but I have a hair dryer you can use,towel-hair,towel,competitor,hairdryer
4956,I don’t have post it’s but I have a whiteboard and sticky bookmarks,postit-board,postit,sameCategory,"marker, bookmarks"
4970,"I do not. However, you could try on some other items of clothing and see if they suit you.",sweatpants-spill,sweatpants,other,other
4970,No but I could help you out.,broom-snow,broom,other,other
4970,No but I have some sticky bookmarks if that will help?,postit-reading,postit,competitor,bookmarks
4970,No I don't but I do have some other containers I could use.,box-bbq,box,other,other
4975,"Sorry, I don't. I have sweetener tablets if that's of any help?",sugar-baking,sugar,sameCategory,sweetener
4975,Afraid not. I've got some cans and pans if that will help,pot-jam,pot,sameCategory,"cans, pans"
4975,Are leggings ok?,sweatpants-spill,sweatpants,mostSimilar,leggings
4975,"No, but I have a glass and a mug.",bottle-water,bottle,sameCategory,"glass, mug"
5015,"No, but I have a watering can, glass and mug.",bottle-plants,bottle,sameCategory,"watering can, glass, mug"
5015,We don't but we do have a big bar of chocolate you could split into portions?,candy-halloween,candy,mostSimilar,chocolate
5015,What kind of towel?,towel-hair,towel,other,other
5015,I dont but I do have a sleeping bag and pillows if they're of any use?,blanket-sleepover,blanket,sameCategory,"sleeping bag, pillow"
4961,"No, but you can use my sleeping bag",blanket-sleepover,blanket,competitor,sleeping bag
4961,No I don't,handkerchief-injury,handkerchief,taciturn,no
4990,"I don't, but I do have some sweetener tablets, agave syrup or honey if that would help?",sugar-baking,sugar,sameCategory,"sweetener, honey, syrup"
4990,I have some pans if that's ok?,pot-jam,pot,competitor,pans
4990,"I have some carpet, or a sleeping bag?",blanket-transportation,blanket,other,"carpet, sleeping bag"
4990,I have a to-go mug if that helps?,bottle-water,bottle,competitor,mug
4991,"I don't, but I do have some napkins or wet wipes if you would like them.",handkerchief-sauce,handkerchief,sameCategory,"napkins, wet wipes"
4991,"I have a mug, or a glass you can use.",bottle-water,bottle,sameCategory,"glass, mug"
4991,"No I used it all baking cookies. Would honey, agave syrup or sweetener tablets work?",sugar-baking,sugar,sameCategory,"sweetener, honey, syrup"
4994,Sorry no I don’t.,bottle-water,bottle,taciturn,no
4994,No but I have other items that can help you out.,blanket-transportation,blanket,other,other
4994,We have ice cream and chocolate that’s all,candy-dessert,candy,sameCategory,"ice cream, chocolate"
