itemName,answerType,responseCategory_proportion
kidsActivities-sports,other,0.1111111111111111
petAdoption-hamster,sameCategory,0.04
kidsActivities-sports,sameCategory,0.2222222222222222
bookingAgency-lowClassAccommodation,competitor,0.14285714285714285
friendsActivities-boardGames,other,0.17391304347826086
gym-yoga,other,0.05263157894736842
zoo-reptiles,otherCategory,0.07407407407407407
waterSport-motor,other,0.125
clothing-acc,sameCategory,0.05263157894736842
bookingAgency-lowClassAccommodation,other,0.07142857142857142
clothing-acc,other,0.10526315789473684
zoo-xl,other,0.2
zoo-reptiles,fullList,0.037037037037037035
petAdoption-hamster,fullList,0.04
books-romance,sameCategory,0.05
books-romance,other,0.05
bookingAgency-lowClassAccommodation,fullList,0.14285714285714285
cafe-pizza,fullList,0.0625
interior-green,fullList,0.043478260869565216
touristInfo-childTheatre,other,0.06666666666666667
cafe-pizza,other,0.0625
