itemName,submission_id,answerType,response,centered_response
cafe-pizza,4468,competitor,27,-23
cafe-pizza,4468,sameCategory1,0,-50
cafe-pizza,4468,sameCategory2,0,-50
cafe-pizza,4468,otherCategory1,50,0
cafe-pizza,4468,otherCategory2,49,-1
petAdoption-hamster,4468,competitor,61,11
petAdoption-hamster,4468,sameCategory1,63,13
petAdoption-hamster,4468,sameCategory2,60,10
petAdoption-hamster,4468,otherCategory1,60,10
petAdoption-hamster,4468,otherCategory2,59,9
electronics-console,4468,competitor,66,16
electronics-console,4468,sameCategory1,46,-4
electronics-console,4468,sameCategory2,45,-5
electronics-console,4468,otherCategory1,0,-50
electronics-console,4468,otherCategory2,10,-40
books-fantasy,4468,competitor,28,-22
books-fantasy,4468,sameCategory1,22,-28
books-fantasy,4468,sameCategory2,11,-39
books-fantasy,4468,otherCategory1,22,-28
books-fantasy,4468,otherCategory2,29,-21
bar-tea,4468,competitor,52,2
bar-tea,4468,sameCategory1,41,-9
bar-tea,4468,sameCategory2,54,4
bar-tea,4468,otherCategory1,51,1
bar-tea,4468,otherCategory2,50,0
plants-flowers,4468,competitor,50,0
plants-flowers,4468,sameCategory1,48,-2
plants-flowers,4468,sameCategory2,49,-1
plants-flowers,4468,otherCategory1,50,0
plants-flowers,4468,otherCategory2,50,0
clothing-winter,4468,competitor,58,8
clothing-winter,4468,sameCategory1,61,11
clothing-winter,4468,sameCategory2,60,10
clothing-winter,4468,otherCategory1,20,-30
clothing-winter,4468,otherCategory2,0,-50
friendsActivities-videoEntertainment,4468,competitor,20,-30
friendsActivities-videoEntertainment,4468,sameCategory1,19,-31
friendsActivities-videoEntertainment,4468,sameCategory2,51,1
friendsActivities-videoEntertainment,4468,otherCategory1,36,-14
friendsActivities-videoEntertainment,4468,otherCategory2,54,4
touristInfo-childTheatre,4429,competitor,63,13
touristInfo-childTheatre,4429,sameCategory1,65,15
touristInfo-childTheatre,4429,sameCategory2,44,-6
touristInfo-childTheatre,4429,otherCategory1,58,8
touristInfo-childTheatre,4429,otherCategory2,84,34
electronics-laptop,4429,competitor,64,14
electronics-laptop,4429,sameCategory1,80,30
electronics-laptop,4429,sameCategory2,0,-50
electronics-laptop,4429,otherCategory1,0,-50
electronics-laptop,4429,otherCategory2,0,-50
kidsActivities-crafts,4429,competitor,33,-17
kidsActivities-crafts,4429,sameCategory1,18,-32
kidsActivities-crafts,4429,sameCategory2,51,1
kidsActivities-crafts,4429,otherCategory1,4,-46
kidsActivities-crafts,4429,otherCategory2,0,-50
clothing-beach,4429,competitor,69,19
clothing-beach,4429,sameCategory1,68,18
clothing-beach,4429,sameCategory2,37,-13
clothing-beach,4429,otherCategory1,32,-18
clothing-beach,4429,otherCategory2,26,-24
zoo-xl,4429,competitor,81,31
zoo-xl,4429,sameCategory1,77,27
zoo-xl,4429,sameCategory2,70,20
zoo-xl,4429,otherCategory1,79,29
zoo-xl,4429,otherCategory2,31,-19
books-romance,4429,competitor,83,33
books-romance,4429,sameCategory1,61,11
books-romance,4429,sameCategory2,63,13
books-romance,4429,otherCategory1,44,-6
books-romance,4429,otherCategory2,28,-22
plants-green,4429,competitor,60,10
plants-green,4429,sameCategory1,16,-34
plants-green,4429,sameCategory2,21,-29
plants-green,4429,otherCategory1,66,16
plants-green,4429,otherCategory2,80,30
cafe-pie,4429,competitor,57,7
cafe-pie,4429,sameCategory1,73,23
cafe-pie,4429,sameCategory2,73,23
cafe-pie,4429,otherCategory1,7,-43
cafe-pie,4429,otherCategory2,11,-39
clothing-winter,4435,competitor,73,23
clothing-winter,4435,sameCategory1,62,12
clothing-winter,4435,sameCategory2,85,35
clothing-winter,4435,otherCategory1,38,-12
clothing-winter,4435,otherCategory2,0,-50
disney-princess,4435,competitor,67,17
disney-princess,4435,sameCategory1,67,17
disney-princess,4435,sameCategory2,67,17
disney-princess,4435,otherCategory1,17,-33
disney-princess,4435,otherCategory2,20,-30
furniture-outdoors,4435,competitor,33,-17
furniture-outdoors,4435,sameCategory1,32,-18
furniture-outdoors,4435,sameCategory2,68,18
furniture-outdoors,4435,otherCategory1,30,-20
furniture-outdoors,4435,otherCategory2,32,-18
waterSport-muscle,4435,competitor,75,25
waterSport-muscle,4435,sameCategory1,66,16
waterSport-muscle,4435,sameCategory2,66,16
waterSport-muscle,4435,otherCategory1,47,-3
waterSport-muscle,4435,otherCategory2,30,-20
movie-western,4435,competitor,64,14
movie-western,4435,sameCategory1,64,14
movie-western,4435,sameCategory2,59,9
movie-western,4435,otherCategory1,39,-11
movie-western,4435,otherCategory2,39,-11
kidsActivities-sports,4435,competitor,58,8
kidsActivities-sports,4435,sameCategory1,41,-9
kidsActivities-sports,4435,sameCategory2,74,24
kidsActivities-sports,4435,otherCategory1,41,-9
kidsActivities-sports,4435,otherCategory2,39,-11
dutyFree-sweets,4435,competitor,60,10
dutyFree-sweets,4435,sameCategory1,47,-3
dutyFree-sweets,4435,sameCategory2,47,-3
dutyFree-sweets,4435,otherCategory1,44,-6
dutyFree-sweets,4435,otherCategory2,48,-2
touristInfo-clubbing,4435,competitor,67,17
touristInfo-clubbing,4435,sameCategory1,24,-26
touristInfo-clubbing,4435,sameCategory2,30,-20
touristInfo-clubbing,4435,otherCategory1,43,-7
touristInfo-clubbing,4435,otherCategory2,43,-7
petAdoption-hamster,4437,competitor,54,4
petAdoption-hamster,4437,sameCategory1,20,-30
petAdoption-hamster,4437,sameCategory2,60,10
petAdoption-hamster,4437,otherCategory1,24,-26
petAdoption-hamster,4437,otherCategory2,45,-5
electronics-console,4437,competitor,53,3
electronics-console,4437,sameCategory1,35,-15
electronics-console,4437,sameCategory2,53,3
electronics-console,4437,otherCategory1,57,7
electronics-console,4437,otherCategory2,55,5
clothing-winter,4437,competitor,59,9
clothing-winter,4437,sameCategory1,34,-16
clothing-winter,4437,sameCategory2,61,11
clothing-winter,4437,otherCategory1,35,-15
clothing-winter,4437,otherCategory2,34,-16
dutyFree-sweets,4437,competitor,64,14
dutyFree-sweets,4437,sameCategory1,16,-34
dutyFree-sweets,4437,sameCategory2,56,6
dutyFree-sweets,4437,otherCategory1,34,-16
dutyFree-sweets,4437,otherCategory2,64,14
waterSport-muscle,4437,competitor,68,18
waterSport-muscle,4437,sameCategory1,56,6
waterSport-muscle,4437,sameCategory2,57,7
waterSport-muscle,4437,otherCategory1,60,10
waterSport-muscle,4437,otherCategory2,27,-23
touristInfo-clubbing,4437,competitor,61,11
touristInfo-clubbing,4437,sameCategory1,35,-15
touristInfo-clubbing,4437,sameCategory2,81,31
touristInfo-clubbing,4437,otherCategory1,19,-31
touristInfo-clubbing,4437,otherCategory2,61,11
zoo-reptiles,4437,competitor,75,25
zoo-reptiles,4437,sameCategory1,72,22
zoo-reptiles,4437,sameCategory2,77,27
zoo-reptiles,4437,otherCategory1,66,16
zoo-reptiles,4437,otherCategory2,68,18
movie-western,4437,competitor,72,22
movie-western,4437,sameCategory1,71,21
movie-western,4437,sameCategory2,60,10
movie-western,4437,otherCategory1,60,10
movie-western,4437,otherCategory2,67,17
zoo-xl,4420,competitor,79,29
zoo-xl,4420,sameCategory1,65,15
zoo-xl,4420,sameCategory2,78,28
zoo-xl,4420,otherCategory1,43,-7
zoo-xl,4420,otherCategory2,68,18
clothing-beach,4420,competitor,73,23
clothing-beach,4420,sameCategory1,76,26
clothing-beach,4420,sameCategory2,28,-22
clothing-beach,4420,otherCategory1,12,-38
clothing-beach,4420,otherCategory2,12,-38
electronics-laptop,4420,competitor,74,24
electronics-laptop,4420,sameCategory1,35,-15
electronics-laptop,4420,sameCategory2,67,17
electronics-laptop,4420,otherCategory1,20,-30
electronics-laptop,4420,otherCategory2,9,-41
dutyFree-smokes,4420,competitor,60,10
dutyFree-smokes,4420,sameCategory1,18,-32
dutyFree-smokes,4420,sameCategory2,0,-50
dutyFree-smokes,4420,otherCategory1,0,-50
dutyFree-smokes,4420,otherCategory2,0,-50
plants-green,4420,competitor,70,20
plants-green,4420,sameCategory1,69,19
plants-green,4420,sameCategory2,56,6
plants-green,4420,otherCategory1,9,-41
plants-green,4420,otherCategory2,69,19
friendsActivities-boardGames,4420,competitor,71,21
friendsActivities-boardGames,4420,sameCategory1,57,7
friendsActivities-boardGames,4420,sameCategory2,68,18
friendsActivities-boardGames,4420,otherCategory1,35,-15
friendsActivities-boardGames,4420,otherCategory2,30,-20
furniture-indoors,4420,competitor,69,19
furniture-indoors,4420,sameCategory1,64,14
furniture-indoors,4420,sameCategory2,21,-29
furniture-indoors,4420,otherCategory1,8,-42
furniture-indoors,4420,otherCategory2,8,-42
bar-whiteWine,4420,competitor,86,36
bar-whiteWine,4420,sameCategory1,14,-36
bar-whiteWine,4420,sameCategory2,42,-8
bar-whiteWine,4420,otherCategory1,17,-33
bar-whiteWine,4420,otherCategory2,10,-40
cafe-pie,4421,competitor,88,38
cafe-pie,4421,sameCategory1,34,-16
cafe-pie,4421,sameCategory2,0,-50
cafe-pie,4421,otherCategory1,0,-50
cafe-pie,4421,otherCategory2,0,-50
petAdoption-dogs,4421,competitor,12,-38
petAdoption-dogs,4421,sameCategory1,12,-38
petAdoption-dogs,4421,sameCategory2,13,-37
petAdoption-dogs,4421,otherCategory1,0,-50
petAdoption-dogs,4421,otherCategory2,0,-50
friendsActivities-boardGames,4421,competitor,24,-26
friendsActivities-boardGames,4421,sameCategory1,24,-26
friendsActivities-boardGames,4421,sameCategory2,21,-29
friendsActivities-boardGames,4421,otherCategory1,12,-38
friendsActivities-boardGames,4421,otherCategory2,5,-45
clothing-beach,4421,competitor,58,8
clothing-beach,4421,sameCategory1,59,9
clothing-beach,4421,sameCategory2,18,-32
clothing-beach,4421,otherCategory1,25,-25
clothing-beach,4421,otherCategory2,15,-35
touristInfo-childTheatre,4421,competitor,57,7
touristInfo-childTheatre,4421,sameCategory1,56,6
touristInfo-childTheatre,4421,sameCategory2,44,-6
touristInfo-childTheatre,4421,otherCategory1,35,-15
touristInfo-childTheatre,4421,otherCategory2,43,-7
furniture-indoors,4421,competitor,60,10
furniture-indoors,4421,sameCategory1,45,-5
furniture-indoors,4421,sameCategory2,62,12
furniture-indoors,4421,otherCategory1,40,-10
furniture-indoors,4421,otherCategory2,45,-5
movie-fantasy,4421,competitor,60,10
movie-fantasy,4421,sameCategory1,56,6
movie-fantasy,4421,sameCategory2,27,-23
movie-fantasy,4421,otherCategory1,1,-49
movie-fantasy,4421,otherCategory2,56,6
bookingAgency-lowClassAccommodation,4421,competitor,54,4
bookingAgency-lowClassAccommodation,4421,sameCategory1,65,15
bookingAgency-lowClassAccommodation,4421,sameCategory2,73,23
bookingAgency-lowClassAccommodation,4421,otherCategory1,1,-49
bookingAgency-lowClassAccommodation,4421,otherCategory2,19,-31
petAdoption-dogs,4423,competitor,0,-50
petAdoption-dogs,4423,sameCategory1,98,48
petAdoption-dogs,4423,sameCategory2,98,48
petAdoption-dogs,4423,otherCategory1,0,-50
petAdoption-dogs,4423,otherCategory2,88,38
bookingAgency-lowClassAccommodation,4423,competitor,8,-42
bookingAgency-lowClassAccommodation,4423,sameCategory1,100,50
bookingAgency-lowClassAccommodation,4423,sameCategory2,100,50
bookingAgency-lowClassAccommodation,4423,otherCategory1,2,-48
bookingAgency-lowClassAccommodation,4423,otherCategory2,0,-50
gym-yoga,4423,competitor,100,50
gym-yoga,4423,sameCategory1,75,25
gym-yoga,4423,sameCategory2,83,33
gym-yoga,4423,otherCategory1,0,-50
gym-yoga,4423,otherCategory2,88,38
disney-action,4423,competitor,100,50
disney-action,4423,sameCategory1,98,48
disney-action,4423,sameCategory2,93,43
disney-action,4423,otherCategory1,89,39
disney-action,4423,otherCategory2,14,-36
furniture-indoors,4423,competitor,100,50
furniture-indoors,4423,sameCategory1,98,48
furniture-indoors,4423,sameCategory2,85,35
furniture-indoors,4423,otherCategory1,12,-38
furniture-indoors,4423,otherCategory2,87,37
touristInfo-childTheatre,4423,competitor,89,39
touristInfo-childTheatre,4423,sameCategory1,2,-48
touristInfo-childTheatre,4423,sameCategory2,1,-49
touristInfo-childTheatre,4423,otherCategory1,0,-50
touristInfo-childTheatre,4423,otherCategory2,0,-50
movie-fantasy,4423,competitor,89,39
movie-fantasy,4423,sameCategory1,64,14
movie-fantasy,4423,sameCategory2,93,43
movie-fantasy,4423,otherCategory1,80,30
movie-fantasy,4423,otherCategory2,84,34
clothing-beach,4423,competitor,11,-39
clothing-beach,4423,sameCategory1,98,48
clothing-beach,4423,sameCategory2,78,28
clothing-beach,4423,otherCategory1,83,33
clothing-beach,4423,otherCategory2,13,-37
movie-western,4428,competitor,75,25
movie-western,4428,sameCategory1,59,9
movie-western,4428,sameCategory2,79,29
movie-western,4428,otherCategory1,53,3
movie-western,4428,otherCategory2,36,-14
petAdoption-hamster,4428,competitor,65,15
petAdoption-hamster,4428,sameCategory1,77,27
petAdoption-hamster,4428,sameCategory2,17,-33
petAdoption-hamster,4428,otherCategory1,11,-39
petAdoption-hamster,4428,otherCategory2,9,-41
waterSport-muscle,4428,competitor,64,14
waterSport-muscle,4428,sameCategory1,62,12
waterSport-muscle,4428,sameCategory2,64,14
waterSport-muscle,4428,otherCategory1,34,-16
waterSport-muscle,4428,otherCategory2,35,-15
electronics-console,4428,competitor,20,-30
electronics-console,4428,sameCategory1,22,-28
electronics-console,4428,sameCategory2,24,-26
electronics-console,4428,otherCategory1,17,-33
electronics-console,4428,otherCategory2,17,-33
zoo-reptiles,4428,competitor,76,26
zoo-reptiles,4428,sameCategory1,54,4
zoo-reptiles,4428,sameCategory2,66,16
zoo-reptiles,4428,otherCategory1,52,2
zoo-reptiles,4428,otherCategory2,54,4
touristInfo-clubbing,4428,competitor,56,6
touristInfo-clubbing,4428,sameCategory1,63,13
touristInfo-clubbing,4428,sameCategory2,42,-8
touristInfo-clubbing,4428,otherCategory1,27,-23
touristInfo-clubbing,4428,otherCategory2,54,4
cafe-pizza,4428,competitor,59,9
cafe-pizza,4428,sameCategory1,38,-12
cafe-pizza,4428,sameCategory2,40,-10
cafe-pizza,4428,otherCategory1,37,-13
cafe-pizza,4428,otherCategory2,43,-7
disney-princess,4428,competitor,60,10
disney-princess,4428,sameCategory1,72,22
disney-princess,4428,sameCategory2,56,6
disney-princess,4428,otherCategory1,37,-13
disney-princess,4428,otherCategory2,40,-10
zoo-reptiles,4422,competitor,100,50
zoo-reptiles,4422,sameCategory1,99,49
zoo-reptiles,4422,sameCategory2,99,49
zoo-reptiles,4422,otherCategory1,100,50
zoo-reptiles,4422,otherCategory2,100,50
furniture-outdoors,4422,competitor,99,49
furniture-outdoors,4422,sameCategory1,84,34
furniture-outdoors,4422,sameCategory2,67,17
furniture-outdoors,4422,otherCategory1,81,31
furniture-outdoors,4422,otherCategory2,73,23
touristInfo-clubbing,4422,competitor,16,-34
touristInfo-clubbing,4422,sameCategory1,7,-43
touristInfo-clubbing,4422,sameCategory2,24,-26
touristInfo-clubbing,4422,otherCategory1,13,-37
touristInfo-clubbing,4422,otherCategory2,10,-40
books-fantasy,4422,competitor,65,15
books-fantasy,4422,sameCategory1,58,8
books-fantasy,4422,sameCategory2,59,9
books-fantasy,4422,otherCategory1,1,-49
books-fantasy,4422,otherCategory2,59,9
friendsActivities-videoEntertainment,4422,competitor,0,-50
friendsActivities-videoEntertainment,4422,sameCategory1,58,8
friendsActivities-videoEntertainment,4422,sameCategory2,66,16
friendsActivities-videoEntertainment,4422,otherCategory1,1,-49
friendsActivities-videoEntertainment,4422,otherCategory2,59,9
kidsActivities-sports,4422,competitor,15,-35
kidsActivities-sports,4422,sameCategory1,1,-49
kidsActivities-sports,4422,sameCategory2,70,20
kidsActivities-sports,4422,otherCategory1,0,-50
kidsActivities-sports,4422,otherCategory2,1,-49
electronics-console,4422,competitor,70,20
electronics-console,4422,sameCategory1,88,38
electronics-console,4422,sameCategory2,68,18
electronics-console,4422,otherCategory1,72,22
electronics-console,4422,otherCategory2,66,16
disney-princess,4422,competitor,60,10
disney-princess,4422,sameCategory1,60,10
disney-princess,4422,sameCategory2,61,11
disney-princess,4422,otherCategory1,61,11
disney-princess,4422,otherCategory2,60,10
cafe-pie,4427,competitor,84,34
cafe-pie,4427,sameCategory1,0,-50
cafe-pie,4427,sameCategory2,25,-25
cafe-pie,4427,otherCategory1,13,-37
cafe-pie,4427,otherCategory2,0,-50
petAdoption-dogs,4427,competitor,62,12
petAdoption-dogs,4427,sameCategory1,61,11
petAdoption-dogs,4427,sameCategory2,84,34
petAdoption-dogs,4427,otherCategory1,0,-50
petAdoption-dogs,4427,otherCategory2,0,-50
touristInfo-childTheatre,4427,competitor,87,37
touristInfo-childTheatre,4427,sameCategory1,23,-27
touristInfo-childTheatre,4427,sameCategory2,47,-3
touristInfo-childTheatre,4427,otherCategory1,19,-31
touristInfo-childTheatre,4427,otherCategory2,28,-22
bar-whiteWine,4427,competitor,100,50
bar-whiteWine,4427,sameCategory1,3,-47
bar-whiteWine,4427,sameCategory2,15,-35
bar-whiteWine,4427,otherCategory1,16,-34
bar-whiteWine,4427,otherCategory2,73,23
zoo-xl,4427,competitor,100,50
zoo-xl,4427,sameCategory1,78,28
zoo-xl,4427,sameCategory2,0,-50
zoo-xl,4427,otherCategory1,79,29
zoo-xl,4427,otherCategory2,0,-50
disney-action,4427,competitor,100,50
disney-action,4427,sameCategory1,25,-25
disney-action,4427,sameCategory2,100,50
disney-action,4427,otherCategory1,31,-19
disney-action,4427,otherCategory2,31,-19
waterSport-motor,4427,competitor,86,36
waterSport-motor,4427,sameCategory1,0,-50
waterSport-motor,4427,sameCategory2,84,34
waterSport-motor,4427,otherCategory1,0,-50
waterSport-motor,4427,otherCategory2,0,-50
kidsActivities-crafts,4427,competitor,90,40
kidsActivities-crafts,4427,sameCategory1,100,50
kidsActivities-crafts,4427,sameCategory2,100,50
kidsActivities-crafts,4427,otherCategory1,26,-24
kidsActivities-crafts,4427,otherCategory2,23,-27
petAdoption-hamster,4431,competitor,98,48
petAdoption-hamster,4431,sameCategory1,58,8
petAdoption-hamster,4431,sameCategory2,71,21
petAdoption-hamster,4431,otherCategory1,7,-43
petAdoption-hamster,4431,otherCategory2,6,-44
movie-western,4431,competitor,72,22
movie-western,4431,sameCategory1,4,-46
movie-western,4431,sameCategory2,96,46
movie-western,4431,otherCategory1,68,18
movie-western,4431,otherCategory2,3,-47
cafe-pizza,4431,competitor,99,49
cafe-pizza,4431,sameCategory1,15,-35
cafe-pizza,4431,sameCategory2,29,-21
cafe-pizza,4431,otherCategory1,84,34
cafe-pizza,4431,otherCategory2,94,44
electronics-console,4431,competitor,1,-49
electronics-console,4431,sameCategory1,1,-49
electronics-console,4431,sameCategory2,3,-47
electronics-console,4431,otherCategory1,51,1
electronics-console,4431,otherCategory2,54,4
bar-tea,4431,competitor,98,48
bar-tea,4431,sameCategory1,82,32
bar-tea,4431,sameCategory2,28,-22
bar-tea,4431,otherCategory1,0,-50
bar-tea,4431,otherCategory2,16,-34
furniture-outdoors,4431,competitor,90,40
furniture-outdoors,4431,sameCategory1,85,35
furniture-outdoors,4431,sameCategory2,99,49
furniture-outdoors,4431,otherCategory1,10,-40
furniture-outdoors,4431,otherCategory2,1,-49
plants-flowers,4431,competitor,87,37
plants-flowers,4431,sameCategory1,25,-25
plants-flowers,4431,sameCategory2,25,-25
plants-flowers,4431,otherCategory1,62,12
plants-flowers,4431,otherCategory2,22,-28
friendsActivities-videoEntertainment,4431,competitor,2,-48
friendsActivities-videoEntertainment,4431,sameCategory1,0,-50
friendsActivities-videoEntertainment,4431,sameCategory2,92,42
friendsActivities-videoEntertainment,4431,otherCategory1,2,-48
friendsActivities-videoEntertainment,4431,otherCategory2,2,-48
books-romance,4432,competitor,93,43
books-romance,4432,sameCategory1,87,37
books-romance,4432,sameCategory2,76,26
books-romance,4432,otherCategory1,32,-18
books-romance,4432,otherCategory2,27,-23
plants-green,4432,competitor,58,8
plants-green,4432,sameCategory1,54,4
plants-green,4432,sameCategory2,50,0
plants-green,4432,otherCategory1,52,2
plants-green,4432,otherCategory2,54,4
bookingAgency-lowClassAccommodation,4432,competitor,77,27
bookingAgency-lowClassAccommodation,4432,sameCategory1,90,40
bookingAgency-lowClassAccommodation,4432,sameCategory2,83,33
bookingAgency-lowClassAccommodation,4432,otherCategory1,54,4
