submission_id,itemName,settingName,category,response_option,option_category,answer,new_category
4870,handkerchief-injury,handkerchief,other,,alternative,"No, I've some other bits you can use?",alternative
4877,umbrella-summer,umbrella,taciturn,,,no i dont have an umbrella,taciturn
4877,box-muffins,box,sameCategory,"cake container, carton","competitor_c1, mostSimilar",no but i have a carton or a cake container,mostSimilar
4877,sugar-coffee,sugar,competitor,sweetener,competitor_c1,no but i have some sweeteners,competitor_c1
4877,blanket-sleepover,blanket,sameCategory,"sleeping bag, pillow","competitor_c1, mostSimilar",no but i have a sleeping bag and a pillow,mostSimilar
4851,postit-board,postit,sameCategory,sticky bookmarks,competitor_c2,"We have sticky book marks, yes.",competitor_c2
4851,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"No, but I have a sleeping bag.",competitor_c1
4851,handkerchief-injury,handkerchief,sameCategory,band aid,"mostSimilar, competitor_c2",No but I have some napkins and wet wipes. Would you like a band aid as well?,mostSimilar
4849,sugar-baking,sugar,taciturn,,,No I have no sugar,taciturn
4849,pot-jam,pot,taciturn,,,No I do not have any pots,taciturn
4853,umbrella-rain,umbrella,taciturn,,,"No I'm sorry, I don't.",taciturn
4853,towel-clothes,towel,sameCategory,paper towels,"competitor_c1, mostSimilar, competitor_c2",I don't have a towel I'm sorry but I have paper towels or you could use the dryer or hair dryer.,other_response
4853,blanket-transportation,blanket,competitor,bubble wrap,competitor_c2,No I'm sorry but I have some bubble wrap you could use to pack your mirror.,competitor_c2
4853,broom-snow,broom,sameCategory,shovel,competitor_c2,No I'm sorry I don't but I do have a shovel or hand brunch you can use if you like.,competitor_c2
4863,broom-renovation,broom,sameCategory,vacuum cleaner,competitor_c1,"Not a broom, I have a brush and a vacuum cleaner that you could use",competitor_c1
4863,postit-board,postit,other,"whiteboard marker, a notebook, eraser","competitor_c1, mostSimilar, otherCategory","No, but I have a notebook, and whiteboard marker and eraser if this helps.",other_response
4863,bottle-plants,bottle,competitor,watering can,competitor_c1,"No, but I have a watering can.",competitor_c1
4863,pot-garden,pot,sameCategory,"old can, several pans","competitor_c1, competitor_c2","No, but I have several pans and old cans if this helps.",sameCategory
4867,sugar-baking,sugar,sameCategory,"sweetener tablets, honey","competitor_c1, mostSimilar","No, but I have sweetener tablets or honey",mostSimilar
4867,bottle-water,bottle,competitor,to-go mug,competitor_c2,No but I have a to go mug,competitor_c2
4867,sweatpants-spill,sweatpants,sameCategory,"shorts, pyjamas","competitor_c1, mostSimilar, competitor_c2","No but I have shorts, leggings or pyjamas",other_response
4867,towel-clothes,towel,sameCategory,"paper towels, hair dryer","competitor_c1, mostSimilar",I have paper towels or a hairdryer you could use,mostSimilar
4841,postit-board,postit,sameCategory,sticky bookmarks,competitor_c2,I have these little Sticky Bookmarks if thats of any use,competitor_c2
4841,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"No sorry, I do have a sleeping bag though",competitor_c1
4841,sweatpants-sleepover,sweatpants,competitor,pyjamas,competitor_c1,Here's a pair of Pyjamas,competitor_c1
4850,sugar-baking,sugar,sameCategory,sweetener tablets,competitor_c1,"no, i have sweetener",competitor_c1
4850,candy-dessert,candy,other,,alternative,"no, we have other stuff",alternative
4850,postit-reading,postit,sameCategory,a notebook,mostSimilar,"no, i have a notebook",mostSimilar
4850,towel-clothes,towel,mostSimilar,paper towels,mostSimilar,"no, paper towels",mostSimilar
4861,sweatpants-sleepover,sweatpants,mostSimilar,a pair of leggings,mostSimilar,No sorry - only leggings,mostSimilar
4861,handkerchief-injury,handkerchief,sameCategory,"wet wipes, band aid","competitor_c1, competitor_c2",No but I do have some wipes and band aids if that helps?,sameCategory
4861,sugar-coffee,sugar,sameCategory,"sweetener, honey, agave syrup","competitor_c1, competitor_c2, mostSimilar","No but I do have honey, syrup and sweetener tablets if any of those would be suitable?",other_response
4861,box-muffins,box,other,,alternative,No - but I do have these containers. Please pick whichever you prefer.,alternative
4868,bottle-plants,bottle,competitor,watering can,competitor_c1,"No, but I do have a watering can you can use if you like.",competitor_c1
4868,broom-renovation,broom,sameCategory,"vacuum cleaner, hand brush","competitor_c1, mostSimilar",I don't have a broom but you're more than welcome to borrow my brush and vacuum cleaner.,mostSimilar
4868,sweatpants-sleepover,sweatpants,competitor,pyjamas,competitor_c1,"No, but you can use my pyjamas if you like.",competitor_c1
4868,sugar-coffee,sugar,sameCategory,"sweetener, agave syrup, honey","competitor_c1, competitor_c2, mostSimilar","No, but I do have sweetener, honey or agave syrup.",other_response
4937,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,Unfortunately I don't have a blanket but I do have a sleeping bag if that helps?,competitor_c1
4937,bottle-plants,bottle,competitor,watering can,competitor_c1,I dont have a bottle but I have a watering can if you would like to use that to water the plants,competitor_c1
4937,towel-hair,towel,competitor,hair dryer,competitor_c1,I dont have a towel im afraid but you can use my hair dryer?,competitor_c1
4937,box-muffins,box,sameCategory,cake container,"competitor_c1, competitor_c2",I dont have a box but I have a cake container and some ziplock bags you can use,sameCategory
4844,bottle-water,bottle,mostSimilar,a glass,mostSimilar,No I don't but can offer you a glass.,mostSimilar
4844,sugar-baking,sugar,taciturn,,,No I do not,taciturn
4844,broom-snow,broom,other,,alternative,I do not but can offer an alternative,alternative
4844,handkerchief-sauce,handkerchief,mostSimilar,,mostSimilar,No but can offer you a napkin,mostSimilar
4845,box-bbq,box,sameCategory,"ziplock, a cake container","competitor_c1, competitor_c2",I've got a cake box or a ziplock bag if you want to use them,sameCategory
4845,postit-reading,postit,competitor,sticky bookmarks,competitor_c2,"Yeah, I've got sticky bookmarks",competitor_c2
4845,sweatpants-spill,sweatpants,sameCategory,"shorts, a pair of leggings","mostSimilar, competitor_c2","no, but I've got some shorts or leggings if you want them",mostSimilar
4845,candy-dessert,candy,mostSimilar,a big chocolate bar,mostSimilar,I have chocolate,mostSimilar
4847,towel-hair,towel,sameCategory,hair dryer,competitor_c2,No but you can use hair the dryer in the basement?,competitor_c2
4847,broom-renovation,broom,mostSimilar,hand brush,mostSimilar,No but you are welcome to use the hand brush,mostSimilar
4847,bottle-plants,bottle,competitor,watering can,competitor_c1,No sorry but you can use the watering can,competitor_c1
4847,umbrella-summer,umbrella,other,sunscreen,"competitor_c1, otherCategory",No but I have sunscreen and you can use the tent for shade,otherCategory
4938,sweatpants-spill,sweatpants,taciturn,,,"No, sorry",taciturn
4938,candy-dessert,candy,mostSimilar,a big chocolate bar,mostSimilar,Does chocolate bar count as candy?,mostSimilar
4938,broom-snow,broom,mostSimilar,hand brush,mostSimilar,"I've only got a hand brush, will that be enough?",mostSimilar
4947,blanket-transportation,blanket,taciturn,,,No i dont have a spare one sorry,taciturn
4947,pot-jam,pot,other,camping cookware,alternative,I might have some cookware,alternative
4852,postit-board,postit,sameCategory,sticky bookmarks,competitor_c2,"Yes, I have sticky bookmarks.",competitor_c2
4852,sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, a pair of leggings","mostSimilar, competitor_c1","No, I only have Pyjamas or leggings. 
",mostSimilar
4852,towel-hair,towel,competitor,hair dryer,competitor_c1,No but I have a hair dryer,competitor_c1
4852,bottle-plants,bottle,sameCategory,watering can,"competitor_c1, competitor_c2",No but I have a watering can or my to-go mug.,sameCategory
4858,candy-dessert,candy,mostSimilar,a big chocolate bar,mostSimilar,We have chocolate,mostSimilar
4858,broom-snow,broom,sameCategory,"shovel, hand brush","mostSimilar, competitor_c2",No sorry but I’ve got a shovel and a hand brush.,mostSimilar
4858,blanket-transportation,blanket,sameCategory,a sleeping bag,competitor_c1,"No sorry, I do have a sleeping bag you could borrow. That would help to protect it.",competitor_c1
4858,umbrella-rain,umbrella,competitor,rain jacket,competitor_c2,"No sorry, I’ve got a rain jacket you could borrow, although only one I’m afraid.",competitor_c2
4865,handkerchief-sauce,handkerchief,sameCategory,wet wipes,competitor_c2,"I do yeah, I've got wet wipes or tissues, which would you like?",competitor_c2
4865,postit-reading,postit,sameCategory,"sticky bookmarks, a notebook","mostSimilar, competitor_c2","Kind of, would these sticky bookmarks do? I've got a notebook if that'd be better.",mostSimilar
4865,sweatpants-spill,sweatpants,mostSimilar,a pair of leggings,mostSimilar,"Sorry I don't, would leggings work? Come have a look, you can choose something.",mostSimilar
4865,blanket-transportation,blanket,sameCategory,a sleeping bag,competitor_c1,"I've got a sleeping bag, that'll be more padded than a blanket anyways, I think.",competitor_c1
4866,box-bbq,box,sameCategory,cake container,"competitor_c1, alternative",no sorry but i have loads of bags and cake containers.,other_response
4866,towel-clothes,towel,competitor,,alternative,"dude, you knoow i  havnt done my washing yet, b i  have towelsr u can u the dryers",alternative
4866,broom-snow,broom,competitor,shovel,competitor_c2,"no but i have a shovel, lets do this together shall we",competitor_c2
4866,sweatpants-spill,sweatpants,other,"shorts, towel","competitor_c2, otherCategory","sorry no, but you can lend these shorts or pat dry with a towel 
",otherCategory
4854,towel-clothes,towel,competitor,a dryer in the basement,competitor_c2,No but there is a dryer in the basement that they could use,competitor_c2
4854,candy-dessert,candy,sameCategory,"ice cream, a big chocolate bar","mostSimilar, competitor_c2",I have ice cream or chocolate,mostSimilar
4854,pot-jam,pot,sameCategory,"camping cookware, several pans","mostSimilar, competitor_c2",I do - I have camping cookware and pans that I can lend you,mostSimilar
4854,box-bbq,box,other,,alternative,not a box but I can give you something to take leftovers in,alternative
4871,sugar-baking,sugar,competitor,agave syrup,competitor_c2,"No, but I have agave sugar",competitor_c2
4871,postit-reading,postit,other,,alternative,No but I have other things that might be helpful,alternative
4871,bottle-water,bottle,competitor,to-go mug,competitor_c2,No but do you want to use this to-go mug?,competitor_c2
4871,box-bbq,box,sameCategory,a cake container,competitor_c1,I'll give you a cake container,competitor_c1
4939,towel-hair,towel,competitor,hair dryer,competitor_c1,"Sorry, no, but I do have a hair dryer that you could use instead.",competitor_c1
4939,candy-halloween,candy,mostSimilar,a big chocolate bar,"mostSimilar, alternative","Yeah, there's some candy and chocolate in the kitchen - give them that!",mostSimilar
4939,sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, a pair of leggings","competitor_c1, mostSimilar",I've got some leggings and pyjamas - would either of those be ok?,mostSimilar
4855,bottle-water,bottle,competitor,to-go mug,competitor_c2,No sorry. I have a to-go mug if that helps at all?,competitor_c2
4855,candy-dessert,candy,sameCategory,"ice cream, a big chocolate bar","mostSimilar, competitor_c2","Yeah, we have chocolate and ice cream!",mostSimilar
4855,sweatpants-spill,sweatpants,mostSimilar,a pair of leggings,mostSimilar,I can offer you some leggings?,mostSimilar
4856,umbrella-summer,umbrella,other,"bike cover, tent","otherCategory, mostSimilar","No, but You could make a sunshade from the bike cover or set up the tent?",otherCategory
4856,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"No, but I've got a sleeping bag, if that helps?",competitor_c1
4856,postit-board,postit,sameCategory,"sticky bookmarks, a notebook","mostSimilar, competitor_c2","No, but I've got a notebook and some sticky bookmarks you can have?",mostSimilar
4856,towel-hair,towel,mostSimilar,paper towels,mostSimilar,"No, but I've got some paper towels?",mostSimilar
4859,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"No, but I do have a sleeping bag.",competitor_c1
4859,towel-hair,towel,competitor,hair dryer,competitor_c1,"No, but I dohave a hair dryer if you want to use that.",competitor_c1
4859,sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, shorts","competitor_c1, competitor_c2","No, but I have pyjamas or shorts if you'd like any of those.",sameCategory
4859,broom-renovation,broom,sameCategory,"vacuum cleaner, a shovel, hand brush","competitor_c1, mostSimilar, competitor_c2","No, but I have a hand brush and a shovel, or a vacuum cleaner if you could use those.",other_response
4864,towel-hair,towel,competitor,hair dryer,competitor_c1,"No, but I have a hair dryer, if that helps.",competitor_c1
4864,box-muffins,box,sameCategory,ziplock,competitor_c2,No. I have some ziplock bags though.,competitor_c2
4864,umbrella-summer,umbrella,competitor,sunscreen,competitor_c1,No. I have some sunscreen if you're interested.,competitor_c1
4864,broom-renovation,broom,taciturn,,,"No, sorry.",taciturn
4869,sweatpants-spill,sweatpants,taciturn,,,"No I have le

",taciturn
4869,box-bbq,box,other,,alternative,No I have a container,alternative
4869,postit-reading,postit,taciturn,,,No I dont,taciturn
4869,candy-dessert,candy,mostSimilar,a big chocolate bar,mostSimilar,I have chocolate,mostSimilar
4940,towel-hair,towel,competitor,hair dryer,competitor_c1,"No, but you can use my hairdryer?",competitor_c1
4940,postit-board,postit,competitor,whiteboard marker,competitor_c1,I don’t. I have a marker for the whiteboard we could use?,competitor_c1
4940,sweatpants-sleepover,sweatpants,other,,alternative,I don’t but you are welcome to borrow something else.,alternative
4875,towel-clothes,towel,mostSimilar,paper towels,mostSimilar,I have paper towels in the basement,mostSimilar
4875,broom-snow,broom,competitor,shovel,competitor_c2,no sorry but I have a shovel,competitor_c2
4875,pot-jam,pot,sameCategory,"old can, several pans","competitor_c1, competitor_c2",No sorry but I have some cans and pans,sameCategory
4875,postit-reading,postit,competitor,sticky bookmarks,competitor_c2,I have sticky bookmarks if that helps,competitor_c2
4878,broom-snow,broom,sameCategory,"shovel, hand brush","mostSimilar, competitor_c2","No, sorry. I don't have a broom but I do have a shovel or a hand brush. Could they help you at all?",mostSimilar
4878,sugar-baking,sugar,sameCategory,"agave syrup, honey","competitor_c2, mostSimilar","No, sorry - I have used all mine in my baking. What are yo making? Will honey or agave syrup do?",mostSimilar
4878,handkerchief-sauce,handkerchief,competitor,wet wipes,competitor_c2,"No, but a wet wipe might clear that up better - I have some of those of you like?",competitor_c2
4878,towel-clothes,towel,other,"a blanket, a dryer in the basement","otherCategory, competitor_c2","I have a blanket to warm you up and I can put your clothes in the drier if you like? 
",otherCategory
4941,box-bbq,box,fullList,"a cake container, a tote bag, carton, ziplock","competitor_c1, mostSimilar, competitor_c2, otherCategory","No I don’t have a box but I have a carton, a tote bag, a cake container and a zip lock bag if you’d like any of those instead?",fullList
4941,broom-snow,broom,mostSimilar,hand brush,mostSimilar,No I haven’t got a broom but I do have a hand brush if that would be any help?,mostSimilar
4941,towel-clothes,towel,otherCategory,blanket,otherCategory,"No I don’t have a towel but you could try using my blanket, if you wanted?",otherCategory
4941,blanket-transportation,blanket,other,,alternative,No I don’t have a blanket but I do have other stuff that may help you transport the mirror.,alternative
4876,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,I don’t have a blanket but I do have a sleeping bag if that would be helpful?,competitor_c1
4876,bottle-plants,bottle,competitor,watering can,competitor_c1,"No, I don’t have a bottle, do you want the watering can?",competitor_c1
4876,pot-garden,pot,other,,alternative,"Sorry I don’t, I have lots of other bits but nothing like a plant pot.",alternative
4876,towel-hair,towel,competitor,hair dryer,competitor_c1,"I have a hair dryer you can use, it will be better than a towel.",competitor_c1
4942,broom-renovation,broom,mostSimilar,hand brush,mostSimilar,"No sorry, I have a hand brush but I don't have a broom I'm afraid.",mostSimilar
4942,pot-garden,pot,other,"old can, ceramic plates","competitor_c1, otherCategory",No sorry I don't have any pots but I have some old cans and ceramic plates that you could maybe use instead of a pot if you would like to try them?,otherCategory
4942,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,No sorry but you can borrow my sleeping bag which could be used instead of a blanket.,competitor_c1
4942,bottle-plants,bottle,sameCategory,watering can,"competitor_c1, mostSimilar",No sorry I don't have a bottle but you can use my watering can or my glass to water the plants if you like?,mostSimilar
4943,broom-renovation,broom,competitor,vacuum cleaner,competitor_c1,"I have a vacuum cleaner if that helps, you are welcome to borrow it",competitor_c1
4943,candy-halloween,candy,mostSimilar,a big chocolate bar,mostSimilar,I have some chocolate,mostSimilar
4943,pot-garden,pot,competitor,old can,competitor_c1,I have some old cans,competitor_c1
4943,bottle-plants,bottle,competitor,watering can,competitor_c1,No but I have a watering can,competitor_c1
4944,candy-dessert,candy,other,,alternative,"I sure do, would you like some?",alternative
4944,bottle-water,bottle,other,,,"Sure we can share, no problem",other_response
4934,bottle-plants,bottle,competitor,watering can,competitor_c1,I have a watering can you can use,competitor_c1
4934,sweatpants-sleepover,sweatpants,competitor,pyjamas,competitor_c1,I have some pyjamas you could wear,competitor_c1
4934,broom-renovation,broom,competitor,,competitor_c1,I have a vacuum,competitor_c1
4930,pot-garden,pot,other,,alternative,"Yes I have several, come and see which one you would like!",alternative
4930,towel-hair,towel,competitor,hair dryer,competitor_c1,"Not exactly, would you like to borrow a hairdryer?",competitor_c1
4930,umbrella-summer,umbrella,competitor,sunscreen,competitor_c1,"No, but I have sunscreen.",competitor_c1
4930,postit-board,postit,sameCategory,sticky bookmarks,competitor_c2,"I've got sticky bookmarks, will that do?",competitor_c2
4931,broom-snow,broom,mostSimilar,hand brush,mostSimilar,sorry i do not have a broom. I do have a hand brush though.,mostSimilar
4931,blanket-transportation,blanket,sameCategory,"a sleeping bag, pillow","competitor_c1, mostSimilar",I have a sleeping bag and a pillow if that helps?,mostSimilar
4931,pot-jam,pot,competitor,several pans,competitor_c2,I have some pans.,competitor_c2
4932,pot-garden,pot,competitor,old can,competitor_c1,I don't have a pot sorry but I have a few things that may be suitable such as old cans,competitor_c1
4932,sugar-coffee,sugar,competitor,sweetener,competitor_c1,No I don't but I have sweetener tablets,competitor_c1
4932,bottle-plants,bottle,competitor,watering can,competitor_c1,No but i have a watering can you can use,competitor_c1
4933,sweatpants-spill,sweatpants,sameCategory,"a pair of leggings, pyjamas","mostSimilar, competitor_c1","""I don't have any sweatpants I'm afraid, but I do have a pair of leggings or some pyjama bottoms you could borrow.""",mostSimilar
4933,candy-dessert,candy,sameCategory,"ice cream, a big chocolate bar","mostSimilar, competitor_c2","""I've got a big chocolate bar. Otherwise it's ice cream.""",mostSimilar
4933,umbrella-rain,umbrella,competitor,rain jacket,competitor_c2,"""I don't have an umbrella but you could wear my rain jacket.""",competitor_c2
4933,pot-jam,pot,competitor,several pans,competitor_c2,"""I've got plenty of pans in the basement.""",competitor_c2
4935,candy-halloween,candy,other,"trail mix, soda, a big chocolate bar","competitor_c1, otherCategory, mostSimilar","Yes we have chocolate , trail mix and soda",other_response
4935,pot-garden,pot,other,,,I have everything but I don’t think I have pots,other_response
4935,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,No but I have a sleeping bag,competitor_c1
4935,box-muffins,box,sameCategory,"cake container, a ziplock bag","competitor_c1, competitor_c2",I have a cake container or a zip lock bag?,sameCategory
4936,broom-snow,broom,competitor,shovel,competitor_c2,I have a shovel which will be much more useful,competitor_c2
4936,bottle-water,bottle,competitor,to-go mug,competitor_c2,I have a to-go mug which you can use instead.,competitor_c2
4936,candy-dessert,candy,mostSimilar,a big chocolate bar,mostSimilar,I have some chocolate which you might enjoy,mostSimilar
4936,handkerchief-sauce,handkerchief,competitor,wet wipes,competitor_c2,I have some wet wipes that you can use to clean your sweater.,competitor_c2
4946,box-bbq,box,sameCategory,a cake container,competitor_c1,"I don't, but you could borrow a cake container.",competitor_c1
4946,towel-clothes,towel,taciturn,,,"Sorry, I don't",taciturn
4946,blanket-transportation,blanket,competitor,bubble wrap,competitor_c2,"I don't, but would bubble wrap be helpful as I have that?",competitor_c2
4946,candy-dessert,candy,sameCategory,"a big chocolate bar, ice cream","mostSimilar, competitor_c1","No, but we have chocolate or ice-cream.",mostSimilar
4948,handkerchief-sauce,handkerchief,mostSimilar,paper napkins,mostSimilar,I would reply. Yes I have some paper napkins. You are more than welcome to have some.,mostSimilar
4948,umbrella-rain,umbrella,competitor,rain jacket,competitor_c2,No unfortunately I do not one but I can lend you my use rain coat if that helps.,competitor_c2
4948,pot-jam,pot,sameCategory,"camping cookware, several pans","mostSimilar, competitor_c2",I have got some camping cookware and several pans you can use if that is helpful to you.,mostSimilar
4948,sugar-baking,sugar,sameCategory,"sweetener tablets, honey, agave syrup","competitor_c1, competitor_c2, mostSimilar","I have no sugar , but I do have some honey, sweetener tablets and syrup if that helps.",other_response
4949,blanket-transportation,blanket,competitor,bubble wrap,competitor_c2,No sorry but I have some bubble wrap,competitor_c2
4949,postit-reading,postit,sameCategory,sticky bookmarks,competitor_c2,No but I have some sticky bookmarks,competitor_c2
4949,pot-jam,pot,competitor,several pans,competitor_c2,What sort of pot? I have some pans,competitor_c2
4949,broom-snow,broom,sameCategory,"shovel, hand brush","mostSimilar, competitor_c2",No sorry but I have a shovel or hand brush you could use,mostSimilar
4955,bottle-plants,bottle,competitor,watering can,competitor_c1,"No, I don't have a bottle, but I have a watering can.",competitor_c1
4955,sugar-coffee,sugar,competitor,sweetener,competitor_c1,"No, I don't have any sugar, but I have sweetener if that helps.",competitor_c1
4955,umbrella-summer,umbrella,competitor,sunscreen,competitor_c1,"Sorry, no, I do t have an umbrella, but I have sunscreen, and you could try to sit in the shade.",competitor_c1
4955,pot-garden,pot,sameCategory,old can,competitor_c1,"No, sorry, I do t have a pit. Bit I have some old cans and some plates and could make you a pot for your plants from rhat.",competitor_c1
