submission_id,answer,itemName,settingName,category,response_option,context_nr,powerset_member
4858,"No sorry, I do have a sleeping bag you could borrow. That would help to protect it.",blanket-transportation,blanket,sameCategory,sleeping bag,context2,competitor_c1
4858,"No sorry, I’ve got a rain jacket you could borrow, although only one I’m afraid.",umbrella-rain,umbrella,competitor,rain jacket,context2,competitor_c2
4865,"I do yeah, I've got wet wipes or tissues, which would you like?",handkerchief-sauce,handkerchief,sameCategory,"wet wipes, napkins",context2,"competitor_c2,mostSimilar"
4865,"Kind of, would these sticky bookmarks do? I've got a notebook if that'd be better.",postit-reading,postit,sameCategory,"bookmarks, notebook",context2,"competitor_c2,mostSimilar"
4865,"Sorry I don't, would leggings work? Come have a look, you can choose something.",sweatpants-spill,sweatpants,mostSimilar,leggings,context2,mostSimilar
4865,"I've got a sleeping bag, that'll be more padded than a blanket anyways, I think.",blanket-transportation,blanket,sameCategory,sleeping bag,context2,competitor_c1
4866,no sorry but i have loads of bags and cake containers.,box-bbq,box,sameCategory,cake container,context2,competitor_c1
4866,"dude, you knoow i  havnt done my washing yet, b i  have towelsr u can u the dryers",towel-clothes,towel,competitor,dryer,context2,competitor_c2
4866,"no but i have a shovel, lets do this together shall we",broom-snow,broom,competitor,shovel,context2,competitor_c2
4866,"sorry no, but you can lend these shorts or pat dry with a towel 
",sweatpants-spill,sweatpants,other,"shorts, towel",context2,"competitor_c2,otherCategory"
4854,No but there is a dryer in the basement that they could use,towel-clothes,towel,competitor,dryer,context2,competitor_c2
4854,I have ice cream or chocolate,candy-dessert,candy,sameCategory,"ice cream, chocolate",context2,"competitor_c2,mostSimilar"
4854,I do - I have camping cookware and pans that I can lend you,pot-jam,pot,sameCategory,"camping cookware, pans",context2,"mostSimilar,competitor_c2"
4871,"No, but I have agave sugar",sugar-baking,sugar,competitor,syrup,context2,competitor_c2
4871,No but do you want to use this to-go mug?,bottle-water,bottle,competitor,mug,context2,competitor_c2
4871,I'll give you a cake container,box-bbq,box,sameCategory,cake container,context2,competitor_c1
4939,"Sorry, no, but I do have a hair dryer that you could use instead.",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4939,"Yeah, there's some candy and chocolate in the kitchen - give them that!",candy-halloween,candy,mostSimilar,chocolate,context1,mostSimilar
4939,I've got some leggings and pyjamas - would either of those be ok?,sweatpants-sleepover,sweatpants,sameCategory,"leggings, pyjamas",context1,"mostSimilar,competitor_c1"
4855,No sorry. I have a to-go mug if that helps at all?,bottle-water,bottle,competitor,mug,context2,competitor_c2
4855,"Yeah, we have chocolate and ice cream!",candy-dessert,candy,sameCategory,"ice cream, chocolate",context2,"competitor_c2,mostSimilar"
4855,I can offer you some leggings?,sweatpants-spill,sweatpants,mostSimilar,leggings,context2,mostSimilar
4856,"No, but You could make a sunshade from the bike cover or set up the tent?",umbrella-summer,umbrella,other,"bike cover, tent",context1,"mostSimilar,otherCategory"
4856,"No, but I've got a sleeping bag, if that helps?",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4856,"No, but I've got a notebook and some sticky bookmarks you can have?",postit-board,postit,sameCategory,"bookmarks, notebook",context1,"competitor_c2,mostSimilar"
4856,"No, but I've got some paper towels?",towel-hair,towel,mostSimilar,paper towels,context1,mostSimilar
4859,"No, but I do have a sleeping bag.",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4859,"No, but I dohave a hair dryer if you want to use that.",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4859,"No, but I have pyjamas or shorts if you'd like any of those.",sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, shorts",context1,"competitor_c1,competitor_c2"
4859,"No, but I have a hand brush and a shovel, or a vacuum cleaner if you could use those.",broom-renovation,broom,sameCategory,"shovel, hand brush, vacuum",context1,"competitor_c2,mostSimilar,competitor_c1"
4864,"No, but I have a hair dryer, if that helps.",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4864,No. I have some ziplock bags though.,box-muffins,box,sameCategory,ziplock,context1,competitor_c2
4864,No. I have some sunscreen if you're interested.,umbrella-summer,umbrella,competitor,sunscreen,context1,competitor_c1
4869,I have chocolate,candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
4940,"No, but you can use my hairdryer?",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4940,I don’t. I have a marker for the whiteboard we could use?,postit-board,postit,competitor,marker,context1,competitor_c1
4875,I have paper towels in the basement,towel-clothes,towel,mostSimilar,paper towels,context2,mostSimilar
4875,no sorry but I have a shovel,broom-snow,broom,competitor,shovel,context2,competitor_c2
4875,No sorry but I have some cans and pans,pot-jam,pot,sameCategory,"cans, pans",context2,"competitor_c1,competitor_c2"
4875,I have sticky bookmarks if that helps,postit-reading,postit,competitor,bookmarks,context2,competitor_c2
4878,"No, sorry. I don't have a broom but I do have a shovel or a hand brush. Could they help you at all?",broom-snow,broom,sameCategory,"shovel, hand brush",context2,"competitor_c2,mostSimilar"
4878,"No, sorry - I have used all mine in my baking. What are yo making? Will honey or agave syrup do?",sugar-baking,sugar,sameCategory,"syrup, honey",context2,"competitor_c2,mostSimilar"
4878,"No, but a wet wipe might clear that up better - I have some of those of you like?",handkerchief-sauce,handkerchief,competitor,wet wipes,context2,competitor_c2
4878,"I have a blanket to warm you up and I can put your clothes in the drier if you like? 
",towel-clothes,towel,other,"blanket, dryer",context2,"otherCategory,competitor_c2"
4941,"No I don’t have a box but I have a carton, a tote bag, a cake container and a zip lock bag if you’d like any of those instead?",box-bbq,box,fullList,"carton, cake container, ziplock, tote",context2,"mostSimilar,competitor_c1,competitor_c2,otherCategory"
4941,No I haven’t got a broom but I do have a hand brush if that would be any help?,broom-snow,broom,mostSimilar,hand brush,context2,mostSimilar
4941,"No I don’t have a towel but you could try using my blanket, if you wanted?",towel-clothes,towel,otherCategory,blanket,context2,otherCategory
4876,I don’t have a blanket but I do have a sleeping bag if that would be helpful?,blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4876,"No, I don’t have a bottle, do you want the watering can?",bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4876,"I have a hair dryer you can use, it will be better than a towel.",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4942,"No sorry, I have a hand brush but I don't have a broom I'm afraid.",broom-renovation,broom,mostSimilar,hand brush,context1,mostSimilar
4942,No sorry I don't have any pots but I have some old cans and ceramic plates that you could maybe use instead of a pot if you would like to try them?,pot-garden,pot,other,"cans, ceramic plates",context1,"competitor_c1,otherCategory"
4942,No sorry but you can borrow my sleeping bag which could be used instead of a blanket.,blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4942,No sorry I don't have a bottle but you can use my watering can or my glass to water the plants if you like?,bottle-plants,bottle,sameCategory,"watering can, glass",context1,"competitor_c1,mostSimilar"
4943,"I have a vacuum cleaner if that helps, you are welcome to borrow it",broom-renovation,broom,competitor,vacuum,context1,competitor_c1
4943,I have some chocolate,candy-halloween,candy,mostSimilar,chocolate,context1,mostSimilar
4943,I have some old cans,pot-garden,pot,competitor,cans,context1,competitor_c1
4943,No but I have a watering can,bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4934,I have a watering can you can use,bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4934,I have some pyjamas you could wear,sweatpants-sleepover,sweatpants,competitor,pyjamas,context1,competitor_c1
4934,I have a vacuum,broom-renovation,broom,competitor,vacuum,context1,competitor_c1
4930,"Not exactly, would you like to borrow a hairdryer?",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4930,"No, but I have sunscreen.",umbrella-summer,umbrella,competitor,sunscreen,context1,competitor_c1
4930,"I've got sticky bookmarks, will that do?",postit-board,postit,sameCategory,bookmarks,context1,competitor_c2
4931,sorry i do not have a broom. I do have a hand brush though.,broom-snow,broom,mostSimilar,hand brush,context2,mostSimilar
4931,I have a sleeping bag and a pillow if that helps?,blanket-transportation,blanket,sameCategory,"sleeping bag, pillow",context2,"competitor_c1,mostSimilar"
4931,I have some pans.,pot-jam,pot,competitor,pans,context2,competitor_c2
4932,I don't have a pot sorry but I have a few things that may be suitable such as old cans,pot-garden,pot,competitor,cans,context1,competitor_c1
4932,No I don't but I have sweetener tablets,sugar-coffee,sugar,competitor,sweetener,context1,competitor_c1
4932,No but i have a watering can you can use,bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4933,"""I don't have any sweatpants I'm afraid, but I do have a pair of leggings or some pyjama bottoms you could borrow.""",sweatpants-spill,sweatpants,sameCategory,"leggings, pyjamas",context2,"mostSimilar,competitor_c1"
4933,"""I've got a big chocolate bar. Otherwise it's ice cream.""",candy-dessert,candy,sameCategory,"chocolate, ice cream",context2,"mostSimilar,competitor_c2"
4933,"""I don't have an umbrella but you could wear my rain jacket.""",umbrella-rain,umbrella,competitor,rain jacket,context2,competitor_c2
4933,"""I've got plenty of pans in the basement.""",pot-jam,pot,competitor,pans,context2,competitor_c2
4935,"Yes we have chocolate , trail mix and soda",candy-halloween,candy,other,"chocolate, trailmix, soda",context1,"mostSimilar,competitor_c1,otherCategory"
4935,No but I have a sleeping bag,blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4935,I have a cake container or a zip lock bag?,box-muffins,box,sameCategory,"cake container, ziplock",context1,"competitor_c1,competitor_c2"
4936,I have a shovel which will be much more useful,broom-snow,broom,competitor,shovel,context2,competitor_c2
4936,I have a to-go mug which you can use instead.,bottle-water,bottle,competitor,mug,context2,competitor_c2
4936,I have some chocolate which you might enjoy,candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
4936,I have some wet wipes that you can use to clean your sweater.,handkerchief-sauce,handkerchief,competitor,wet wipes,context2,competitor_c2
4946,"I don't, but you could borrow a cake container.",box-bbq,box,sameCategory,cake container,context2,competitor_c1
4946,"I don't, but would bubble wrap be helpful as I have that?",blanket-transportation,blanket,competitor,bubble wrap,context2,competitor_c2
4946,"No, but we have chocolate or ice-cream.",candy-dessert,candy,sameCategory,"chocolate, ice cream",context2,"mostSimilar,competitor_c2"
4948,I would reply. Yes I have some paper napkins. You are more than welcome to have some.,handkerchief-sauce,handkerchief,mostSimilar,napkins,context2,mostSimilar
4948,No unfortunately I do not one but I can lend you my use rain coat if that helps.,umbrella-rain,umbrella,competitor,rain jacket,context2,competitor_c2
4948,I have got some camping cookware and several pans you can use if that is helpful to you.,pot-jam,pot,sameCategory,"camping cookware, pans",context2,"mostSimilar,competitor_c2"
4948,"I have no sugar , but I do have some honey, sweetener tablets and syrup if that helps.",sugar-baking,sugar,sameCategory,"sweetener, syrup, honey",context2,"competitor_c1,competitor_c2,mostSimilar"
4949,No sorry but I have some bubble wrap,blanket-transportation,blanket,competitor,bubble wrap,context2,competitor_c2
4949,No but I have some sticky bookmarks,postit-reading,postit,sameCategory,bookmarks,context2,competitor_c2
4949,What sort of pot? I have some pans,pot-jam,pot,competitor,pans,context2,competitor_c2
4949,No sorry but I have a shovel or hand brush you could use,broom-snow,broom,sameCategory,"shovel, hand brush",context2,"competitor_c2,mostSimilar"
4955,"No, I don't have a bottle, but I have a watering can.",bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4955,"No, I don't have any sugar, but I have sweetener if that helps.",sugar-coffee,sugar,competitor,sweetener,context1,competitor_c1
4955,"Sorry, no, I do t have an umbrella, but I have sunscreen, and you could try to sit in the shade.",umbrella-summer,umbrella,competitor,sunscreen,context1,competitor_c1
4955,"No, sorry, I do t have a pit. Bit I have some old cans and some plates and could make you a pot for your plants from rhat.",pot-garden,pot,sameCategory,"cans, ceramic plates",context1,"competitor_c1,otherCategory"
4957,"I'm sorry, I don't have sugar, but I do have honey, sweetener tablets, salt, and agave syrup if those would work for your coffee.",sugar-coffee,sugar,fullList,"sweetener, syrup, honey, salt",context1,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
4957,"Yes, I have a towel for you to use. I also have a hair dryer, a dryer in the basement, a blanket, and paper towels if those would work for drying your hair.",towel-hair,towel,fullList,"paper towels, dryer, hairdryer, blanket",context1,"mostSimilar,competitor_c2,competitor_c1,otherCategory"
4957,I don't have a blanket sorry however I have a sleeping bag that will do the job.,blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4963,"No, just soda, trail mix, chocolate and ice cream.",candy-dessert,candy,fullList,"trailmix, chocolate, ice cream, soda",context2,"competitor_c1,mostSimilar,competitor_c2,otherCategory"
4963,"No, just a glass.",bottle-water,bottle,mostSimilar,glass,context2,mostSimilar
4963,"No, just a shovel.",broom-snow,broom,competitor,shovel,context2,competitor_c2
4963,"No, but I do have some shorts.",sweatpants-spill,sweatpants,competitor,shorts,context2,competitor_c2
4950,Yes. I have some sticky bookmarks you can use as post-it notes.,postit-board,postit,sameCategory,bookmarks,context1,competitor_c2
4950,No. But I have trail mix bags we can use instead. Its healthier.,candy-halloween,candy,competitor,trailmix,context1,competitor_c1
4953,No but i have a hair dryer,towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4958,"I'm sorry I don't have one - use this watering can. 
",bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4958,Use this hairdryer instead.,towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4958,"Sorry, but you can use this sleeping bag if you open it out.",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4958,Why don't you give people paper out of this notebook of mine and then use my whiteboard pen to collate ideas.,postit-board,postit,sameCategory,"notebook, marker",context1,"mostSimilar,competitor_c1"
4973,"I don't have a box but I have a cake container, a ziplock bag, a carton it a tote bag. What would you lik",box-bbq,box,fullList,"cake container, ziplock, carton, tote",context2,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
4973,"Hi, No I don't have a broom but I have a shovel which may work?",broom-snow,broom,competitor,shovel,context2,competitor_c2
4973,"Hi,I don't have sugar but would honey or agave syrup work?",sugar-baking,sugar,sameCategory,"honey, syrup",context2,"mostSimilar,competitor_c2"
4973,No bottle but I have a to-go mug,bottle-water,bottle,competitor,mug,context2,competitor_c2
4976,"I do not, but I do have a sleeping bag you can use.",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4976,Yes I have sticky bookmarks that are the same. You can have those.,postit-board,postit,sameCategory,bookmarks,context1,competitor_c2
4976,"I do not, I do have shorts or pyjamas if you want those.",sweatpants-sleepover,sweatpants,sameCategory,"shorts, pyjamas",context1,"competitor_c2,competitor_c1"
4978,"No sorry, I do have sweetener tablets though?",sugar-coffee,sugar,competitor,sweetener,context1,competitor_c1
4978,"No, i do have paper napkins and some wet wipes if they are of any use?",handkerchief-injury,handkerchief,sameCategory,"napkins, wet wipes",context1,"mostSimilar,competitor_c2"
4978,I have some pans and cookware if you need them,pot-garden,pot,sameCategory,pans,context1,competitor_c2
4952,I dont have a bottle but i have a glass or travel cup you could use?,bottle-water,bottle,sameCategory,"glass, mug",context2,"mostSimilar,competitor_c2"
4952,I have some small bookmark notes or you can use this notebook i've got if thats any help to you?,postit-reading,postit,sameCategory,"bookmarks, notebook",context2,"competitor_c2,mostSimilar"
4959,"No i dont, but you can use the dryer",towel-clothes,towel,competitor,dryer,context2,competitor_c2
4967,"Sorry, no - I only have paper towels.",towel-clothes,towel,mostSimilar,paper towels,context2,mostSimilar
4967,I've only got chocolate and trail mix.,candy-dessert,candy,sameCategory,"trailmix, chocolate",context2,"competitor_c1,mostSimilar"
4967,No but you're welcome to have a wet wipe.,handkerchief-sauce,handkerchief,competitor,wet wipes,context2,competitor_c2
4967,"I'm so sorry but I've just run out myself!  I've got honey or agave syrup, if that's of any use?",sugar-baking,sugar,sameCategory,"honey, syrup",context2,"mostSimilar,competitor_c2"
4981,We have a little bit (if we break up a chocolate bar).,candy-halloween,candy,mostSimilar,chocolate,context1,mostSimilar
4981,"No, but I can craft something similar from some old pots and pans.",pot-garden,pot,sameCategory,pans,context1,competitor_c2
5002,I could offer you a pair of shorts to wear? I also have a towel so you can dry yourself.,sweatpants-spill,sweatpants,other,"shorts, towel",context2,"competitor_c2,otherCategory"
5002,I have a mug you can use no problem.,bottle-water,bottle,competitor,mug,context2,competitor_c2
5002,"I don't have any sugar, but I do have sweeteners or honey and agave syrup. What are you making?",sugar-baking,sugar,sameCategory,"sweetener, syrup, honey",context2,"competitor_c1,competitor_c2,mostSimilar"
5002,There is a big chocolate bar if you want to open that.,candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
5008,"Yes, we have a big chocolate bar.",candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
5008,No but I have a shovel if that helps.,broom-snow,broom,competitor,shovel,context2,competitor_c2
4956,No sorry I don’t but I have sweetener,sugar-coffee,sugar,competitor,sweetener,context1,competitor_c1
4956,I don’t have a towel but I have a hair dryer you can use,towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4956,I don’t have post it’s but I have a whiteboard and sticky bookmarks,postit-board,postit,sameCategory,"marker, bookmarks",context1,"competitor_c1,competitor_c2"
