itemName,predictions,category,response_option,prompt,settingName,context_nr,model,global_category
sugar-coffee,"No, I don't have sugar, but you can have one of the sweetener tablets.",competitor,sweetener,one-shot CoT,sugar,context1,GPT-3.5,competitor_c1
sugar-baking,"No, I don't have sugar, but you can have agave syrup or honey.",sameCategory,"syrup, honey",one-shot CoT,sugar,context2,GPT-3.5,"competitor_c2,mostSimilar"
sugar-baking,"No, I don't have any sugar, but you can have the agave syrup.",competitor,syrup,one-shot CoT,sugar,context2,GPT-3.5,competitor_c2
sugar-baking,"No, I don't have sugar, but you can use the agave syrup.",competitor,syrup,one-shot CoT,sugar,context2,GPT-3.5,competitor_c2
sugar-baking,"No, I don't have any sugar, but you can use the agave syrup.",competitor,syrup,one-shot CoT,sugar,context2,GPT-3.5,competitor_c2
sugar-baking,"No, I don't have sugar, but you can have some honey or agave syrup.",sameCategory,"syrup, honey",one-shot CoT,sugar,context2,GPT-3.5,"competitor_c2,mostSimilar"
handkerchief-injury,"No, I don't have a handkerchief, but you can use a wet wipe.",sameCategory,wet wipes,one-shot CoT,handkerchief,context1,GPT-3.5,competitor_c2
handkerchief-injury,"No, I don't have a handkerchief, but I do have some band aids and wet wipes that you can use.",sameCategory,"wet wipes, bandaids",one-shot CoT,handkerchief,context1,GPT-3.5,"competitor_c1,competitor_c2"
handkerchief-injury,"No, I don't have a handkerchief, but I have some band-aids, paper napkins, and wet wipes you can use.",sameCategory,"wet wipes, bandaids, napkins",one-shot CoT,handkerchief,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar"
handkerchief-injury,"No, I don't have a handkerchief, but you can have the wet wipes.",sameCategory,wet wipes,one-shot CoT,handkerchief,context1,GPT-3.5,competitor_c2
handkerchief-injury,"No, I don't have a handkerchief, but you can have the wet wipes.",sameCategory,wet wipes,one-shot CoT,handkerchief,context1,GPT-3.5,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but you can use the wet wipes.",competitor,wet wipes,one-shot CoT,handkerchief,context2,GPT-3.5,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but here are some wet wipes that can help you clean the stain.",competitor,wet wipes,one-shot CoT,handkerchief,context2,GPT-3.5,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but you can have the wet wipes.",competitor,wet wipes,one-shot CoT,handkerchief,context2,GPT-3.5,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but you can use the wet wipes.",competitor,wet wipes,one-shot CoT,handkerchief,context2,GPT-3.5,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but if it's okay I can offer you some wet wipes.",competitor,wet wipes,one-shot CoT,handkerchief,context2,GPT-3.5,competitor_c2
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",mostSimilar,hand brush,one-shot CoT,broom,context1,GPT-3.5,mostSimilar
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",mostSimilar,hand brush,one-shot CoT,broom,context1,GPT-3.5,mostSimilar
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",mostSimilar,hand brush,one-shot CoT,broom,context1,GPT-3.5,mostSimilar
broom-renovation,"No, I donbytes:\xe2\x80bytes:\x99t have a broom, but I can lend you my hand brush.",mostSimilar,hand brush,one-shot CoT,broom,context1,GPT-3.5,mostSimilar
broom-renovation,"No, I don't have a broom, but you can use the vacuum cleaner.",competitor,vacuum,one-shot CoT,broom,context1,GPT-3.5,competitor_c1
broom-snow,"No, I don't have a broom, but you can have the shovel.",competitor,shovel,one-shot CoT,broom,context2,GPT-3.5,competitor_c2
broom-snow,"No, I don't have a broom, but you can have the hand brush.",mostSimilar,hand brush,one-shot CoT,broom,context2,GPT-3.5,mostSimilar
broom-snow,"No, I don't have a broom, but you can have the shovel.",competitor,shovel,one-shot CoT,broom,context2,GPT-3.5,competitor_c2
broom-snow,"No, I don't have a broom, but you can have the shovel.",competitor,shovel,one-shot CoT,broom,context2,GPT-3.5,competitor_c2
broom-snow,"No, I don't have a broom, but you can have the shovel.",competitor,shovel,one-shot CoT,broom,context2,GPT-3.5,competitor_c2
sweatpants-sleepover,"No, i don't have sweatpants but you can have the leggings.",mostSimilar,leggings,one-shot CoT,sweatpants,context1,GPT-3.5,mostSimilar
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pyjamas.",competitor,pyjamas,one-shot CoT,sweatpants,context1,GPT-3.5,competitor_c1
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pyjamas.",competitor,pyjamas,one-shot CoT,sweatpants,context1,GPT-3.5,competitor_c1
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pair of leggings.",mostSimilar,leggings,one-shot CoT,sweatpants,context1,GPT-3.5,mostSimilar
sweatpants-spill,"No, I don't have sweatpants, but you can borrow a pair of shorts.",competitor,shorts,one-shot CoT,sweatpants,context2,GPT-3.5,competitor_c2
sweatpants-spill,"No, I don't have spare sweatpants, but you can have the shorts.",competitor,shorts,one-shot CoT,sweatpants,context2,GPT-3.5,competitor_c2
sweatpants-spill,"No, I don't have spare sweatpants, but you can have the shorts.",competitor,shorts,one-shot CoT,sweatpants,context2,GPT-3.5,competitor_c2
sweatpants-spill,"No, I don't have sweatpants but you are welcome to wear the shorts or leggings.",sameCategory,"shorts, leggings",one-shot CoT,sweatpants,context2,GPT-3.5,"competitor_c2,mostSimilar"
sweatpants-spill,"No, I don't have spare sweatpants, but you can have the shorts, leggings, pyjamas, or even a towel if you want.",fullList,"shorts, leggings, towel, pyjamas",one-shot CoT,sweatpants,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
umbrella-summer,"No, I don't have an umbrella but you can have the tent.",otherCategory,tent,one-shot CoT,umbrella,context1,GPT-3.5,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can have the rain jacket.",sameCategory,rain jacket,one-shot CoT,umbrella,context1,GPT-3.5,competitor_c2
umbrella-summer,"No, I don't have an umbrella, but you can use the tent to give yourself some shade.",otherCategory,tent,one-shot CoT,umbrella,context1,GPT-3.5,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use this bike cover to shade yourself if you want.",mostSimilar,bike cover,one-shot CoT,umbrella,context1,GPT-3.5,mostSimilar
umbrella-summer,"No, I don't have an umbrella, but you can use the plastic bike cover to block the sunlight.",mostSimilar,bike cover,one-shot CoT,umbrella,context1,GPT-3.5,mostSimilar
umbrella-rain,"No, I don't have an umbrella, but you can have the rain jacket.",competitor,rain jacket,one-shot CoT,umbrella,context2,GPT-3.5,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can borrow the rain jacket or the bike cover to help keep you dry.",sameCategory,"bike cover, rain jacket",one-shot CoT,umbrella,context2,GPT-3.5,"competitor_c2,mostSimilar"
umbrella-rain,"No, I don't have an umbrella, but you can have the rain jacket.",competitor,rain jacket,one-shot CoT,umbrella,context2,GPT-3.5,competitor_c2
umbrella-rain,"No, I don't have an umbrella but you can use the bike cover.",mostSimilar,bike cover,one-shot CoT,umbrella,context2,GPT-3.5,mostSimilar
umbrella-rain,"No, I don't have an umbrella but you can have the rain jacket.",competitor,rain jacket,one-shot CoT,umbrella,context2,GPT-3.5,competitor_c2
postit-board,"No, I don't have post-its, but you can have the sticky bookmarks.",sameCategory,bookmarks,one-shot CoT,postit,context1,GPT-3.5,competitor_c2
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks.",sameCategory,bookmarks,one-shot CoT,postit,context1,GPT-3.5,competitor_c2
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks.",sameCategory,bookmarks,one-shot CoT,postit,context1,GPT-3.5,competitor_c2
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks.",sameCategory,bookmarks,one-shot CoT,postit,context1,GPT-3.5,competitor_c2
postit-board,"No, I don't have post-its, but you can have the sticky bookmarks.",sameCategory,bookmarks,one-shot CoT,postit,context1,GPT-3.5,competitor_c2
postit-reading,"No, I don't have post-its, but you could have the sticky bookmarks or the notebook.",sameCategory,"bookmarks, notebook",one-shot CoT,postit,context2,GPT-3.5,"competitor_c2,mostSimilar"
postit-reading,"No, I don't have post-its, but you can have the sticky bookmarks.",competitor,bookmarks,one-shot CoT,postit,context2,GPT-3.5,competitor_c2
postit-reading,"No, I don't have post-its, but you can have the sticky bookmarks.",competitor,bookmarks,one-shot CoT,postit,context2,GPT-3.5,competitor_c2
postit-reading,"No, I don't have post-its, but you can use the sticky bookmarks.",competitor,bookmarks,one-shot CoT,postit,context2,GPT-3.5,competitor_c2
postit-reading,"No, I don't have any post-its, but you can use the sticky bookmarks and take notes on the notebook.",sameCategory,"bookmarks, notebook",one-shot CoT,postit,context2,GPT-3.5,"competitor_c2,mostSimilar"
pot-garden,"No, I don't have any pots, but you can have one of the cans if you want.",competitor,cans,one-shot CoT,pot,context1,GPT-3.5,competitor_c1
pot-garden,"No, I don't have a pot, but you can have a camping cookware to repot your plants.",mostSimilar,camping cookware,one-shot CoT,pot,context1,GPT-3.5,mostSimilar
pot-garden,"No, I don't have a pot, but you can have an old can.",competitor,cans,one-shot CoT,pot,context1,GPT-3.5,competitor_c1
pot-garden,"No, I don't have a pot, but you can use the cans.",competitor,cans,one-shot CoT,pot,context1,GPT-3.5,competitor_c1
pot-garden,"No, I don't have a pot, but you can have a ceramic plate.",otherCategory,ceramic plates,one-shot CoT,pot,context1,GPT-3.5,otherCategory
pot-jam,"No, I do not have a pot, but you can use the camping cookware.",mostSimilar,camping cookware,one-shot CoT,pot,context2,GPT-3.5,mostSimilar
pot-jam,"No, I don't have a pot, but you can have any of the pans.",competitor,pans,one-shot CoT,pot,context2,GPT-3.5,competitor_c2
pot-jam,"No, I don't have a pot, but you can have one of the pans.",competitor,pans,one-shot CoT,pot,context2,GPT-3.5,competitor_c2
pot-jam,"No, I don't have a pot, but you can use one of my pans.",competitor,pans,one-shot CoT,pot,context2,GPT-3.5,competitor_c2
pot-jam,"No, I don't have any pots but you can use the pans to cook the apples.",competitor,pans,one-shot CoT,pot,context2,GPT-3.5,competitor_c2
towel-hair,"No, I don't have a towel, but you can use the paper towels to dry your hair.",mostSimilar,paper towels,one-shot CoT,towel,context1,GPT-3.5,mostSimilar
towel-hair,"No, I don't have a spare towel, but you can use the paper towels, and the hair dryer if you need it.",sameCategory,"paper towels, hairdryer",one-shot CoT,towel,context1,GPT-3.5,"competitor_c1,mostSimilar"
towel-hair,"No, I don't have a towel, but you can use the paper towels and the hair dryer.",sameCategory,"paper towels, hairdryer",one-shot CoT,towel,context1,GPT-3.5,"competitor_c1,mostSimilar"
towel-hair,"No, I don't have a spare towel, but you can use the paper towels and the hair dryer to dry your hair.",sameCategory,"paper towels, hairdryer",one-shot CoT,towel,context1,GPT-3.5,"competitor_c1,mostSimilar"
towel-hair,"No, I don't have a spare towel, but you can have the hair dryer and paper towels. I will also head to the basement and grab a dryer, and you can use the blanket to dry your hair as well.",fullList,"paper towels, hairdryer, dryer, blanket",one-shot CoT,towel,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
towel-clothes,"No, I don't have a towel, but you can use the paper towels and I can also run the dryer in the basement for you.",sameCategory,"paper towels, dryer",one-shot CoT,towel,context2,GPT-3.5,"competitor_c2,mostSimilar"
towel-clothes,"No, I don't have a towel, but you can use the paper towels, the hair dryer and the blanket to dry your costumes.",other,"paper towels, hairdryer, blanket",one-shot CoT,towel,context2,GPT-3.5,"competitor_c1,mostSimilar,otherCategory"
towel-clothes,"No, I don't have a towel, but you can have the blanket to dry off your costumes.",otherCategory,blanket,one-shot CoT,towel,context2,GPT-3.5,otherCategory
towel-clothes,"No, I don't have a spare towel, but you can dry the costumes using the paper towels, the hair dryer, or the blanket.",other,"paper towels, hairdryer, blanket",one-shot CoT,towel,context2,GPT-3.5,"competitor_c1,mostSimilar,otherCategory"
towel-clothes,"No, I don't have a towel, but why don't we try to dry your costumes with the paper towels, the hair dryer and the blanket?",other,"paper towels, hairdryer, blanket",one-shot CoT,towel,context2,GPT-3.5,"competitor_c1,mostSimilar,otherCategory"
candy-halloween,"No, we don't have candy, but you can take some of the trail mix packages and the big chocolate bar.",sameCategory,"trailmix, chocolate",one-shot CoT,candy,context1,GPT-3.5,"competitor_c1,mostSimilar"
candy-halloween,"No, we don't have any candy, but we have some trail mix packages, a big chocolate bar, ice cream, and soda if they'd like something else.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
candy-halloween,"No, we don't have any candy, but I can offer them some trail mix packages, a big chocolate bar, ice cream, and soda.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
candy-halloween,"No, we don't have any candy, but we have some trail mix packages, a big chocolate bar, some ice cream and soda if they would like that.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
candy-halloween,"No, we don't have any candy, but you can have a trail mix package, a chocolate bar, some ice cream, and a soda.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
candy-dessert,"No, we don't have any candy, but we've got ice cream, a big chocolate bar and little trail mix packages. Would you like any of those?",sameCategory,"trailmix, chocolate, ice cream",one-shot CoT,candy,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar"
candy-dessert,"No, we don't have any candy, but we do have some ice cream, a large chocolate bar, little trail mix bags and soda.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
candy-dessert,"No, we don't have any candy, but you can have a scoop of ice cream, a big chocolate bar, some trail mix packages, or a soda.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
candy-dessert,"No, we don't have any candy, but we do have some ice cream, a big chocolate bar, trail mix packages and soda.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
candy-dessert,"No, we don't have any candy, but I could offer you some ice cream, a chocolate bar, or maybe a handful of trail mix. We also have some soda if you'd like.",fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,watering can,one-shot CoT,bottle,context1,GPT-3.5,competitor_c1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,watering can,one-shot CoT,bottle,context1,GPT-3.5,competitor_c1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,watering can,one-shot CoT,bottle,context1,GPT-3.5,competitor_c1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,watering can,one-shot CoT,bottle,context1,GPT-3.5,competitor_c1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,watering can,one-shot CoT,bottle,context1,GPT-3.5,competitor_c1
bottle-water,"No, I don't have a bottle, but you can have the to-go mug.",competitor,mug,one-shot CoT,bottle,context2,GPT-3.5,competitor_c2
bottle-water,"No, I don't have a bottle, but you can have the to-go mug.",competitor,mug,one-shot CoT,bottle,context2,GPT-3.5,competitor_c2
bottle-water,"No, I don't have a bottle, but you can have the to-go mug.",competitor,mug,one-shot CoT,bottle,context2,GPT-3.5,competitor_c2
blanket-sleepover,"I'm sorry, I don't have a spare blanket, but you're welcome to borrow my sleeping bag or pillow if you'd like. I also have a carpet you can use if that would be of help.",other,"sleeping bag, bubble wrap, pillow",one-shot Explanation,blanket,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar"
blanket-sleepover,"I'm sorry, I don't have a blanket, but I can lend you a sleeping bag and a pillow if you need them. The bubble wrap might also be useful for making a makeshift mattress or for places where the sleeping bag does not reach. If you want to make it extra comfortable, the carpet",fullList,"sleeping bag, carpet, bubble wrap, pillow",one-shot Explanation,blanket,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
blanket-sleepover,"Yes, I can lend you something to keep warm. The sleeping bag should be really useful to keep you warm during the sleepover.",competitor,sleeping bag,one-shot Explanation,blanket,context1,GPT-3.5,competitor_c1
blanket-sleepover,"Unfortunately, I donbytes:\xe2\x80bytes:\x99t have a spare blanket, but I do have a sleeping bag and a pillow that you can borrow if it would help.",sameCategory,"sleeping bag, pillow",one-shot Explanation,blanket,context1,GPT-3.5,"competitor_c1,mostSimilar"
blanket-sleepover,"Ibytes:\xe2\x80bytes:\x99m sorry I donbytes:\xe2\x80bytes:\x99t have a spare blanket, but I do have a sleeping bag that you can use. It normally serves as a mattress but it should do great as a blanket as well!",competitor,sleeping bag,one-shot Explanation,blanket,context1,GPT-3.5,competitor_c1
blanket-transportation,"I don't have a blanket, but I could offer you the sleeping bag to help you wrap the mirror for transportation. It should protect the mirror from getting damaged.",sameCategory,sleeping bag,one-shot Explanation,blanket,context2,GPT-3.5,competitor_c1
blanket-transportation,The best option for the mirror would be to use the bubble wrap to protect it during the move.,competitor,bubble wrap,one-shot Explanation,blanket,context2,GPT-3.5,competitor_c2
blanket-transportation,"I donbytes:\xe2\x80bytes:\x99t have a spare blanket, but I do have some bubble wrap that might work. It would ensure that the mirror is safe and secure during its transportation.",competitor,bubble wrap,one-shot Explanation,blanket,context2,GPT-3.5,competitor_c2
blanket-transportation,"I don't have a spare blanket, but if you need something to protect the mirror while you're packing, I have some bubble wrap that might work.",competitor,bubble wrap,one-shot Explanation,blanket,context2,GPT-3.5,competitor_c2
blanket-transportation,"""I don't have a blanket, but you can use the pillow and a carpet to cushion the mirror. Then use the bubble wrap to keep it secure.""",other,"carpet, bubble wrap, pillow",one-shot Explanation,blanket,context2,GPT-3.5,"competitor_c2,mostSimilar,otherCategory"
box-muffins,"I donbytes:\xe2\x80bytes:\x99t have a box, but I do have the cake container, the carton, the zipper bag and the tote bag. I'm sure one of those will be suitable for what you need.",fullList,"cake container, ziplock, tote, carton",one-shot Explanation,box,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
box-muffins,"Yes, I have some options. The best one for carrying pastries would be the cake container.",competitor,cake container,one-shot Explanation,box,context1,GPT-3.5,competitor_c1
box-muffins,"While I don't have a box, I do have a cake container, a carton, a ziplock bag, and a tote bag that you could use to carry the muffins and cookies.",fullList,"cake container, ziplock, tote, carton",one-shot Explanation,box,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
box-muffins,Yes! The most useful item for transporting the pastries would be the cake container.,competitor,cake container,one-shot Explanation,box,context1,GPT-3.5,competitor_c1
box-muffins,"I don't have a box, but I do have a cake container that can hold quite a few of the pastries. Would you like to use that instead?",competitor,cake container,one-shot Explanation,box,context1,GPT-3.5,competitor_c1
box-bbq,"Yes, I do have something you can use! The tote bag should do the job for you. It should be able to fit most of the food you want to take home.",otherCategory,tote,one-shot Explanation,box,context2,GPT-3.5,otherCategory
box-bbq,"Yes! We have several options! The most useful object from the list of available items here is the carton, as it is the most suitable for transporting food.",mostSimilar,carton,one-shot Explanation,box,context2,GPT-3.5,mostSimilar
box-bbq,"I don't have a box, but I have a tote bag which should do the trick.",otherCategory,tote,one-shot Explanation,box,context2,GPT-3.5,otherCategory
box-bbq,Yes! I have a carton which would be the most practical item for storing leftovers.,mostSimilar,carton,one-shot Explanation,box,context2,GPT-3.5,mostSimilar
box-bbq,"Yes, I have a container for you. The practical goal of the questioner is to take food home. For this purpose, the most useful object from the list is the tote bag.",otherCategory,tote,one-shot Explanation,box,context2,GPT-3.5,otherCategory
sugar-coffee,"I'm sorry, I don't have sugar, but I do have sweetener tablets, honey, agave syrup and salt that you can use in your coffee.",fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
sugar-baking,"I don't have any sugar, but I do have agave syrup, honey, sweetener tablets, and salt. That might work for your recipe.",fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
sugar-baking,"I'm sorry, I don't have any sugar, but I do have some agave syrup, honey, sweetener tablets and salt which could work for your baking needs.",fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
sugar-baking,"Unfortunately, I do not have any sugar, but I do have agave syrup, honey, sweetener tablets and salt that might work in your recipe.",fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
sugar-baking,"No, I donbytes:\xe2\x80bytes:\x99t have sugar, but I can offer you some agave syrup, honey, sweetener tablets, or salt. Would any of those work as a substitute?",fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
sugar-baking,"""I'm sorry, I don't have any sugar, but I do have some agave syrup, honey, sweetener tablets, and salt that might help.""",fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
handkerchief-injury,"Yes, I do have something that could help. I have some band aids, paper napkins and wet wipes in my backpack. Would any of those suffice?",sameCategory,"band aids, napkins, wet wipes",one-shot Explanation,handkerchief,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar"
handkerchief-injury,"I'm sorry, but I don't have a handkerchief. However, I have some band aids, paper napkins, some wet wipes, and a phone I can call someone to help you.",fullList,"band aids, napkins, wet wipes, cell",one-shot Explanation,handkerchief,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
handkerchief-injury,"I don't have a handkerchief, but I do have some band aids and wet wipes. Let me help you clean up the knee.",sameCategory,"band aids, wet wipes",one-shot Explanation,handkerchief,context1,GPT-3.5,"competitor_c1,competitor_c2"
handkerchief-injury,"I'm sorry, I don't have a handkerchief, but I do have some band aids, paper napkins, wet wipes, and a cell phone I can lend you. Will any of those work?",fullList,"band aids, napkins, wet wipes, cell",one-shot Explanation,handkerchief,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
handkerchief-injury,"Yes, I certainly do. I have some band-aids that might help with the scraped knee. Would those be helpful?",competitor,band aids,one-shot Explanation,handkerchief,context1,GPT-3.5,competitor_c1
handkerchief-sauce,"I don't have a handkerchief, but I do have some wet wipes that should help get the sauce off your sweater.",competitor,wet wipes,one-shot Explanation,handkerchief,context2,GPT-3.5,competitor_c2
handkerchief-sauce,"""I don't have a handkerchief, but I do have some wet wipes and paper napkins. Would those be helpful?""",sameCategory,"wet wipes, napkins",one-shot Explanation,handkerchief,context2,GPT-3.5,"competitor_c2,mostSimilar"
handkerchief-sauce,"I'm sorry I don't have a handkerchief, but here are some wet wipes that may help with cleaning the stain.",competitor,wet wipes,one-shot Explanation,handkerchief,context2,GPT-3.5,competitor_c2
handkerchief-sauce,"I'm sorry I don't have a handkerchief. However, I do have wet wipes that might help.",competitor,wet wipes,one-shot Explanation,handkerchief,context2,GPT-3.5,competitor_c2
handkerchief-sauce,"I don't have a handkerchief, but I do have some wet wipes. Would like to use those to clean your sweater?",competitor,wet wipes,one-shot Explanation,handkerchief,context2,GPT-3.5,competitor_c2
broom-renovation,"I don't have a broom, but I do have a vacuum cleaner, a hand brush, a shovel, and a lamp. Would any of them help with your clean up?",fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
broom-renovation,"""Unfortunately, I don't have a broom, but I do have a vacuum cleaner and a hand brush, which might do the trick. I also have a shovel and a lamp if they would be of any help to you.""",fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
broom-renovation,"Yes, I don't have a broom but I do have a vacuum cleaner and a hand brush that you can borrow. I also have a shovel and a lamp if you need those.",fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
