answer,response_option,category,itemName,settingName,context_nr,global_category
No I'm sorry I don't but I do have a shovel or hand brunch you can use if you like.,shovel,sameCategory,broom-snow,broom,context2,competitor_c2
No I'm sorry I don't but I do have a shovel or hand brunch you can use if you like.,handbrush,sameCategory,broom-snow,broom,context2,mostSimilar
"Not a broom, I have a brush and a vacuum cleaner that you could use",handbrush,sameCategory,broom-renovation,broom,context1,mostSimilar
"Not a broom, I have a brush and a vacuum cleaner that you could use",vacuum,sameCategory,broom-renovation,broom,context1,competitor_c1
"No, but I have a notebook, and whiteboard marker and eraser if this helps.",marker,other,postit-board,postit,context1,competitor_c1
"No, but I have a notebook, and whiteboard marker and eraser if this helps.",eraser,other,postit-board,postit,context1,otherCategory
"No, but I have a watering can.",wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
"No, but I have several pans and old cans if this helps.",pans,sameCategory,pot-garden,pot,context1,competitor_c2
"No, but I have several pans and old cans if this helps.",cans,sameCategory,pot-garden,pot,context1,competitor_c1
"No, but I have sweetener tablets or honey",sweetener,sameCategory,sugar-baking,sugar,context2,competitor_c1
"No, but I have sweetener tablets or honey",honey,sameCategory,sugar-baking,sugar,context2,mostSimilar
No but I have a to go mug,mug,competitor,bottle-water,bottle,context2,competitor_c2
"No but I have shorts, leggings or pyjamas",shorts,sameCategory,sweatpants-spill,sweatpants,context2,competitor_c2
"No but I have shorts, leggings or pyjamas",leggings,sameCategory,sweatpants-spill,sweatpants,context2,mostSimilar
"No but I have shorts, leggings or pyjamas",pyjamas,sameCategory,sweatpants-spill,sweatpants,context2,competitor_c1
I have paper towels or a hairdryer you could use,papertowels,sameCategory,towel-clothes,towel,context2,mostSimilar
I have paper towels or a hairdryer you could use,hairdryer,sameCategory,towel-clothes,towel,context2,competitor_c1
I have these little Sticky Bookmarks if thats of any use,bookmarks,sameCategory,postit-board,postit,context1,competitor_c2
"No sorry, I do have a sleeping bag though",sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
Here's a pair of Pyjamas,pyjamas,competitor,sweatpants-sleepover,sweatpants,context1,competitor_c1
"no, i have sweetener",sweetener,sameCategory,sugar-baking,sugar,context2,competitor_c1
"no, i have a notebook",notebook,sameCategory,postit-reading,postit,context2,mostSimilar
"no, paper towels",papertowels,mostSimilar,towel-clothes,towel,context2,mostSimilar
No sorry - only leggings,leggings,mostSimilar,sweatpants-sleepover,sweatpants,context1,mostSimilar
No but I do have some wipes and band aids if that helps?,wetwipes,sameCategory,handkerchief-injury,handkerchief,context1,competitor_c2
No but I do have some wipes and band aids if that helps?,bandaids,sameCategory,handkerchief-injury,handkerchief,context1,competitor_c1
"No but I do have honey, syrup and sweetener tablets if any of those would be suitable?",sweetener,sameCategory,sugar-coffee,sugar,context1,competitor_c1
"No but I do have honey, syrup and sweetener tablets if any of those would be suitable?",syrup,sameCategory,sugar-coffee,sugar,context1,competitor_c2
"No but I do have honey, syrup and sweetener tablets if any of those would be suitable?",honey,sameCategory,sugar-coffee,sugar,context1,mostSimilar
"No, but I do have a watering can you can use if you like.",wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
I don't have a broom but you're more than welcome to borrow my brush and vacuum cleaner.,vacuum,sameCategory,broom-renovation,broom,context1,competitor_c1
I don't have a broom but you're more than welcome to borrow my brush and vacuum cleaner.,handbrush,sameCategory,broom-renovation,broom,context1,mostSimilar
"No, but you can use my pyjamas if you like.",pyjamas,competitor,sweatpants-sleepover,sweatpants,context1,competitor_c1
"No, but I do have sweetener, honey or agave syrup.",sweetener,sameCategory,sugar-coffee,sugar,context1,competitor_c1
"No, but I do have sweetener, honey or agave syrup.",syrup,sameCategory,sugar-coffee,sugar,context1,competitor_c2
"No, but I do have sweetener, honey or agave syrup.",honey,sameCategory,sugar-coffee,sugar,context1,mostSimilar
Unfortunately I don't have a blanket but I do have a sleeping bag if that helps?,sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
I dont have a bottle but I have a watering can if you would like to use that to water the plants,wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
I dont have a towel im afraid but you can use my hair dryer?,hairdryer,competitor,towel-hair,towel,context1,competitor_c1
I dont have a box but I have a cake container and some ziplock bags you can use,cakecontainer,sameCategory,box-muffins,box,context1,competitor_c1
I dont have a box but I have a cake container and some ziplock bags you can use,ziplock,sameCategory,box-muffins,box,context1,competitor_c2
No I don't but can offer you a glass.,glass,mostSimilar,bottle-water,bottle,context2,mostSimilar
No but can offer you a napkin,napkins,mostSimilar,handkerchief-sauce,handkerchief,context2,mostSimilar
I've got a cake box or a ziplock bag if you want to use them,cakecontainer,sameCategory,box-bbq,box,context2,competitor_c1
I've got a cake box or a ziplock bag if you want to use them,ziplock,sameCategory,box-bbq,box,context2,competitor_c2
"Yeah, I've got sticky bookmarks",bookmarks,competitor,postit-reading,postit,context2,competitor_c2
"no, but I've got some shorts or leggings if you want them",shorts,sameCategory,sweatpants-spill,sweatpants,context2,competitor_c2
"no, but I've got some shorts or leggings if you want them",leggings,sameCategory,sweatpants-spill,sweatpants,context2,mostSimilar
I have chocolate,chocolate,mostSimilar,candy-dessert,candy,context2,mostSimilar
No but you can use hair the dryer in the basement?,dryer,sameCategory,towel-hair,towel,context1,competitor_c2
No but you are welcome to use the hand brush,handbrush,mostSimilar,broom-renovation,broom,context1,mostSimilar
No sorry but you can use the watering can,wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
No but I have sunscreen and you can use the tent for shade,sunscreen,other,umbrella-summer,umbrella,context1,competitor_c1
No but I have sunscreen and you can use the tent for shade,tent,other,umbrella-summer,umbrella,context1,otherCategory
Does chocolate bar count as candy?,chocolate,mostSimilar,candy-dessert,candy,context2,mostSimilar
"I've only got a hand brush, will that be enough?",handbrush,mostSimilar,broom-snow,broom,context2,mostSimilar
"Yes, I have sticky bookmarks.",bookmarks,sameCategory,postit-board,postit,context1,competitor_c2
"No, I only have Pyjamas or leggings. 
",pyjamas,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c1
"No, I only have Pyjamas or leggings. 
",leggings,sameCategory,sweatpants-sleepover,sweatpants,context1,mostSimilar
No but I have a hair dryer,hairdryer,competitor,towel-hair,towel,context1,competitor_c1
No but I have a watering can or my to-go mug.,wateringcan,sameCategory,bottle-plants,bottle,context1,competitor_c1
No but I have a watering can or my to-go mug.,mug,sameCategory,bottle-plants,bottle,context1,competitor_c2
We have chocolate,chocolate,mostSimilar,candy-dessert,candy,context2,mostSimilar
No sorry but I’ve got a shovel and a hand brush.,shovel,sameCategory,broom-snow,broom,context2,competitor_c2
No sorry but I’ve got a shovel and a hand brush.,handbrush,sameCategory,broom-snow,broom,context2,mostSimilar
"No sorry, I do have a sleeping bag you could borrow. That would help to protect it.",sleepingbag,sameCategory,blanket-transportation,blanket,context2,competitor_c1
"No sorry, I’ve got a rain jacket you could borrow, although only one I’m afraid.",rainjacket,competitor,umbrella-rain,umbrella,context2,competitor_c2
"I do yeah, I've got wet wipes or tissues, which would you like?",wetwipes,sameCategory,handkerchief-sauce,handkerchief,context2,competitor_c2
"I do yeah, I've got wet wipes or tissues, which would you like?",napkins,sameCategory,handkerchief-sauce,handkerchief,context2,mostSimilar
"Kind of, would these sticky bookmarks do? I've got a notebook if that'd be better.",bookmarks,sameCategory,postit-reading,postit,context2,competitor_c2
"Kind of, would these sticky bookmarks do? I've got a notebook if that'd be better.",notebook,sameCategory,postit-reading,postit,context2,mostSimilar
"Sorry I don't, would leggings work? Come have a look, you can choose something.",leggings,mostSimilar,sweatpants-spill,sweatpants,context2,mostSimilar
"I've got a sleeping bag, that'll be more padded than a blanket anyways, I think.",sleepingbag,sameCategory,blanket-transportation,blanket,context2,competitor_c1
no sorry but i have loads of bags and cake containers.,cakecontainer,sameCategory,box-bbq,box,context2,competitor_c1
"dude, you knoow i  havnt done my washing yet, b i  have towelsr u can u the dryers",dryer,competitor,towel-clothes,towel,context2,competitor_c2
"no but i have a shovel, lets do this together shall we",shovel,competitor,broom-snow,broom,context2,competitor_c2
"sorry no, but you can lend these shorts or pat dry with a towel 
",shorts,other,sweatpants-spill,sweatpants,context2,competitor_c2
"sorry no, but you can lend these shorts or pat dry with a towel 
",towel,other,sweatpants-spill,sweatpants,context2,otherCategory
No but there is a dryer in the basement that they could use,dryer,competitor,towel-clothes,towel,context2,competitor_c2
I have ice cream or chocolate,icecream,sameCategory,candy-dessert,candy,context2,competitor_c2
I have ice cream or chocolate,chocolate,sameCategory,candy-dessert,candy,context2,mostSimilar
I do - I have camping cookware and pans that I can lend you,campingcookware,sameCategory,pot-jam,pot,context2,mostSimilar
I do - I have camping cookware and pans that I can lend you,pans,sameCategory,pot-jam,pot,context2,competitor_c2
"No, but I have agave sugar",syrup,competitor,sugar-baking,sugar,context2,competitor_c2
No but do you want to use this to-go mug?,mug,competitor,bottle-water,bottle,context2,competitor_c2
I'll give you a cake container,cakecontainer,sameCategory,box-bbq,box,context2,competitor_c1
"Sorry, no, but I do have a hair dryer that you could use instead.",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
"Yeah, there's some candy and chocolate in the kitchen - give them that!",chocolate,mostSimilar,candy-halloween,candy,context1,mostSimilar
I've got some leggings and pyjamas - would either of those be ok?,leggings,sameCategory,sweatpants-sleepover,sweatpants,context1,mostSimilar
I've got some leggings and pyjamas - would either of those be ok?,pyjamas,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c1
No sorry. I have a to-go mug if that helps at all?,mug,competitor,bottle-water,bottle,context2,competitor_c2
"Yeah, we have chocolate and ice cream!",icecream,sameCategory,candy-dessert,candy,context2,competitor_c2
"Yeah, we have chocolate and ice cream!",chocolate,sameCategory,candy-dessert,candy,context2,mostSimilar
I can offer you some leggings?,leggings,mostSimilar,sweatpants-spill,sweatpants,context2,mostSimilar
"No, but You could make a sunshade from the bike cover or set up the tent?",bikecover,other,umbrella-summer,umbrella,context1,mostSimilar
"No, but You could make a sunshade from the bike cover or set up the tent?",tent,other,umbrella-summer,umbrella,context1,otherCategory
"No, but I've got a sleeping bag, if that helps?",sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
"No, but I've got a notebook and some sticky bookmarks you can have?",bookmarks,sameCategory,postit-board,postit,context1,competitor_c2
"No, but I've got a notebook and some sticky bookmarks you can have?",notebook,sameCategory,postit-board,postit,context1,mostSimilar
"No, but I've got some paper towels?",papertowels,mostSimilar,towel-hair,towel,context1,mostSimilar
"No, but I do have a sleeping bag.",sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
"No, but I dohave a hair dryer if you want to use that.",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
"No, but I have pyjamas or shorts if you'd like any of those.",pyjamas,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c1
"No, but I have pyjamas or shorts if you'd like any of those.",shorts,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c2
"No, but I have a hand brush and a shovel, or a vacuum cleaner if you could use those.",shovel,sameCategory,broom-renovation,broom,context1,competitor_c2
"No, but I have a hand brush and a shovel, or a vacuum cleaner if you could use those.",handbrush,sameCategory,broom-renovation,broom,context1,mostSimilar
"No, but I have a hand brush and a shovel, or a vacuum cleaner if you could use those.",vacuum,sameCategory,broom-renovation,broom,context1,competitor_c1
"No, but I have a hair dryer, if that helps.",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
No. I have some ziplock bags though.,ziplock,sameCategory,box-muffins,box,context1,competitor_c2
No. I have some sunscreen if you're interested.,sunscreen,competitor,umbrella-summer,umbrella,context1,competitor_c1
I have chocolate,chocolate,mostSimilar,candy-dessert,candy,context2,mostSimilar
"No, but you can use my hairdryer?",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
I don’t. I have a marker for the whiteboard we could use?,marker,competitor,postit-board,postit,context1,competitor_c1
I have paper towels in the basement,papertowels,mostSimilar,towel-clothes,towel,context2,mostSimilar
no sorry but I have a shovel,shovel,competitor,broom-snow,broom,context2,competitor_c2
No sorry but I have some cans and pans,cans,sameCategory,pot-jam,pot,context2,competitor_c1
No sorry but I have some cans and pans,pans,sameCategory,pot-jam,pot,context2,competitor_c2
I have sticky bookmarks if that helps,bookmarks,competitor,postit-reading,postit,context2,competitor_c2
"No, sorry. I don't have a broom but I do have a shovel or a hand brush. Could they help you at all?",shovel,sameCategory,broom-snow,broom,context2,competitor_c2
"No, sorry. I don't have a broom but I do have a shovel or a hand brush. Could they help you at all?",handbrush,sameCategory,broom-snow,broom,context2,mostSimilar
"No, sorry - I have used all mine in my baking. What are yo making? Will honey or agave syrup do?",syrup,sameCategory,sugar-baking,sugar,context2,competitor_c2
"No, sorry - I have used all mine in my baking. What are yo making? Will honey or agave syrup do?",honey,sameCategory,sugar-baking,sugar,context2,mostSimilar
"No, but a wet wipe might clear that up better - I have some of those of you like?",wetwipes,competitor,handkerchief-sauce,handkerchief,context2,competitor_c2
"I have a blanket to warm you up and I can put your clothes in the drier if you like? 
",blanket,other,towel-clothes,towel,context2,otherCategory
"I have a blanket to warm you up and I can put your clothes in the drier if you like? 
",dryer,other,towel-clothes,towel,context2,competitor_c2
"No I don’t have a box but I have a carton, a tote bag, a cake container and a zip lock bag if you’d like any of those instead?",carton,fullList,box-bbq,box,context2,mostSimilar
"No I don’t have a box but I have a carton, a tote bag, a cake container and a zip lock bag if you’d like any of those instead?",cakecontainer,fullList,box-bbq,box,context2,competitor_c1
"No I don’t have a box but I have a carton, a tote bag, a cake container and a zip lock bag if you’d like any of those instead?",ziplock,fullList,box-bbq,box,context2,competitor_c2
"No I don’t have a box but I have a carton, a tote bag, a cake container and a zip lock bag if you’d like any of those instead?",tote,fullList,box-bbq,box,context2,otherCategory
No I haven’t got a broom but I do have a hand brush if that would be any help?,handbrush,mostSimilar,broom-snow,broom,context2,mostSimilar
"No I don’t have a towel but you could try using my blanket, if you wanted?",blanket,otherCategory,towel-clothes,towel,context2,otherCategory
I don’t have a blanket but I do have a sleeping bag if that would be helpful?,sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
"No, I don’t have a bottle, do you want the watering can?",wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
"I have a hair dryer you can use, it will be better than a towel.",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
"No sorry, I have a hand brush but I don't have a broom I'm afraid.",handbrush,mostSimilar,broom-renovation,broom,context1,mostSimilar
No sorry I don't have any pots but I have some old cans and ceramic plates that you could maybe use instead of a pot if you would like to try them?,cans,other,pot-garden,pot,context1,competitor_c1
No sorry I don't have any pots but I have some old cans and ceramic plates that you could maybe use instead of a pot if you would like to try them?,ceramicplates,other,pot-garden,pot,context1,otherCategory
No sorry but you can borrow my sleeping bag which could be used instead of a blanket.,sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
No sorry I don't have a bottle but you can use my watering can or my glass to water the plants if you like?,wateringcan,sameCategory,bottle-plants,bottle,context1,competitor_c1
No sorry I don't have a bottle but you can use my watering can or my glass to water the plants if you like?,glass,sameCategory,bottle-plants,bottle,context1,mostSimilar
"I have a vacuum cleaner if that helps, you are welcome to borrow it",vacuum,competitor,broom-renovation,broom,context1,competitor_c1
I have some chocolate,chocolate,mostSimilar,candy-halloween,candy,context1,mostSimilar
I have some old cans,cans,competitor,pot-garden,pot,context1,competitor_c1
No but I have a watering can,wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
I have a watering can you can use,wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
I have some pyjamas you could wear,pyjamas,competitor,sweatpants-sleepover,sweatpants,context1,competitor_c1
I have a vacuum,vacuum,competitor,broom-renovation,broom,context1,competitor_c1
"Not exactly, would you like to borrow a hairdryer?",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
"No, but I have sunscreen.",sunscreen,competitor,umbrella-summer,umbrella,context1,competitor_c1
"I've got sticky bookmarks, will that do?",bookmarks,sameCategory,postit-board,postit,context1,competitor_c2
sorry i do not have a broom. I do have a hand brush though.,handbrush,mostSimilar,broom-snow,broom,context2,mostSimilar
I have a sleeping bag and a pillow if that helps?,sleepingbag,sameCategory,blanket-transportation,blanket,context2,competitor_c1
I have a sleeping bag and a pillow if that helps?,pillow,sameCategory,blanket-transportation,blanket,context2,mostSimilar
I have some pans.,pans,competitor,pot-jam,pot,context2,competitor_c2
I don't have a pot sorry but I have a few things that may be suitable such as old cans,cans,competitor,pot-garden,pot,context1,competitor_c1
No I don't but I have sweetener tablets,sweetener,competitor,sugar-coffee,sugar,context1,competitor_c1
No but i have a watering can you can use,wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
"""I don't have any sweatpants I'm afraid, but I do have a pair of leggings or some pyjama bottoms you could borrow.""",leggings,sameCategory,sweatpants-spill,sweatpants,context2,mostSimilar
"""I don't have any sweatpants I'm afraid, but I do have a pair of leggings or some pyjama bottoms you could borrow.""",pyjamas,sameCategory,sweatpants-spill,sweatpants,context2,competitor_c1
"""I've got a big chocolate bar. Otherwise it's ice cream.""",chocolate,sameCategory,candy-dessert,candy,context2,mostSimilar
"""I've got a big chocolate bar. Otherwise it's ice cream.""",icecream,sameCategory,candy-dessert,candy,context2,competitor_c2
"""I don't have an umbrella but you could wear my rain jacket.""",rainjacket,competitor,umbrella-rain,umbrella,context2,competitor_c2
"""I've got plenty of pans in the basement.""",pans,competitor,pot-jam,pot,context2,competitor_c2
"Yes we have chocolate , trail mix and soda",chocolate,other,candy-halloween,candy,context1,mostSimilar
"Yes we have chocolate , trail mix and soda",trailmix,other,candy-halloween,candy,context1,competitor_c1
"Yes we have chocolate , trail mix and soda",soda,other,candy-halloween,candy,context1,otherCategory
No but I have a sleeping bag,sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
I have a cake container or a zip lock bag?,cakecontainer,sameCategory,box-muffins,box,context1,competitor_c1
I have a cake container or a zip lock bag?,ziplock,sameCategory,box-muffins,box,context1,competitor_c2
I have a shovel which will be much more useful,shovel,competitor,broom-snow,broom,context2,competitor_c2
I have a to-go mug which you can use instead.,mug,competitor,bottle-water,bottle,context2,competitor_c2
I have some chocolate which you might enjoy,chocolate,mostSimilar,candy-dessert,candy,context2,mostSimilar
I have some wet wipes that you can use to clean your sweater.,wetwipes,competitor,handkerchief-sauce,handkerchief,context2,competitor_c2
"I don't, but you could borrow a cake container.",cakecontainer,sameCategory,box-bbq,box,context2,competitor_c1
"I don't, but would bubble wrap be helpful as I have that?",bubblewrap,competitor,blanket-transportation,blanket,context2,competitor_c2
"No, but we have chocolate or ice-cream.",chocolate,sameCategory,candy-dessert,candy,context2,mostSimilar
"No, but we have chocolate or ice-cream.",icecream,sameCategory,candy-dessert,candy,context2,competitor_c2
I would reply. Yes I have some paper napkins. You are more than welcome to have some.,napkins,mostSimilar,handkerchief-sauce,handkerchief,context2,mostSimilar
No unfortunately I do not one but I can lend you my use rain coat if that helps.,rainjacket,competitor,umbrella-rain,umbrella,context2,competitor_c2
I have got some camping cookware and several pans you can use if that is helpful to you.,campingcookware,sameCategory,pot-jam,pot,context2,mostSimilar
I have got some camping cookware and several pans you can use if that is helpful to you.,pans,sameCategory,pot-jam,pot,context2,competitor_c2
"I have no sugar , but I do have some honey, sweetener tablets and syrup if that helps.",sweetener,sameCategory,sugar-baking,sugar,context2,competitor_c1
"I have no sugar , but I do have some honey, sweetener tablets and syrup if that helps.",syrup,sameCategory,sugar-baking,sugar,context2,competitor_c2
"I have no sugar , but I do have some honey, sweetener tablets and syrup if that helps.",honey,sameCategory,sugar-baking,sugar,context2,mostSimilar
No sorry but I have some bubble wrap,bubblewrap,competitor,blanket-transportation,blanket,context2,competitor_c2
No but I have some sticky bookmarks,bookmarks,sameCategory,postit-reading,postit,context2,competitor_c2
What sort of pot? I have some pans,pans,competitor,pot-jam,pot,context2,competitor_c2
No sorry but I have a shovel or hand brush you could use,shovel,sameCategory,broom-snow,broom,context2,competitor_c2
No sorry but I have a shovel or hand brush you could use,handbrush,sameCategory,broom-snow,broom,context2,mostSimilar
"No, I don't have a bottle, but I have a watering can.",wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
"No, I don't have any sugar, but I have sweetener if that helps.",sweetener,competitor,sugar-coffee,sugar,context1,competitor_c1
"Sorry, no, I do t have an umbrella, but I have sunscreen, and you could try to sit in the shade.",sunscreen,competitor,umbrella-summer,umbrella,context1,competitor_c1
"No, sorry, I do t have a pit. Bit I have some old cans and some plates and could make you a pot for your plants from rhat.",cans,sameCategory,pot-garden,pot,context1,competitor_c1
"No, sorry, I do t have a pit. Bit I have some old cans and some plates and could make you a pot for your plants from rhat.",ceramicplates,sameCategory,pot-garden,pot,context1,otherCategory
