itemName,predictions,category,prompt
electronics-laptop,"I'm sorry, I don't have a MacBook Pro. But I do have a MacBook Air.",competitor,one-shot QA
electronics-laptop,"I'm sorry, I don't have a MacBook Pro. But I do have a MacBook Air and a desktop computer.",sameCategory,one-shot QA
electronics-laptop,"I'm sorry, I don't have a MacBook Pro. But I do have a MacBook Air if you're interested.",competitor,one-shot QA
electronics-console,"I'm sorry, I don't have a PlayStation. But I do have an Xbox and a Gameboy.",sameCategory,one-shot QA
gym-yoga,"I'm sorry, we don't offer yoga classes. But we do have pilates, zumba and kickboxing classes.",fullList,one-shot QA
gym-yoga,"I'm sorry, we don't offer yoga classes at this time. We do offer pilates, zumba, and kickboxing. Would you like to try one of those classes instead?",fullList,one-shot QA
gym-yoga,"I'm sorry, we don't offer yoga classes at the moment. However, we do have pilates and zumba classes available.",sameCategory,one-shot QA
gym-yoga,"I'm sorry, we don't offer yoga classes. But we do have pilates and zumba classes if you're interested.",sameCategory,one-shot QA
gym-yoga,"I'm sorry, we don't currently offer yoga classes. But we do offer pilates, zumba and kickboxing classes.",fullList,one-shot QA
gym-boxing,"I'm sorry, we do not offer boxing classes here. However, we do offer kickboxing classes.",competitor,one-shot QA
gym-boxing,"I'm sorry, we don't offer boxing classes. We have kickboxing classes, karate classes, and pilates.",fullList,one-shot QA
kidsActivities-crafts,"I'm sorry, there isn't a pottery class. But we do offer the watercolor painting and carpentry workshop. They are a lot of fun!",sameCategory,one-shot QA
kidsActivities-crafts,"I'm sorry, I don't have a pottery class. But I do have a watercolor painting class and a carpentry workshop.",sameCategory,one-shot QA
kidsActivities-crafts,"I'm sorry, we don't offer a pottery class. However, we do have a watercolor painting class, a carpentry workshop, and an acrobatics class.",fullList,one-shot QA
kidsActivities-crafts,"I'm sorry, there is no pottery class. However, we do offer watercolor painting, carpentry and acrobatics.",fullList,one-shot QA
kidsActivities-sports,"I'm sorry, we don't have a gymnastics class. But we do have an acrobatics class if you're interested.",competitor,one-shot QA
kidsActivities-sports,"I'm sorry, there isn't a gymnastics class. But we do have an acrobatics class if you're interested!",competitor,one-shot QA
kidsActivities-sports,"I'm sorry, we don't have a gymnastics class. However, we do have an acrobatics class which includes both ground and aerial activities. Would you like to sign up for that?",competitor,one-shot QA
kidsActivities-sports,"I'm sorry, there isn't a gymnastics class. But we do offer an acrobatics class.",competitor,one-shot QA
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers if you'd like to play those instead.",sameCategory,one-shot QA
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble, but I do have Monopoly and checkers.",sameCategory,one-shot QA
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers if you'd like to play!",sameCategory,one-shot QA
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers.",sameCategory,one-shot QA
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers.",sameCategory,one-shot QA
friendsActivities-videoEntertainment,"I'm sorry, we don't have Netflix. But we do have some movies and some Xbox games to watch and play.",sameCategory,one-shot QA
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies and Xbox games we can play.",sameCategory,one-shot QA
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies, Xbox games, and Monopoly that we can enjoy.",fullList,one-shot QA
friendsActivities-videoEntertainment,"I'm sorry, I don't have any Netflix. But I do have some movies, Xbox games, and Monopoly.",fullList,one-shot QA
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some Xbox games and a Monopoly set.",other,one-shot QA
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant you could have.",competitor,one-shot QA
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant.",competitor,one-shot QA
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant that you could take with you.",competitor,one-shot QA
interior-green,"I'm sorry, I don't have any aloe vera plants. But I do have an agave plant that would look lovely in your new apartment.",competitor,one-shot QA
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant that would look great for your new apartment.",competitor,one-shot QA
interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and some printed photographs. And I also have an agave plant that you could take home.",fullList,one-shot QA
interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and some printed photographs that would look lovely in your new apartment.",sameCategory,one-shot QA
interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and some printed photographs that you might find useful.",sameCategory,one-shot QA
interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and printed photographs.",sameCategory,one-shot QA
zoo-xl,"I'm sorry, there are no tigers here. But you can look at the lion or the giraffe!",sameCategory,one-shot QA
zoo-xl,"I'm sorry, there is no tiger here. However, we can go and see the lion.",competitor,one-shot QA
zoo-xl,"I'm sorry, I don't see the tiger on this map. But we can go and see the lion.",competitor,one-shot QA
zoo-xl,"I'm sorry, there isn't a tiger here at this zoo. But we can go see the lion if you like!",competitor,one-shot QA
zoo-reptiles,"I'm sorry, there are no chameleons here. But you can see the iguanas, turtles, and a lion!",fullList,one-shot QA
zoo-reptiles,"I'm sorry, I don't think the zoo has any chameleons. But I'm sure you'll have a great time seeing the iguanas, turtles, and the lion!",fullList,one-shot QA
zoo-reptiles,"I'm sorry, but we can't see a chameleon here at the zoo. However, we can see iguanas and turtles!",sameCategory,one-shot QA
zoo-reptiles,"I'm sorry, there are no chameleons here. But we can go see the turtles and the iguanas!",sameCategory,one-shot QA
zoo-reptiles,"I'm sorry, we can't see the chameleon today. But we can go see the iguanas, turtles, and the lion!",fullList,one-shot QA
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",competitor,one-shot CoT
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",competitor,one-shot CoT
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",competitor,one-shot CoT
cafe-pizza,"I'm sorry, I don't have any veggie pizza. But I do have some cheese pizza.",competitor,one-shot CoT
cafe-pizza,"I'm sorry, I don't have any veggie pizza. But I do have both cheese and pepperoni pizza.",sameCategory,one-shot CoT
cafe-pizza,"I'm sorry, I don't have any veggie pizza. But I do have cheese pizza.",competitor,one-shot CoT
cafe-pizza,"I'm sorry, I don't have any veggie pizza. But I do have both cheese and pepperoni pizza.",sameCategory,one-shot CoT
cafe-pizza,"I'm sorry, I don't have any veggie pizza. But I do have cheese pizza if you'd like.",competitor,one-shot CoT
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot CoT
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot CoT
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have Chardonnay and craft beer. I can also make you an iced coffee if you'd like.",fullList,one-shot CoT
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot CoT
bar-tea,"I'm sorry, I don't have any iced tea. But I do have some iced coffee.",competitor,one-shot CoT
bar-tea,"I'm sorry, I don't have any iced tea. But I do have some iced coffee.",competitor,one-shot CoT
bar-tea,"I'm sorry, I don't have any iced tea. But I do have iced coffee, soda, and Chardonnay.",fullList,one-shot CoT
bar-tea,"I'm sorry, I don't have any iced tea. But I do have some iced coffee and soda.",sameCategory,one-shot CoT
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. But there is a circus show and I'm sure that would be great fun for a young person!",competitor,one-shot CoT
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. But we do have a circus show and a club event with a hip hop DJ.",other,one-shot CoT
touristInfo-childTheatre,"I'm sorry, I don't know of any theatre performance for children today. But I do know that the circus show is family-friendly and might be a good fit!",competitor,one-shot CoT
touristInfo-clubbing,"I'm sorry, I don't have any club events with electronic music today. But we do have a club event with a hip hop DJ happening today.",competitor,one-shot CoT
touristInfo-clubbing,"I'm sorry, there is no club event with electronic music today. We do have a club event with a hip hop DJ and live jazz music. We also have a circus show.",fullList,one-shot CoT
touristInfo-clubbing,"I'm sorry, I don't have any club events with electronic music today. But I do have a hip hop DJ playing at the club event.",competitor,one-shot CoT
touristInfo-clubbing,"Sorry, I don't believe there is an event with electronic music today. But we do have a club event with a hip hop DJ and a live jazz music performance!",competitor,one-shot CoT
bookingAgency-lowClassAccommodation,"I'm sorry, I don't have any beds available in the youth hostel for tomorrow night. However, I do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel available for tomorrow night.",fullList,one-shot CoT
bookingAgency-lowClassAccommodation,"I'm sorry, I don't have any beds in the youth hostel available for tomorrow night. But I do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel you could book.",fullList,one-shot CoT
bookingAgency-lowClassAccommodation,"I'm sorry, I don't have any beds available in the youth hostel for tomorrow night. But I do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel available.",fullList,one-shot CoT
bookingAgency-lowClassAccommodation,"I'm sorry, I don't have any beds available in the youth hostel for tomorrow night. But I do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel.",fullList,one-shot CoT
bookingAgency-lowClassAccommodation,"I'm sorry, I don't have any beds available in the youth hostel for tomorrow night. However, I have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel still available.",fullList,one-shot CoT
bookingAgency-highClassAccommodation,"I'm sorry, I don't have any single rooms in a five-star hotel available for tomorrow night. But I do have a suite in a four-star hotel and an expensive apartment close to the city.",sameCategory,one-shot CoT
bookingAgency-highClassAccommodation,"I'm sorry, I don't have any single rooms in a five-star hotel available for tomorrow night. But I do have a suite in a four-star hotel and an expensive apartment close to the city.",sameCategory,one-shot CoT
bookingAgency-highClassAccommodation,"I'm sorry, I don't have any single rooms in a five-star hotel for tomorrow night. But I do have a suite in a four-star hotel available.",competitor,one-shot CoT
bookingAgency-highClassAccommodation,"I'm sorry, I don't have any single rooms in a five-star hotel available. But I do have a suite in a four-star hotel or an expensive apartment close to the city.",sameCategory,one-shot CoT
bookingAgency-highClassAccommodation,"I'm sorry, I don't have a single room in a five-star hotel available for tomorrow night. But I do have a suite in a four-star hotel, an expensive apartment close to the city and a room in a cheap bed-and-breakfast.",fullList,one-shot CoT
waterSport-motor,"I'm sorry, I don't have any jet skis. But we do have water ski equipment, rubber dinghies, and kayaks.",fullList,one-shot CoT
waterSport-motor,"I'm sorry, we don't rent jet skis. However, we do have water ski equipment, rubber dinghies, and kayaks available for rent.",fullList,one-shot CoT
waterSport-motor,"I'm sorry, I don't have any jet skis. But we do offer a wide range of water ski equipment, rubber dinghies, and kayaks.",fullList,one-shot CoT
waterSport-motor,"I'm sorry, we don't rent jet skis. But we do have water ski equipment, rubber dinghies, and kayaks available.",fullList,one-shot CoT
waterSport-muscle,"I'm sorry, I don't have any canoes available at this time. But I do have kayaks, pedal boats, and water ski equipment.",fullList,one-shot CoT
waterSport-muscle,"I'm sorry, I don't have any canoes. But I do have some kayaks.",competitor,one-shot CoT
waterSport-muscle,"I'm sorry, I don't have any canoes. But we do have kayaks and pedal boats which are similar.",sameCategory,one-shot CoT
waterSport-muscle,"I'm sorry, we don't rent canoes. However, we do offer kayaks, pedal boats, and water ski equipment that you may enjoy.",fullList,one-shot CoT
dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes.",competitor,one-shot CoT
dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes.",competitor,one-shot CoT
dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes if you're looking for something similar.",competitor,one-shot CoT
dutyFree-sweets,"I'm sorry, I don't have any cookies. But I do have some gingerbread.",competitor,one-shot CoT
dutyFree-sweets,"I'm sorry, I don't have any cookies. But I do have some gingerbread which I'm sure you'd like.",competitor,one-shot CoT
dutyFree-sweets,"I'm sorry, I don't have any cookies. But I do have some gingerbread.",competitor,one-shot CoT
clothing-clothes,"I'm sorry, I don't have any Hawaiian shirts. But I do have some shorts and sweatshirts.",sameCategory,one-shot CoT
clothing-clothes,"I'm sorry, I don't have any Hawaiian shirts. But I do have some sweatshirts and shorts.",sameCategory,one-shot CoT
clothing-clothes,"I'm sorry, I don't have any Hawaiian shirts. But I do have some shorts and sweatshirts.",sameCategory,one-shot CoT
clothing-clothes,"I'm sorry, I don't have any Hawaiian shirts. But I do have some shorts and sweatshirts.",sameCategory,one-shot CoT
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some beautiful necklaces.",competitor,one-shot CoT
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some necklaces that you might like.",competitor,one-shot CoT
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some necklaces.",competitor,one-shot CoT
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some necklaces that might work. Would you like to take a look at them?",competitor,one-shot CoT
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians at the moment. However, we have some golden retrievers, chihuahuas, and gerbils if you're interested.",fullList,one-shot CoT
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians. We have golden retrievers, chihuahuas, and gerbils all ready for adoption.",fullList,one-shot CoT
petAdoption-dogs,"I'm sorry, I don't have any Dalmatians. But we do have some golden retrievers and chihuahuas.",sameCategory,one-shot CoT
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians at the moment. But we do have some golden retrievers and chihuahuas that would make great companions!",sameCategory,one-shot CoT
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians right now. But we do have some very friendly golden retrievers, chihuahuas, and gerbils that would love to find a new home with you.",fullList,one-shot CoT
petAdoption-hamster,"I'm sorry, we don't have any hamsters. But we do have some gerbils that are looking for a good home.",competitor,one-shot CoT
petAdoption-hamster,"I'm sorry, I don't have any hamsters. But we do have some gerbils that look very similar!",competitor,one-shot CoT
petAdoption-hamster,"I'm sorry, I don't have any hamsters. But I do have some gerbils.",competitor,one-shot CoT
petAdoption-hamster,"I'm sorry, we don't have any hamsters. But we have some gerbils which are a type of small rodent, if that's of interest to you.",competitor,one-shot CoT
petAdoption-hamster,"I'm sorry, I don't have any hamsters. But I do have some gerbils that might be a good fit for you.",competitor,one-shot CoT
books-romance,"I'm sorry, I don't have any books of love poems. But I do have a selection of French love letters which might be of interest.",competitor,one-shot CoT
books-romance,I'm sorry I don't have a book of love poems. But I do have some French love letters which may be just as enjoyable to read!,competitor,one-shot CoT
books-romance,"I'm sorry, I don't have any books of love poems. But I do have some books of French love letters.",competitor,one-shot CoT
books-romance,"I'm sorry, I don't have any books of love poems. But I do have a book of French love letters.",competitor,one-shot CoT
books-romance,"I'm sorry, I don't have any books of love poems. But I do have a collection of French love letters that you might find interesting.",competitor,one-shot CoT
books-fantasy,"I'm sorry, I don't sell psychological thrillers. But I do have some mystery and adventure novels that feature suspenseful storylines.",sameCategory,one-shot CoT
books-fantasy,"I'm sorry, I don't have any psychological thrillers. But I do have some mystery novels.",competitor,one-shot CoT
books-fantasy,"I'm sorry, I don't have any psychological thrillers. But I do have some mystery novels and adventure novels which you might like.",sameCategory,one-shot CoT
books-fantasy,"I'm sorry, I don't have any psychological thrillers. But I do have some mystery novels that might be of interest to you.",competitor,one-shot CoT
books-fantasy,"I'm sorry, I don't have any psychological thrillers. But I do have some mystery novels.",competitor,one-shot CoT
electronics-laptop,"I'm sorry, I don't have a MacBook Pro. But I do have a MacBook Air.",competitor,one-shot CoT
electronics-laptop,"I'm sorry, I don't have a MacBook Pro, but I do have a MacBook Air that's just as fast. Would you like to take a look at it?",competitor,one-shot CoT
electronics-laptop,"I'm sorry, I don't have a MacBook Pro. But I do have a MacBook Air.",competitor,one-shot CoT
electronics-laptop,"I'm sorry, I don't have any MacBook Pros. But I do have a MacBook Air.",competitor,one-shot CoT
electronics-console,"I'm sorry, I don't have a PlayStation. But I do have an Xbox.",competitor,one-shot CoT
electronics-console,"I'm sorry, I don't have any PlayStation. But I do have an Xbox.",competitor,one-shot CoT
electronics-console,"I'm sorry, I don't have a PlayStation. But I do have an Xbox.",competitor,one-shot CoT
electronics-console,"I'm sorry, I don't have any PlayStation. But I do have an Xbox. Would that work for you?",competitor,one-shot CoT
electronics-console,"I'm sorry, I don't have a PlayStation. But I do have an Xbox.",competitor,one-shot CoT
gym-yoga,"I'm sorry, I don't have any yoga classes. But we do offer pilates, zumba, and kickboxing classes.",fullList,one-shot CoT
gym-yoga,"I'm sorry, I don't have any yoga classes. But we do offer Pilates and Zumba classes, which may be similar to what you are looking for.",fullList,one-shot CoT
gym-yoga,"I'm sorry, we don't provide yoga classes. However, we have pilates, zumba and kickboxing classes available.",fullList,one-shot CoT
gym-yoga,"I'm sorry, I don't offer any yoga classes. However, we do have pilates classes, zumba classes, and kickboxing.",fullList,one-shot CoT
gym-yoga,"I'm sorry, we don't offer yoga classes here at the moment. However, we do offer pilates, zumba, and kickboxing classes which all involve using yoga poses and breathing techniques. Would you like to try any of them?",fullList,one-shot CoT
gym-boxing,"I'm sorry, we don't have any boxing classes. But we do have kickboxing and karate classes that focus on self-defence and hand-eye coordination. You could also give pilates a try; it's great for flexibility and muscle toning.",competitor,one-shot CoT
gym-boxing,"I'm sorry, we don't have any boxing classes. But we do have kickboxing classes which are very similar. Would that be of any interest to you?",competitor,one-shot CoT
gym-boxing,"I'm sorry, I don't have any boxing classes. But I do have kickboxing classes which might be what you are looking for.",competitor,one-shot CoT
gym-boxing,"I'm sorry, we do not offer boxing classes here, however, we do offer kickboxing classes, karate classes and pilates classes.",fullList,one-shot CoT
gym-boxing,"I'm sorry, we don't offer any boxing classes. However, we do offer kickboxing classes. It's a great workout and fun to learn.",competitor,one-shot CoT
kidsActivities-crafts,"I'm sorry, I don't have a pottery class. But I do have a watercolor painting class and a carpentry workshop.",sameCategory,one-shot CoT
kidsActivities-crafts,"I'm sorry, I don't have any pottery class. But I do have the watercolor painting class, the carpentry workshop, and the acrobatics class.",fullList,one-shot CoT
kidsActivities-crafts,"I'm sorry, I don't have any pottery class. But I do have a watercolor painting class that you might enjoy.",competitor,one-shot CoT
kidsActivities-crafts,"I'm sorry, I don't have a pottery class. But I do have a watercolor painting class and a carpentry workshop.",sameCategory,one-shot CoT
kidsActivities-crafts,"I'm sorry, I don't have a pottery class. But I do have a watercolor painting class and a carpentry workshop.",sameCategory,one-shot CoT
kidsActivities-sports,"I'm sorry, I don't have a gymnastics class. But I do have an acrobatics class that you may be interested in.",competitor,one-shot CoT
kidsActivities-sports,"I'm sorry, I don't have a gymnastics class. But I do have an acrobatics class.",competitor,one-shot CoT
kidsActivities-sports,"I'm sorry, I don't have a gymnastics class. But I do have an acrobatics class.",competitor,one-shot CoT
kidsActivities-sports,"I'm sorry, I don't have a gymnastics class. But I do have an acrobatics class.",competitor,one-shot CoT
kidsActivities-sports,"I'm sorry, I don't have any gymnastics class. But I do have an acrobatics class which is very similar. Would you like to sign up for it?",competitor,one-shot CoT
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers if you like those.",sameCategory,one-shot CoT
