itemName,predictions,probs,category,response_option,prompt,settingName,context_nr
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",-0.0482253160165,mostSimilar,hand brush,one-shot CoT,broom,context1
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",-0.0482253160165,mostSimilar,hand brush,one-shot CoT,broom,context1
broom-renovation,"No, I donbytes:\xe2\x80bytes:\x99t have a broom, but I can lend you my hand brush.",-0.432988532054765,mostSimilar,hand brush,one-shot CoT,broom,context1
broom-renovation,"No, I don't have a broom, but you can use the vacuum cleaner.",-0.2990173427315,competitor,vacuum,one-shot CoT,broom,context1
broom-snow,"No, I don't have a broom, but you can have the shovel.",-0.110689344260625,competitor,shovel,one-shot CoT,broom,context2
broom-snow,"No, I don't have a broom, but you can have the hand brush.",-0.271218817039412,mostSimilar,hand brush,one-shot CoT,broom,context2
broom-snow,"No, I don't have a broom, but you can have the shovel.",-0.0586457202819474,competitor,shovel,one-shot CoT,broom,context2
broom-snow,"No, I don't have a broom, but you can have the shovel.",-0.170964491785294,competitor,shovel,one-shot CoT,broom,context2
broom-snow,"No, I don't have a broom, but you can have the shovel.",-0.129195271762611,competitor,shovel,one-shot CoT,broom,context2
sweatpants-sleepover,"No, i don't have sweatpants but you can have the leggings.",-0.754166077283333,mostSimilar,leggings,one-shot CoT,sweatpants,context1
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pyjamas.",-0.221193167242222,competitor,pyjamas,one-shot CoT,sweatpants,context1
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pyjamas.",-0.116975499725238,competitor,pyjamas,one-shot CoT,sweatpants,context1
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pair of leggings.",-0.183887910515652,mostSimilar,leggings,one-shot CoT,sweatpants,context1
sweatpants-spill,"No, I don't have sweatpants, but you can borrow a pair of shorts.",-0.246712652235,competitor,shorts,one-shot CoT,sweatpants,context2
sweatpants-spill,"No, I don't have spare sweatpants, but you can have the shorts.",-0.205903491841176,competitor,shorts,one-shot CoT,sweatpants,context2
sweatpants-spill,"No, I don't have spare sweatpants, but you can have the shorts.",-0.2054516349,competitor,shorts,one-shot CoT,sweatpants,context2
sweatpants-spill,"No, I don't have sweatpants but you are welcome to wear the shorts or leggings.",-0.699004715669048,sameCategory,"shorts, leggings",one-shot CoT,sweatpants,context2
sweatpants-spill,"No, I don't have spare sweatpants, but you can have the shorts, leggings, pyjamas, or even a towel if you want.",-0.556178152618722,fullList,"shorts, leggings, towel, pyjamas",one-shot CoT,sweatpants,context2
umbrella-summer,"No, I don't have an umbrella but you can have the tent.",-0.429973517506933,otherCategory,tent,one-shot CoT,umbrella,context1
umbrella-summer,"No, I don't have an umbrella, but you can have the rain jacket.",-0.273045404206706,sameCategory,rain jacket,one-shot CoT,umbrella,context1
umbrella-summer,"No, I don't have an umbrella, but you can use the tent to give yourself some shade.",-0.384657633014952,otherCategory,tent,one-shot CoT,umbrella,context1
umbrella-summer,"No, I don't have an umbrella, but you can use this bike cover to shade yourself if you want.",-0.634328124140609,mostSimilar,bike cover,one-shot CoT,umbrella,context1
umbrella-summer,"No, I don't have an umbrella, but you can use the plastic bike cover to block the sunlight.",-0.5036486206902,mostSimilar,bike cover,one-shot CoT,umbrella,context1
umbrella-rain,"No, I don't have an umbrella, but you can have the rain jacket.",-0.0823118220835294,competitor,rain jacket,one-shot CoT,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but you can borrow the rain jacket or the bike cover to help keep you dry.",-0.416861754141862,sameCategory,"bike cover, rain jacket",one-shot CoT,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but you can have the rain jacket.",-0.0823118220835294,competitor,rain jacket,one-shot CoT,umbrella,context2
umbrella-rain,"No, I don't have an umbrella but you can use the bike cover.",-0.467478225780625,mostSimilar,bike cover,one-shot CoT,umbrella,context2
umbrella-rain,"No, I don't have an umbrella but you can have the rain jacket.",-0.2656895777825,competitor,rain jacket,one-shot CoT,umbrella,context2
postit-board,"No, I don't have post-its, but you can have the sticky bookmarks.",-0.101871379547368,sameCategory,bookmarks,one-shot CoT,postit,context1
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks.",-0.234862418015714,sameCategory,bookmarks,one-shot CoT,postit,context1
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks.",-0.114593218792,sameCategory,bookmarks,one-shot CoT,postit,context1
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks.",-0.114593218792,sameCategory,bookmarks,one-shot CoT,postit,context1
postit-board,"No, I don't have post-its, but you can have the sticky bookmarks.",-0.102620414840526,sameCategory,bookmarks,one-shot CoT,postit,context1
postit-reading,"No, I don't have post-its, but you could have the sticky bookmarks or the notebook.",-0.550610473412273,sameCategory,"bookmarks, notebook",one-shot CoT,postit,context2
postit-reading,"No, I don't have post-its, but you can have the sticky bookmarks.",-0.0938239379105263,competitor,bookmarks,one-shot CoT,postit,context2
postit-reading,"No, I don't have post-its, but you can have the sticky bookmarks.",-0.0938239379105263,competitor,bookmarks,one-shot CoT,postit,context2
postit-reading,"No, I don't have post-its, but you can use the sticky bookmarks.",-0.0925431716473684,competitor,bookmarks,one-shot CoT,postit,context2
postit-reading,"No, I don't have any post-its, but you can use the sticky bookmarks and take notes on the notebook.",-0.421350383057692,sameCategory,"bookmarks, notebook",one-shot CoT,postit,context2
pot-garden,"No, I don't have any pots, but you can have one of the cans if you want.",-0.51869782857619,competitor,cans,one-shot CoT,pot,context1
pot-garden,"No, I don't have a pot, but you can have a camping cookware to repot your plants.",-0.515070285711739,mostSimilar,camping cookware,one-shot CoT,pot,context1
pot-garden,"No, I don't have a pot, but you can have an old can.",-0.239184787957059,competitor,cans,one-shot CoT,pot,context1
pot-garden,"No, I don't have a pot, but you can use the cans.",-0.255081250673125,competitor,cans,one-shot CoT,pot,context1
pot-garden,"No, I don't have a pot, but you can have a ceramic plate.",-0.228469685951176,otherCategory,ceramic plates,one-shot CoT,pot,context1
pot-jam,"No, I do not have a pot, but you can use the camping cookware.",-0.460123766947778,mostSimilar,camping cookware,one-shot CoT,pot,context2
pot-jam,"No, I don't have a pot, but you can have any of the pans.",-0.360183151155,competitor,pans,one-shot CoT,pot,context2
pot-jam,"No, I don't have a pot, but you can have one of the pans.",-0.153757212230556,competitor,pans,one-shot CoT,pot,context2
pot-jam,"No, I don't have a pot, but you can use one of my pans.",-0.243329886240333,competitor,pans,one-shot CoT,pot,context2
pot-jam,"No, I don't have any pots but you can use the pans to cook the apples.",-0.579411976200526,competitor,pans,one-shot CoT,pot,context2
towel-hair,"No, I don't have a towel, but you can use the paper towels to dry your hair.",-0.248004962409524,mostSimilar,paper towels,one-shot CoT,towel,context1
towel-hair,"No, I don't have a spare towel, but you can use the paper towels, and the hair dryer if you need it.",-0.468058373168929,sameCategory,"paper towels, hairdryer",one-shot CoT,towel,context1
towel-hair,"No, I don't have a towel, but you can use the paper towels and the hair dryer.",-0.153384724168182,sameCategory,"paper towels, hairdryer",one-shot CoT,towel,context1
towel-hair,"No, I don't have a spare towel, but you can use the paper towels and the hair dryer to dry your hair.",-0.134845522473704,sameCategory,"paper towels, hairdryer",one-shot CoT,towel,context1
towel-hair,"No, I don't have a spare towel, but you can have the hair dryer and paper towels. I will also head to the basement and grab a dryer, and you can use the blanket to dry your hair as well.",-0.724332508227549,fullList,"paper towels, hairdryer, dryer, blanket",one-shot CoT,towel,context1
towel-clothes,"No, I don't have a towel, but you can use the paper towels and I can also run the dryer in the basement for you.",-0.567463225487667,sameCategory,"paper towels, dryer",one-shot CoT,towel,context2
towel-clothes,"No, I don't have a towel, but you can use the paper towels, the hair dryer and the blanket to dry your costumes.",-0.309429223177688,other,"paper towels, hairdryer, blanket",one-shot CoT,towel,context2
towel-clothes,"No, I don't have a towel, but you can have the blanket to dry off your costumes.",-0.438759780208571,otherCategory,blanket,one-shot CoT,towel,context2
towel-clothes,"No, I don't have a spare towel, but you can dry the costumes using the paper towels, the hair dryer, or the blanket.",-0.657077864974333,other,"paper towels, hairdryer, blanket",one-shot CoT,towel,context2
towel-clothes,"No, I don't have a towel, but why don't we try to dry your costumes with the paper towels, the hair dryer and the blanket?",-0.5902657832575,other,"paper towels, hairdryer, blanket",one-shot CoT,towel,context2
candy-halloween,"No, we don't have candy, but you can take some of the trail mix packages and the big chocolate bar.",-0.458743219983852,sameCategory,"trailmix, chocolate",one-shot CoT,candy,context1
candy-halloween,"No, we don't have any candy, but we have some trail mix packages, a big chocolate bar, ice cream, and soda if they'd like something else.",-0.237036467167324,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1
candy-halloween,"No, we don't have any candy, but I can offer them some trail mix packages, a big chocolate bar, ice cream, and soda.",-0.231852300388515,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1
candy-halloween,"No, we don't have any candy, but we have some trail mix packages, a big chocolate bar, some ice cream and soda if they would like that.",-0.420612873013457,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1
candy-halloween,"No, we don't have any candy, but you can have a trail mix package, a chocolate bar, some ice cream, and a soda.",-0.273897538763667,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context1
candy-dessert,"No, we don't have any candy, but we've got ice cream, a big chocolate bar and little trail mix packages. Would you like any of those?",-0.470858468895657,sameCategory,"trailmix, chocolate, ice cream",one-shot CoT,candy,context2
candy-dessert,"No, we don't have any candy, but we do have some ice cream, a large chocolate bar, little trail mix bags and soda.",-0.539209296663387,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2
candy-dessert,"No, we don't have any candy, but you can have a scoop of ice cream, a big chocolate bar, some trail mix packages, or a soda.",-0.339163432067714,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2
candy-dessert,"No, we don't have any candy, but we do have some ice cream, a big chocolate bar, trail mix packages and soda.",-0.267098467938,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2
candy-dessert,"No, we don't have any candy, but I could offer you some ice cream, a chocolate bar, or maybe a handful of trail mix. We also have some soda if you'd like.",-0.729476391887535,fullList,"trailmix, chocolate, ice cream, soda",one-shot CoT,candy,context2
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",-0.0409627050323529,competitor,watering can,one-shot CoT,bottle,context1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",-0.11468628601885,competitor,watering can,one-shot CoT,bottle,context1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",-0.0409627050323529,competitor,watering can,one-shot CoT,bottle,context1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",-0.0409627050323529,competitor,watering can,one-shot CoT,bottle,context1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",-0.0409627050323529,competitor,watering can,one-shot CoT,bottle,context1
bottle-water,"No, I don't have a bottle, but you can have the to-go mug.",-0.0539659583914737,competitor,mug,one-shot CoT,bottle,context2
bottle-water,"No, I don't have a bottle, but you can have the to-go mug.",-0.0539659583914737,competitor,mug,one-shot CoT,bottle,context2
bottle-water,"No, I don't have a bottle, but you can have the to-go mug.",-0.0958338650268636,competitor,mug,one-shot CoT,bottle,context2
blanket-sleepover,"I'm sorry, I don't have a spare blanket, but you're welcome to borrow my sleeping bag or pillow if you'd like. I also have a carpet you can use if that would be of help.",-0.591504975382,other,"sleeping bag, bubble wrap, pillow",one-shot Explanation,blanket,context1
blanket-sleepover,"I'm sorry, I don't have a blanket, but I can lend you a sleeping bag and a pillow if you need them. The bubble wrap might also be useful for making a makeshift mattress or for places where the sleeping bag does not reach. If you want to make it extra comfortable, the carpet",-1.10815930362141,fullList,"sleeping bag, carpet, bubble wrap, pillow",one-shot Explanation,blanket,context1
blanket-sleepover,"Yes, I can lend you something to keep warm. The sleeping bag should be really useful to keep you warm during the sleepover.",-1.21901568176333,competitor,sleeping bag,one-shot Explanation,blanket,context1
blanket-sleepover,"Unfortunately, I donbytes:\xe2\x80bytes:\x99t have a spare blanket, but I do have a sleeping bag and a pillow that you can borrow if it would help.",-0.557326967359516,sameCategory,"sleeping bag, pillow",one-shot Explanation,blanket,context1
blanket-sleepover,"Ibytes:\xe2\x80bytes:\x99m sorry I donbytes:\xe2\x80bytes:\x99t have a spare blanket, but I do have a sleeping bag that you can use. It normally serves as a mattress but it should do great as a blanket as well!",-1.02381399723451,competitor,sleeping bag,one-shot Explanation,blanket,context1
blanket-transportation,"I don't have a blanket, but I could offer you the sleeping bag to help you wrap the mirror for transportation. It should protect the mirror from getting damaged.",-0.954047725257576,sameCategory,sleeping bag,one-shot Explanation,blanket,context2
blanket-transportation,The best option for the mirror would be to use the bubble wrap to protect it during the move.,-0.886124047285,competitor,bubble wrap,one-shot Explanation,blanket,context2
blanket-transportation,"I donbytes:\xe2\x80bytes:\x99t have a spare blanket, but I do have some bubble wrap that might work. It would ensure that the mirror is safe and secure during its transportation.",-0.978134310434343,competitor,bubble wrap,one-shot Explanation,blanket,context2
blanket-transportation,"I don't have a spare blanket, but if you need something to protect the mirror while you're packing, I have some bubble wrap that might work.",-0.741878117620323,competitor,bubble wrap,one-shot Explanation,blanket,context2
blanket-transportation,"""I don't have a blanket, but you can use the pillow and a carpet to cushion the mirror. Then use the bubble wrap to keep it secure.""",-1.07841605540625,other,"carpet, bubble wrap, pillow",one-shot Explanation,blanket,context2
box-muffins,"I donbytes:\xe2\x80bytes:\x99t have a box, but I do have the cake container, the carton, the zipper bag and the tote bag. I'm sure one of those will be suitable for what you need.",-0.762426341830348,fullList,"cake container, ziplock, tote, carton",one-shot Explanation,box,context1
box-muffins,"Yes, I have some options. The best one for carrying pastries would be the cake container.",-0.7824316375265,competitor,cake container,one-shot Explanation,box,context1
box-muffins,"While I don't have a box, I do have a cake container, a carton, a ziplock bag, and a tote bag that you could use to carry the muffins and cookies.",-0.391741411312029,fullList,"cake container, ziplock, tote, carton",one-shot Explanation,box,context1
box-muffins,Yes! The most useful item for transporting the pastries would be the cake container.,-0.830026167337059,competitor,cake container,one-shot Explanation,box,context1
box-muffins,"I don't have a box, but I do have a cake container that can hold quite a few of the pastries. Would you like to use that instead?",-0.639003339631818,competitor,cake container,one-shot Explanation,box,context1
box-bbq,"Yes, I do have something you can use! The tote bag should do the job for you. It should be able to fit most of the food you want to take home.",-0.857697928130769,otherCategory,tote,one-shot Explanation,box,context2
box-bbq,"Yes! We have several options! The most useful object from the list of available items here is the carton, as it is the most suitable for transporting food.",-0.899411062530606,mostSimilar,carton,one-shot Explanation,box,context2
box-bbq,"I don't have a box, but I have a tote bag which should do the trick.",-0.643918438309547,otherCategory,tote,one-shot Explanation,box,context2
box-bbq,Yes! I have a carton which would be the most practical item for storing leftovers.,-1.2306668005238799,mostSimilar,carton,one-shot Explanation,box,context2
box-bbq,"Yes, I have a container for you. The practical goal of the questioner is to take food home. For this purpose, the most useful object from the list is the tote bag.",-0.61973353074261,otherCategory,tote,one-shot Explanation,box,context2
sugar-coffee,"I'm sorry, I don't have sugar, but I do have sweetener tablets, honey, agave syrup and salt that you can use in your coffee.",-0.606169861851214,fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context1
sugar-baking,"I don't have any sugar, but I do have agave syrup, honey, sweetener tablets, and salt. That might work for your recipe.",-0.52907195623,fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2
sugar-baking,"I'm sorry, I don't have any sugar, but I do have some agave syrup, honey, sweetener tablets and salt which could work for your baking needs.",-0.411112635500668,fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2
sugar-baking,"Unfortunately, I do not have any sugar, but I do have agave syrup, honey, sweetener tablets and salt that might work in your recipe.",-0.48149192754734493,fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2
sugar-baking,"No, I donbytes:\xe2\x80bytes:\x99t have sugar, but I can offer you some agave syrup, honey, sweetener tablets, or salt. Would any of those work as a substitute?",-0.418602848911293,fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2
sugar-baking,"""I'm sorry, I don't have any sugar, but I do have some agave syrup, honey, sweetener tablets, and salt that might help.""",-0.344241408000658,fullList,"sweetener, honey, syrup, salt",one-shot Explanation,sugar,context2
handkerchief-injury,"Yes, I do have something that could help. I have some band aids, paper napkins and wet wipes in my backpack. Would any of those suffice?",-0.645416914620281,sameCategory,"band aids, napkins, wet wipes",one-shot Explanation,handkerchief,context1
handkerchief-injury,"I'm sorry, but I don't have a handkerchief. However, I have some band aids, paper napkins, some wet wipes, and a phone I can call someone to help you.",-0.716302850735829,fullList,"band aids, napkins, wet wipes, cell",one-shot Explanation,handkerchief,context1
handkerchief-injury,"I don't have a handkerchief, but I do have some band aids and wet wipes. Let me help you clean up the knee.",-0.645828475321548,sameCategory,"band aids, wet wipes",one-shot Explanation,handkerchief,context1
handkerchief-injury,"I'm sorry, I don't have a handkerchief, but I do have some band aids, paper napkins, wet wipes, and a cell phone I can lend you. Will any of those work?",-0.303557191700326,fullList,"band aids, napkins, wet wipes, cell",one-shot Explanation,handkerchief,context1
handkerchief-injury,"Yes, I certainly do. I have some band-aids that might help with the scraped knee. Would those be helpful?",-0.9134600180171,competitor,band aids,one-shot Explanation,handkerchief,context1
handkerchief-sauce,"I don't have a handkerchief, but I do have some wet wipes that should help get the sauce off your sweater.",-0.398722719146692,competitor,wet wipes,one-shot Explanation,handkerchief,context2
handkerchief-sauce,"""I don't have a handkerchief, but I do have some wet wipes and paper napkins. Would those be helpful?""",-0.523718956060704,sameCategory,"wet wipes, napkins",one-shot Explanation,handkerchief,context2
handkerchief-sauce,"I'm sorry I don't have a handkerchief, but here are some wet wipes that may help with cleaning the stain.",-0.707956776953023,competitor,wet wipes,one-shot Explanation,handkerchief,context2
handkerchief-sauce,"I'm sorry I don't have a handkerchief. However, I do have wet wipes that might help.",-0.734439683612983,competitor,wet wipes,one-shot Explanation,handkerchief,context2
handkerchief-sauce,"I don't have a handkerchief, but I do have some wet wipes. Would like to use those to clean your sweater?",-0.639246577277133,competitor,wet wipes,one-shot Explanation,handkerchief,context2
broom-renovation,"I don't have a broom, but I do have a vacuum cleaner, a hand brush, a shovel, and a lamp. Would any of them help with your clean up?",-0.47849870534859,fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1
broom-renovation,"""Unfortunately, I don't have a broom, but I do have a vacuum cleaner and a hand brush, which might do the trick. I also have a shovel and a lamp if they would be of any help to you.""",-0.593428514876531,fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1
broom-renovation,"Yes, I don't have a broom but I do have a vacuum cleaner and a hand brush that you can borrow. I also have a shovel and a lamp if you need those.",-0.4294618466365,fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1
broom-renovation,"I do not have a broom, but I have a vacuum cleaner, a hand brush, a shovel, and a lamp if any of thosewould be of assistance.",-0.845171180496389,fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1
broom-renovation,"No, I'm sorry, but I do not have a broom. However, I do have a vacuum cleaner, a hand brush, a shovel, and a lamp. Would any of those items be of any use?",-0.446009021031064,fullList,"hand brush, shovel, lamp, vacuum",one-shot Explanation,broom,context1
broom-snow,"No, I don't have a broom, but I have a shovel and a hand brush. I'm sure either of those would be useful for clearing the driveway.",-0.521448011908,sameCategory,"hand brush, shovel",one-shot Explanation,broom,context2
broom-snow,"No, unfortunately I do not have a broom, but I can lend you my shovel to help you clear the driveway. It's not the same, but it might be useful. If you would like, I could also help you clean afterwards with the hand brush or vacuum.",-1.07741705424976,sameCategory,"hand brush, shovel, vacuum",one-shot Explanation,broom,context2
broom-snow,"No, I don't have a broom, but I do have a shovel you can use. It will be much faster than a hand brush, and should be perfect for clearing the snow.",-0.767584063511463,competitor,shovel,one-shot Explanation,broom,context2
broom-snow,"I'm sorry I don't have a broom, but I have a shovel and a hand brush which could help with the driveway. The vacuum cleaner and the lamp are not much use in this situation, but if you can think of a way to use them to help with the driveway, I'd be happy to",-0.761179168087719,sameCategory,"hand brush, shovel",one-shot Explanation,broom,context2
broom-snow,"I'm sorry, I don't have a broom, but I do have a shovel that can be used to shift the snow. Alternatively, you can try using the hand brush to sweep away the snow, or you can use the vacuum cleaner to suck up the snow. If you need any light while doing",-0.605844025838906,sameCategory,"hand brush, shovel, vacuum",one-shot Explanation,broom,context2
sweatpants-sleepover,The best option from what I have would be the pyjamas. Would you like to borrow those?,-1.31853131436565,competitor,pyjamas,one-shot Explanation,sweatpants,context1
sweatpants-sleepover,"Yes, I don't have sweatpants, but I do have some pyjamas. They may be too long for you, but leggings or some shorts could work too. Or you could use one of the towels if you don't mind.",-0.884597432038889,fullList,"pyjamas, leggings, shorts, towel",one-shot Explanation,sweatpants,context1
sweatpants-sleepover,"Yes, I do have some items that you can use. I have a pair of pyjamas, leggings, shorts, and towels you could borrow. Does any of those work for you?",-0.700274609868293,fullList,"pyjamas, leggings, shorts, towel",one-shot Explanation,sweatpants,context1
sweatpants-sleepover,"Sorry, I don't have sweatpants, but I do have pyjamas and leggings if that can help.",-0.7737859353388,sameCategory,"pyjamas, leggings",one-shot Explanation,sweatpants,context1
sweatpants-sleepover,"I'm sorry, I don't have spare sweatpants. However, you're more than welcome to use the leggings or pyjama trousers and a towel. That should do the trick.",-1.0256714501965,other,"pyjamas, leggings, towel",one-shot Explanation,sweatpants,context1
sweatpants-spill,The most practical item from what I have that could help you out is the pair of leggings.,-0.755869666158571,mostSimilar,leggings,one-shot Explanation,sweatpants,context2
sweatpants-spill,"I don't have any sweatpants, but my closet holds all the materials you need to quickly put together a pair of shorts that you can wear!",-1.77301857804667,competitor,shorts,one-shot Explanation,sweatpants,context2
sweatpants-spill,"I do not have spare sweatpants, but you could use a pair of shorts or leggings if you want since it is quite warm outside. That might be a more comfortable option.",-0.986153011577895,sameCategory,"shorts, leggings",one-shot Explanation,sweatpants,context2
sweatpants-spill,"""I apologize, I don't have any sweatpants but the towels or the leggings might provide some temporary relief from the heat. I could also give you a pair of shorts.""",-1.26797971903368,other,"leggings, shorts, towel",one-shot Explanation,sweatpants,context2
sweatpants-spill,"I'm sorry I don't have spare sweatpants, but I can lend you a pair of shorts or leggings to take the place of sweatpants? That should do the job.",-1.03803297135763,sameCategory,"shorts, leggings",one-shot Explanation,sweatpants,context2
