,itemName,settingName,context,taciturn,competitor,sameCategory,otherCategory,fullList
10,dutyFree-smokes,dutyFree,"You are a flight attendant on an old-fashioned international flight. You are selling duty-free items to passengers. You currently have the following items on offer:cigarettes, gin, and gingerbread. As you walk by, a passenger asks: Do you sell cigars? You reply:","I'm sorry, we don't have cigars.","I'm sorry, we don't have cigars. We have cigarettes.","I'm sorry, we don't have cigars. We have cigarettes and gin.","I'm sorry, we don't have cigars. We have gingerbread.","I'm sorry, we don't have cigars. We have gingerbread, cigarettes, gin."
11,dutyFree-sweets,dutyFree,"You are a flight attendant on an old-fashioned international flight. You are selling duty free items to passengers. You currently have the following items on offer: gingerbread, granola bars, and cigarettes. As you walk by, a passenger asks: Do you sell cookies? You reply:","I'm sorry, we don't have cookies.","I'm sorry, we don't have cookies. We have gingerbread.","I'm sorry, we don't have cookies. We have gingerbread and granola bars.","I'm sorry, we don't have cookies. We have cigarettes.","I'm sorry, we don't have cookies. We have gingerbread, cigarettes, granola bars."
12,clothing-clothes,clothing,"You work at a small designer clothing store. You currently have the following items in stock: shorts, sweatshirts, and necklaces. A customer comes in and asks: Do you have any Hawaiian shirts? You reply:","I'm sorry, we don't have Hawaiian shirts.","I'm sorry, we don't have Hawaiian shirts. We have shorts.","I'm sorry, we don't have Hawaiian shirts. We have shorts and sweatshirts.","I'm sorry, we don't have Hawaiian shirts. We have necklaces.","I'm sorry, we don't have Hawaiian shirts. We have shorts, sweatshirts, necklaces."
13,clothing-acc,clothing,"You work at a small designer clothing store. You currently have the following items in stock: necklaces, sunglasses, and shorts. A customer comes in and asks: Do you have any earrings? You reply:","I'm sorry, we don't have earrings.","I'm sorry, we don't have earrings. We have necklaces.","I'm sorry, we don't have earrings. We have necklaces and sunglasses.","I'm sorry, we don't have earrings. We have shorts.","I'm sorry, we don't have earrings. We have necklaces, shorts, sunglasses."
14,petAdoption-dogs,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center:golden retrievers, chihuahuas, and gerbils. A family comes in and asks: Do you have any Dalmatians? You reply:","I'm sorry, we don't have dalmatians.","I'm sorry, we don't have dalmatians. We have golden retrievers.","I'm sorry, we don't have dalmatians. We have golden retrievers and chihuahuas.","I'm sorry, we don't have dalmatians. We have gerbils.","I'm sorry, we don't have dalmatians. We have gerbils, golden retrievers, chihuahuas."
15,petAdoption-hamster,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center:gerbils, ferrets, and golden retrievers. A family comes in and asks: Do you have any hamsters? You reply:","I'm sorry, we don't have hamsters.","I'm sorry, we don't have hamsters. We have gerbils.","I'm sorry, we don't have hamsters. We have gerbils and ferrets.","I'm sorry, we don't have hamsters. We have golden retrievers.","I'm sorry, we don't have hamsters. We have ferrets, gerbils, golden retrievers."
16,books-romance,books,"You work at a bookshop in a small town. You currently havebooks of French love letters, historical dramas, and mystery novels. A student walks in and asks: Do you have a book of love poems? You reply:","I'm sorry, we don't have love poems.","I'm sorry, we don't have love poems. We have books of French love letters.","I'm sorry, we don't have love poems. We have books of French love letters and historical dramas.","I'm sorry, we don't have love poems. We have mystery novels.","I'm sorry, we don't have love poems. We have books of French love letters, historical dramas, mystery novels."
17,books-fantasy,books,"You work at a bookshop in a small town. You currently havemystery novels, adventure novels, and books of French love letters. A student walks in and asks: Do you sell psychological thrillers? You reply:","I'm sorry, we don't have psychological thrillers.","I'm sorry, we don't have psychological thrillers. We have mystery novels.","I'm sorry, we don't have psychological thrillers. We have mystery novels and adventure novels.","I'm sorry, we don't have psychological thrillers. We have books of French love letters.","I'm sorry, we don't have psychological thrillers. We have books of French love letters, mystery novels, adventure novels."
18,electronics-laptop,electronics,"You work at a second hand electronics store. You currently havea MacBook Air, a desktop computer, and an Xbox. A young man walks in and asks: Do you have a MacBook Pro? You reply:","I'm sorry, we don't have a MacBook Pro.","I'm sorry, we don't have a MacBook Pro. We have a MacBook Air.","I'm sorry, we don't have a MacBook Pro. We have a MacBook Air and a desktop computer.","I'm sorry, we don't have a MacBook Pro. We have an Xbox.","I'm sorry, we don't have a MacBook Pro. We have an Xbox, a desktop computer, a MacBook Air."
19,electronics-console,electronics,"You work at a second hand electronics store. There are currentlyan Xbox, a Gameboy, and a MacBook Air. A young man walks in and asks: Do you have a PlayStation? You reply:","I'm sorry, we don't have a PlayStation.","I'm sorry, we don't have a PlayStation. We have an Xbox.","I'm sorry, we don't have a PlayStation. We have an Xbox and a Gameboy.","I'm sorry, we don't have a PlayStation. We have a MacBook Air.","I'm sorry, we don't have a PlayStation. We have a MacBook Air, an Xbox, a Gameboy."
20,gym-yoga,gymActivities,"You work at the reception desk of a gym. The gym currently offersa pilates class, zumba classes, and kickboxing. A woman walks in and asks: Do you offer yoga classes? You reply:","I'm sorry, we don't have yoga classes.","I'm sorry, we don't have yoga classes. We have a pilates class.","I'm sorry, we don't have yoga classes. We have a pilates class and zumba classes.","I'm sorry, we don't have yoga classes. We have kickboxing.","I'm sorry, we don't have yoga classes. We have a pilates class, zumba classes, kickboxing."
21,gym-boxing,gymActivities,"You work at the reception desk of a gym. The gym currently offerskickboxing classes, karate classes, and pilates. A young guy walks in and asks: Do you offer boxing classes? You reply:","I'm sorry, we don't have boxing classes.","I'm sorry, we don't have boxing classes. We have kickboxing classes.","I'm sorry, we don't have boxing classes. We have kickboxing classes and karate classes.","I'm sorry, we don't have boxing classes. We have pilates.","I'm sorry, we don't have boxing classes. We have pilates, karate classes, kickboxing classes."
22,kidsActivities-crafts,kidsActivities,"You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers a watercolor painting class, a carpentry workshop, and an acrobatics class. A kid walks up to you and asks: Is there a pottery class? You reply:","I'm sorry, we don't have a pottery class.","I'm sorry, we don't have a pottery class. We have a watercolor painting class.","I'm sorry, we don't have a pottery class. We have a watercolor painting class and a carpentry workshop.","I'm sorry, we don't have a pottery class. We have an acrobatics class.","I'm sorry, we don't have a pottery class. We have an acrobatics class, a watercolor painting class, a carpentry workshop."
23,kidsActivities-sports,kidsActivities,"You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers an acrobatics class, a karate class, and a watercolor painting class. A kid walks up to you and asks: Is there a gymnastics class? You reply:","I'm sorry, we don't have a gymnastics class.","I'm sorry, we don't have a gymnastics class. We have an acrobatics class.","I'm sorry, we don't have a gymnastics class. We have an acrobatics class and a karate class.","I'm sorry, we don't have a gymnastics class. We have a watercolor painting class.","I'm sorry, we don't have a gymnastics class. We have an acrobatics class, a watercolor painting class, a karate class."
24,friendsActivities-boardGames,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you preparedMonopoly, checkers, and some movies. Your friends arrive and ask you: Do you have Scrabble? You reply:","I'm sorry, we don't have Scrabble.","I'm sorry, we don't have Scrabble. We have Monopoly.","I'm sorry, we don't have Scrabble. We have Monopoly and checkers.","I'm sorry, we don't have Scrabble. We have some movies.","I'm sorry, we don't have Scrabble. We have some movies, Monopoly, checkers."
25,friendsActivities-videoEntertainment,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you preparedsome movies, Xbox games, and Monopoly. Your friends arrive and ask you: Do you have Netflix? You reply:","I'm sorry, we don't have Netflix.","I'm sorry, we don't have Netflix. We have some movies.","I'm sorry, we don't have Netflix. We have some movies and Xbox games.","I'm sorry, we don't have Netflix. We have Monopoly.","I'm sorry, we don't have Netflix. We have some movies, Xbox games, Monopoly."
26,interior-green,interior,"You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have an agave plant, tulips, and an oil painting. A friend just moved and wants to get something to decorate her new apartment. She visits you and asks: Do you have an aloe vera plant? You reply:","I'm sorry, we don't have an aloe vera plant.","I'm sorry, we don't have an aloe vera plant. We have an agave plant.","I'm sorry, we don't have an aloe vera plant. We have an agave plant and tulips.","I'm sorry, we don't have an aloe vera plant. We have an oil painting.","I'm sorry, we don't have an aloe vera plant. We have an agave plant, tulips, an oil painting."
27,interior-deco,interior,"You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have an oil painting, some printed photographs, and an agave plant. A friend just moved and wants to get something to decorate her new apartment. She visits you and asks: Do you have watercolour paintings? You reply:","I'm sorry, we don't have watercolor paintings.","I'm sorry, we don't have watercolor paintings. We have an oil painting.","I'm sorry, we don't have watercolor paintings. We have an oil painting and some printed photographs.","I'm sorry, we don't have watercolor paintings. We have an agave plant.","I'm sorry, we don't have watercolor paintings. We have an agave plant, an oil painting, some printed photographs."
28,zoo-xl,zoo,"You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there isa lion, a giraffe, and iguanas. Your eight-year-old is impatient and asks: Can we see the tiger? You reply:","I'm sorry, we don't have a tiger.","I'm sorry, we don't have a tiger. We have a lion.","I'm sorry, we don't have a tiger. We have a lion and a giraffe.","I'm sorry, we don't have a tiger. We have iguanas.","I'm sorry, we don't have a tiger. We have a lion, iguanas, a giraffe."
29,zoo-reptiles,zoo,"You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there isiguanas, turtles, and a lion. Your eight-year-old is impatient and asks: Can we see the chameleon? You reply:","I'm sorry, we don't have a chameleon.","I'm sorry, we don't have a chameleon. We have iguanas.","I'm sorry, we don't have a chameleon. We have iguanas and turtles.","I'm sorry, we don't have a chameleon. We have a lion.","I'm sorry, we don't have a chameleon. We have a lion, iguanas, turtles."
