,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5
10,dutyFree-smokes,dutyFree,"You are a flight attendant on an old-fashioned international flight. You are selling duty-free items to passengers. You currently have the following items on offer: cigarettes, gin, and gingerbread. As you walk by, a passenger asks: Do you sell cigars? You reply:","You are a flight attendant on an old-fashioned international flight. You are selling duty-free items to passengers. You currently have the following items on offer: cigarettes, gin, and gingerbread. As you walk by, a passenger asks:",Do you sell cigars?,"I'm sorry, we don't have cigars.","I'm sorry, we don't have cigars. We have cigarettes.","I'm sorry, we don't have cigars. We have cigarettes and gin.","I'm sorry, we don't have cigars. We have gin.","I'm sorry, we don't have cigars. We have gin and cigarettes.","I'm sorry, we don't have cigars. We have gingerbread.","I'm sorry, we don't have cigars. We have cigarettes, gin, and gingerbread.","I'm sorry, we don't have cigars. We have cigarettes, gingerbread, and gin.","I'm sorry, we don't have cigars. We have gin, cigarettes, and gingerbread.","I'm sorry, we don't have cigars. We have gin, gingerbread, and cigarettes.","I'm sorry, we don't have cigars. We have gingerbread, cigarettes, and gin.","I'm sorry, we don't have cigars. We have gingerbread, gin, and cigarettes."
11,dutyFree-sweets,dutyFree,"You are a flight attendant on an old-fashioned international flight. You are selling duty free items to passengers. You currently have the following items on offer:  gingerbread, granola bars, and cigarettes. As you walk by, a passenger asks: Do you sell cookies? You reply:","You are a flight attendant on an old-fashioned international flight. You are selling duty free items to passengers. You currently have the following items on offer:  gingerbread, granola bars, and cigarettes. As you walk by, a passenger asks:",Do you sell cookies?,"I'm sorry, we don't have cookies.","I'm sorry, we don't have cookies. We have gingerbread.","I'm sorry, we don't have cookies. We have gingerbread and granola bars.","I'm sorry, we don't have cookies. We have granola bars.","I'm sorry, we don't have cookies. We have granola bars and gingerbread.","I'm sorry, we don't have cookies. We have cigarettes.","I'm sorry, we don't have cookies. We have gingerbread, granola bars, and cigarettes.","I'm sorry, we don't have cookies. We have gingerbread, cigarettes, and granola bars.","I'm sorry, we don't have cookies. We have granola bars, gingerbread, and cigarettes.","I'm sorry, we don't have cookies. We have granola bars, cigarettes, and gingerbread.","I'm sorry, we don't have cookies. We have cigarettes, gingerbread, and granola bars.","I'm sorry, we don't have cookies. We have cigarettes, granola bars, and gingerbread."
12,clothing-clothes,clothing,"You work at a small designer clothing store. You currently have the following items in stock:  shorts, sweatshirts, and necklaces. A customer comes in and asks: Do you have any Hawaiian shirts? You reply:","You work at a small designer clothing store. You currently have the following items in stock:  shorts, sweatshirts, and necklaces. A customer comes in and asks:",Do you have any Hawaiian shirts?,"I'm sorry, we don't have Hawaiian shirts.","I'm sorry, we don't have Hawaiian shirts. We have shorts.","I'm sorry, we don't have Hawaiian shirts. We have shorts and sweatshirts.","I'm sorry, we don't have Hawaiian shirts. We have sweatshirts.","I'm sorry, we don't have Hawaiian shirts. We have sweatshirts and shorts.","I'm sorry, we don't have Hawaiian shirts. We have necklaces.","I'm sorry, we don't have Hawaiian shirts. We have shorts, sweatshirts, and necklaces.","I'm sorry, we don't have Hawaiian shirts. We have shorts, necklaces, and sweatshirts.","I'm sorry, we don't have Hawaiian shirts. We have sweatshirts, shorts, and necklaces.","I'm sorry, we don't have Hawaiian shirts. We have sweatshirts, necklaces, and shorts.","I'm sorry, we don't have Hawaiian shirts. We have necklaces, shorts, and sweatshirts.","I'm sorry, we don't have Hawaiian shirts. We have necklaces, sweatshirts, and shorts."
13,clothing-acc,clothing,"You work at a small designer clothing store. You currently have the following items in stock:  necklaces, sunglasses, and shorts. A customer comes in and asks: Do you have any earrings? You reply:","You work at a small designer clothing store. You currently have the following items in stock:  necklaces, sunglasses, and shorts. A customer comes in and asks:",Do you have any earrings?,"I'm sorry, we don't have earrings.","I'm sorry, we don't have earrings. We have necklaces.","I'm sorry, we don't have earrings. We have necklaces and sunglasses.","I'm sorry, we don't have earrings. We have sunglasses.","I'm sorry, we don't have earrings. We have sunglasses and necklaces.","I'm sorry, we don't have earrings. We have shorts.","I'm sorry, we don't have earrings. We have necklaces, sunglasses, and shorts.","I'm sorry, we don't have earrings. We have necklaces, shorts, and sunglasses.","I'm sorry, we don't have earrings. We have sunglasses, necklaces, and shorts.","I'm sorry, we don't have earrings. We have sunglasses, shorts, and necklaces.","I'm sorry, we don't have earrings. We have shorts, necklaces, and sunglasses.","I'm sorry, we don't have earrings. We have shorts, sunglasses, and necklaces."
14,petAdoption-dogs,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center: golden retrievers, chihuahuas, and gerbils. A family comes in and asks: Do you have any Dalmatians? You reply:","You work at an adoption center for rescued animals. You currently have the following animals at the center: golden retrievers, chihuahuas, and gerbils. A family comes in and asks:",Do you have any Dalmatians?,"I'm sorry, we don't have dalmatians.","I'm sorry, we don't have dalmatians. We have golden retrievers.","I'm sorry, we don't have dalmatians. We have golden retrievers and chihuahuas.","I'm sorry, we don't have dalmatians. We have chihuahuas.","I'm sorry, we don't have dalmatians. We have chihuahuas and golden retrievers.","I'm sorry, we don't have dalmatians. We have gerbils.","I'm sorry, we don't have dalmatians. We have golden retrievers, chihuahuas, and gerbils.","I'm sorry, we don't have dalmatians. We have golden retrievers, gerbils, and chihuahuas.","I'm sorry, we don't have dalmatians. We have chihuahuas, golden retrievers, and gerbils.","I'm sorry, we don't have dalmatians. We have chihuahuas, gerbils, and golden retrievers.","I'm sorry, we don't have dalmatians. We have gerbils, golden retrievers, and chihuahuas.","I'm sorry, we don't have dalmatians. We have gerbils, chihuahuas, and golden retrievers."
15,petAdoption-hamster,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center: gerbils, ferrets, and golden retrievers. A family comes in and asks: Do you have any hamsters? You reply:","You work at an adoption center for rescued animals. You currently have the following animals at the center: gerbils, ferrets, and golden retrievers. A family comes in and asks:",Do you have any hamsters?,"I'm sorry, we don't have hamsters.","I'm sorry, we don't have hamsters. We have gerbils.","I'm sorry, we don't have hamsters. We have gerbils and ferrets.","I'm sorry, we don't have hamsters. We have ferrets.","I'm sorry, we don't have hamsters. We have ferrets and gerbils.","I'm sorry, we don't have hamsters. We have golden retrievers.","I'm sorry, we don't have hamsters. We have gerbils, ferrets, and golden retrievers.","I'm sorry, we don't have hamsters. We have gerbils, golden retrievers, and ferrets.","I'm sorry, we don't have hamsters. We have ferrets, gerbils, and golden retrievers.","I'm sorry, we don't have hamsters. We have ferrets, golden retrievers, and gerbils.","I'm sorry, we don't have hamsters. We have golden retrievers, gerbils, and ferrets.","I'm sorry, we don't have hamsters. We have golden retrievers, ferrets, and gerbils."
16,books-romance,books,"You work at a bookshop in a small town. You currently have books of French love letters, historical dramas, and mystery novels. A student walks in and asks: Do you have a book of love poems? You reply:","You work at a bookshop in a small town. You currently have books of French love letters, historical dramas, and mystery novels. A student walks in and asks:",Do you have a book of love poems?,"I'm sorry, we don't have love poems.","I'm sorry, we don't have love poems. We have books of French love letters.","I'm sorry, we don't have love poems. We have books of French love letters and historical dramas.","I'm sorry, we don't have love poems. We have historical dramas.","I'm sorry, we don't have love poems. We have historical dramas and books of French love letters.","I'm sorry, we don't have love poems. We have mystery novels.","I'm sorry, we don't have love poems. We have books of French love letters, historical dramas, and mystery novels.","I'm sorry, we don't have love poems. We have books of French love letters, mystery novels, and historical dramas.","I'm sorry, we don't have love poems. We have historical dramas, books of French love letters, and mystery novels.","I'm sorry, we don't have love poems. We have historical dramas, mystery novels, and books of French love letters.","I'm sorry, we don't have love poems. We have mystery novels, books of French love letters, and historical dramas.","I'm sorry, we don't have love poems. We have mystery novels, historical dramas, and books of French love letters."
17,books-fantasy,books,"You work at a bookshop in a small town. You currently have mystery novels, adventure novels, and books of French love letters. A student walks in and asks: Do you sell psychological thrillers? You reply:","You work at a bookshop in a small town. You currently have mystery novels, adventure novels, and books of French love letters. A student walks in and asks:",Do you sell psychological thrillers?,"I'm sorry, we don't have psychological thrillers.","I'm sorry, we don't have psychological thrillers. We have mystery novels.","I'm sorry, we don't have psychological thrillers. We have mystery novels and adventure novels.","I'm sorry, we don't have psychological thrillers. We have adventure novels.","I'm sorry, we don't have psychological thrillers. We have adventure novels and mystery novels.","I'm sorry, we don't have psychological thrillers. We have books of French love letters.","I'm sorry, we don't have psychological thrillers. We have mystery novels, adventure novels, and books of French love letters.","I'm sorry, we don't have psychological thrillers. We have mystery novels, books of French love letters, and adventure novels.","I'm sorry, we don't have psychological thrillers. We have adventure novels, mystery novels, and books of French love letters.","I'm sorry, we don't have psychological thrillers. We have adventure novels, books of French love letters, and mystery novels.","I'm sorry, we don't have psychological thrillers. We have books of French love letters, mystery novels, and adventure novels.","I'm sorry, we don't have psychological thrillers. We have books of French love letters, adventure novels, and mystery novels."
18,electronics-laptop,electronics,"You work at a second hand electronics store. You currently have a MacBook Air, a desktop computer, and an Xbox. A young man walks in and asks: Do you have a MacBook Pro? You reply:","You work at a second hand electronics store. You currently have a MacBook Air, a desktop computer, and an Xbox. A young man walks in and asks:",Do you have a MacBook Pro?,"I'm sorry, we don't have a MacBook Pro.","I'm sorry, we don't have a MacBook Pro. We have a MacBook Air.","I'm sorry, we don't have a MacBook Pro. We have a MacBook Air and a desktop computer.","I'm sorry, we don't have a MacBook Pro. We have a desktop computer.","I'm sorry, we don't have a MacBook Pro. We have a desktop computer and a MacBook Air.","I'm sorry, we don't have a MacBook Pro. We have an Xbox.","I'm sorry, we don't have a MacBook Pro. We have a MacBook Air, a desktop computer, and an Xbox.","I'm sorry, we don't have a MacBook Pro. We have a MacBook Air, an Xbox, and a desktop computer.","I'm sorry, we don't have a MacBook Pro. We have a desktop computer, a MacBook Air, and an Xbox.","I'm sorry, we don't have a MacBook Pro. We have a desktop computer, an Xbox, and a MacBook Air.","I'm sorry, we don't have a MacBook Pro. We have an Xbox, a MacBook Air, and a desktop computer.","I'm sorry, we don't have a MacBook Pro. We have an Xbox, a desktop computer, and a MacBook Air."
19,electronics-console,electronics,"You work at a second hand electronics store. There are currently an Xbox, a Gameboy, and a MacBook Air. A young man walks in and asks: Do you have a PlayStation? You reply:","You work at a second hand electronics store. There are currently an Xbox, a Gameboy, and a MacBook Air. A young man walks in and asks:",Do you have a PlayStation?,"I'm sorry, we don't have a PlayStation.","I'm sorry, we don't have a PlayStation. We have an Xbox.","I'm sorry, we don't have a PlayStation. We have an Xbox and a Gameboy.","I'm sorry, we don't have a PlayStation. We have a Gameboy.","I'm sorry, we don't have a PlayStation. We have a Gameboy and an Xbox.","I'm sorry, we don't have a PlayStation. We have a MacBook Air.","I'm sorry, we don't have a PlayStation. We have an Xbox, a Gameboy, and a MacBook Air.","I'm sorry, we don't have a PlayStation. We have an Xbox, a MacBook Air, and a Gameboy.","I'm sorry, we don't have a PlayStation. We have a Gameboy, an Xbox, and a MacBook Air.","I'm sorry, we don't have a PlayStation. We have a Gameboy, a MacBook Air, and an Xbox.","I'm sorry, we don't have a PlayStation. We have a MacBook Air, an Xbox, and a Gameboy.","I'm sorry, we don't have a PlayStation. We have a MacBook Air, a Gameboy, and an Xbox."
20,gym-yoga,gymActivities,"You work at the reception desk of a gym. The gym currently offers a pilates class, zumba classes, and kickboxing. A woman walks in and asks: Do you offer yoga classes? You reply:","You work at the reception desk of a gym. The gym currently offers a pilates class, zumba classes, and kickboxing. A woman walks in and asks:",Do you offer yoga classes?,"I'm sorry, we don't have yoga classes.","I'm sorry, we don't have yoga classes. We have a pilates class.","I'm sorry, we don't have yoga classes. We have a pilates class and zumba classes.","I'm sorry, we don't have yoga classes. We have zumba classes.","I'm sorry, we don't have yoga classes. We have zumba classes and a pilates class.","I'm sorry, we don't have yoga classes. We have kickboxing.","I'm sorry, we don't have yoga classes. We have a pilates class, zumba classes, and kickboxing.","I'm sorry, we don't have yoga classes. We have a pilates class, kickboxing, and zumba classes.","I'm sorry, we don't have yoga classes. We have zumba classes, a pilates class, and kickboxing.","I'm sorry, we don't have yoga classes. We have zumba classes, kickboxing, and a pilates class.","I'm sorry, we don't have yoga classes. We have kickboxing, a pilates class, and zumba classes.","I'm sorry, we don't have yoga classes. We have kickboxing, zumba classes, and a pilates class."
21,gym-boxing,gymActivities,"You work at the reception desk of a gym. The gym currently offers kickboxing classes, karate classes, and pilates. A young guy walks in and asks: Do you offer boxing classes? You reply:","You work at the reception desk of a gym. The gym currently offers kickboxing classes, karate classes, and pilates. A young guy walks in and asks:",Do you offer boxing classes?,"I'm sorry, we don't have boxing classes.","I'm sorry, we don't have boxing classes. We have kickboxing classes.","I'm sorry, we don't have boxing classes. We have kickboxing classes and karate classes.","I'm sorry, we don't have boxing classes. We have karate classes.","I'm sorry, we don't have boxing classes. We have karate classes and kickboxing classes.","I'm sorry, we don't have boxing classes. We have pilates.","I'm sorry, we don't have boxing classes. We have kickboxing classes, karate classes, and pilates.","I'm sorry, we don't have boxing classes. We have kickboxing classes, pilates, and karate classes.","I'm sorry, we don't have boxing classes. We have karate classes, kickboxing classes, and pilates.","I'm sorry, we don't have boxing classes. We have karate classes, pilates, and kickboxing classes.","I'm sorry, we don't have boxing classes. We have pilates, kickboxing classes, and karate classes.","I'm sorry, we don't have boxing classes. We have pilates, karate classes, and kickboxing classes."
22,kidsActivities-crafts,kidsActivities,"You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers  a watercolor painting class, a carpentry workshop, and an acrobatics class. A kid walks up to you and asks: Is there a pottery class? You reply:","You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers  a watercolor painting class, a carpentry workshop, and an acrobatics class. A kid walks up to you and asks:",Is there a pottery class?,"I'm sorry, we don't have a pottery class.","I'm sorry, we don't have a pottery class. We have a watercolor painting class.","I'm sorry, we don't have a pottery class. We have a watercolor painting class and a carpentry workshop.","I'm sorry, we don't have a pottery class. We have a carpentry workshop.","I'm sorry, we don't have a pottery class. We have a carpentry workshop and a watercolor painting class.","I'm sorry, we don't have a pottery class. We have an acrobatics class.","I'm sorry, we don't have a pottery class. We have a watercolor painting class, a carpentry workshop, and an acrobatics class.","I'm sorry, we don't have a pottery class. We have a watercolor painting class, an acrobatics class, and a carpentry workshop.","I'm sorry, we don't have a pottery class. We have a carpentry workshop, a watercolor painting class, and an acrobatics class.","I'm sorry, we don't have a pottery class. We have a carpentry workshop, an acrobatics class, and a watercolor painting class.","I'm sorry, we don't have a pottery class. We have an acrobatics class, a watercolor painting class, and a carpentry workshop.","I'm sorry, we don't have a pottery class. We have an acrobatics class, a carpentry workshop, and a watercolor painting class."
