itemName,settingName,vignette_start,vignette_continuation,question,priorElicitation_context,priorElicitation_question,taciturn,answer_template,itemQuestion,competitor,sameCategory,otherCategory,correct_response
dutyFree-smokes,dutyFree,You are a flight attendant on an old-fashioned international flight. You are selling duty-free items to passengers. You currently have the following items on offer:,"\n\nAs you walk by, a passenger asks:",Do you sell cigars?,Suppose you learn a passenger on an old-fashioned international flight would like to purchase,like to purchase,"I'm sorry, we don’t sell cigars.",We sell *.,cigars,cigarettes,gin,gingerbread,main
dutyFree-sweets,dutyFree,You are a flight attendant on an old-fashioned international flight. You are selling duty free items to passengers. You currently have the following items on offer: ,"\n\nAs you walk by, a passenger asks:",Do you sell cookies?,Suppose you learn a passenger on an old-fashioned international flight would like to purchase,like to purchase,"I'm sorry, we don’t sell cookies.",We sell *.,cookies,gingerbread,granola bars,cigarettes,main
clothing-clothes,clothing,You work at a small designer clothing store. You currently have the following items in stock: ,\n\nA customer comes in and asks:,Do you have any Hawaiian shirts?,Suppose you learn a customer at a small designer shop is looking for,be looking for,"I'm sorry, we don’t have any Hawaiian shirts.",We have *.,Hawaiian shirts,shorts,sweatshirts,necklaces,main
clothing-acc,clothing,You work at a small designer clothing store. You currently have the following items in stock: ,\n\nA customer comes in and asks:,Do you have any earrings?,Suppose you learn a customer at a small designer shop is looking for,be looking for,"I'm sorry, we don’t have any earrings.",We have *.,earrings,necklaces,sunglasses,shorts,main
petAdoption-dogs,petAdoption,You work at an adoption center for rescued animals. You currently have the following animals at the center:,\n\nA family comes in and asks:,Do you have any Dalmatians?,Suppose you learn a family visiting a pet shelter is interested in adopting,be interested in adopting,"I'm sorry, we don’t have any dalmatians.",We have *.,dalmatians,golden retrievers,chihuahuas,gerbils,main
petAdoption-hamster,petAdoption,You work at an adoption center for rescued animals. You currently have the following animals at the center:,\n\nA family comes in and asks:,Do you have any hamsters?,Suppose someone wants to have,had,"I'm sorry, we don’t have any hamsters.",We have *.,hamsters,gerbils,ferrets,golden retrievers,main
books-romance,books,You work at a bookshop in a small town. You currently have,\n\nA student walks in and asks:,Do you have a book of love poems?,Suppose you learn a person at a book store is looking for,be interested in,"I’m sorry, we don’t have love poems.",We sell *.,love poems,books of French love letters,historical dramas,mystery novels,main
books-fantasy,books,You work at a bookshop in a small town. You currently have,\n\nA student walks in and asks:,Do you sell psychological thrillers?,Suppose you learn a person at a book store is looking for,be interested in,"I’m sorry, we don’t sell psychological thrillers.",We sell *.,psychological thrillers,mystery novels,adventure novels,books of French love letters,main
electronics-laptop,electronics,You work at a second hand electronics store. You currently have,\n\nA young man walks in and asks:,Do you have a MacBook Pro?,Suppose someone wants,got,"I’m sorry, we don’t have a MacBook Pro.",We have *.,a MacBook Pro,a MacBook Air,a desktop computer,an Xbox,main
electronics-console,electronics,You work at a second hand electronics store. There are currently,\n\nA young man walks in and asks:,Do you have a PlayStation?,Suppose you learn a customer walks into a second hand electronics store and is looking for,be looking for,"I’m sorry, we don’t have a PlayStation.",We have *.,a PlayStation,an Xbox,a Gameboy,a MacBook Air,main
gym-yoga,gymActivities,You work at the reception desk of a gym. The gym currently offers,\n\nA woman walks in and asks:,Do you offer yoga classes?,Suppose you learn a customer at a gym would like to participate in,like to participate in,"I’m sorry, we don’t have yoga.",We have *.,yoga classes,a pilates class,zumba classes,kickboxing,main
gym-boxing,gymActivities,You work at the reception desk of a gym. The gym currently offers,\n\nA young guy walks in and asks:,Do you offer boxing classes?,Suppose you learn a customer at a gym would like to participate in,like to participate in,"I’m sorry, we don’t have boxing.",We have *.,boxing classes,kickboxing classes,karate classes,pilates,main
kidsActivities-crafts,kidsActivities,You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers ,\n\nA kid walks up to you and asks:,Is there a pottery class?,Suppose you learn a kid who just arrived at a summer camp wants to sign up for,like to sign up for,"I'm sorry, there is no pottery class.",There is *.,a pottery class,a watercolor painting class,a carpentry workshop,an acrobatics class,main
kidsActivities-sports,kidsActivities,You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers ,\n\nA kid walks up to you and asks:,Is there a gymnastics class?,Suppose you learn a kid who just arrived at a summer camp wants to sign up for,like to sign up for,"I'm sorry, there is no gymnastics class.",There is *.,a gymnastics class,an acrobatics class,a karate class,a watercolor painting class,main
friendsActivities-boardGames,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared",\n\nYour friends arrive and ask you:,Do you have Scrabble?,Suppose you learn that some friends who will come over to your house want to spend the evening with,want to spend the evening with,"I'm sorry, I don't have Scrabble.",I have *.,Scrabble,Monopoly,checkers,some movies,main
friendsActivities-videoEntertainment,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared",\n\nYour friends arrive and ask you:,Do you have Netflix?,Suppose you learn that some friends who will come over to your house want to spend the evening with,want to spend the evening with,"I'm sorry, I don't have Netflix.",I have *.,Netflix,some movies,Xbox games,Monopoly,main
interior-green,interior,You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have ,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits you and asks:,Do you have an aloe vera plant?,Suppose someone wants,got,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,main
interior-deco,interior,You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have ,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits you and asks:,Do you have watercolour paintings?,Suppose you learn that a friend who just moved into a new apartment wants to decorate it with,want to decorate it with,"I'm sorry, I don’t have watercolor paintings.",I have *.,watercolor paintings,an oil painting,some printed photographs,an agave plant,main
zoo-xl,zoo,You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there is,\n\nYour eight-year-old is impatient and asks:,Can we see the tiger?,Suppose you learn that a kid visiting a zoo wants to see,want to see,"I’m sorry, they don’t have a tiger here.",They have *.,a tiger,a lion,a giraffe,iguanas,main
zoo-reptiles,zoo,You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there is,\n\nYour eight-year-old is impatient and asks:,Can we see the chameleon?,Suppose you learn that a kid visiting a zoo wants to see,want to see,"I'm sorry, they don't have chameleons here.",They have *.,a chameleon,iguanas,turtles,a lion,main
