itemName,settingName,vignette_start,vignette_continuation,question,priorElicitation_context,priorElicitation_question,taciturn,answer_template,itemQuestion,competitor,sameCategory1,sameCategory2,otherCategory1,otherCategory2,correct_response
broom-renovation,broom,"Your neighbors recently finished renovating their apartment. They are now cleaning up after renovation. You heard that they don’t have any household supplies yet since they plan to move in next week. In your apartment, you have",\n\nOne of your neighbors rings your bell and asks:,Do you have a broom?,Suppose someone wants,had,"I’m sorry, I don't have a broom.",I have *.,a broom,a vacuum cleaner,a mop,a hand brush,a shovel,a rake,main
broom-snow,broom,"You live in a suburban house and share the driveway to your house with your neighbors. You take turns taking care of the road. You just woke up, looked out of the window and noticed that it snowed over the night, which is not very common in your area. This week it’s your neighbors’ turn to take care of the driveway. In your house, you happen to have",\n\nYour neighbor rings at your door and asks:,Do you have a broom?,Suppose someone wants,had,"I’m sorry, I don't have a broom.",I have *.,a broom,a shovel,a rake,a mop,a vacuum cleaner,a hand brush,main
sweatpants-sleepover,sweatpants,"You have some friends over at your place. They evening got long and it is already way past midnight. Therefore, one guy who lives far away decided to stay over. In you closet you have ","\n\nOnce other guests left, he wants to change for the night and asks:",Do you have sweatpants?,Suppose someone wants,had,"I’m sorry, I don't have sweatpants.",I have *.,sweatpants,pyjamas,a pair of leggings,shorts,a tanktop,towels,main
sweatpants-spill,sweatpants,"It is a hot summer weekend. You have some friends over at your garden for a dinner party. One guest just spilled coffee on their pants. In your closet, you have",\n\nThey ask:,Do you have sweatpants?,Suppose someone wants,had,"I’m sorry, I don't have sweatpants.",I have *.,sweatpants,shorts,a pair of leggings,pyjamas,a tanktop,towels,main
umbrella-summer,umbrella,"Your house has a beautiful garden and a pool. During the summer you often have friends over in the garden. Today is a really hot day, and a friend wants to lie outside in the garden but doesn’t want to get sunburned. In your storage closet in the house, you have",\n\nThe friend asks:,Do you have an umbrella?,Suppose someone wants,had,"I’m sorry, I don't have an umbrella.",I have *.,an umbrella,sunscreen,a tent,a plastic bike cover,rubber boots,a rain jacket,main
umbrella-rain,umbrella,"You just had coffee with some friends at your house. Now they want to take off but a heavy rain just started. In your storage closet in the house, you have",\n\nYour friend asks:,Do you have an umbrella?,Suppose someone wants,had,"I’m sorry, I don't have an umbrella.",I have *.,an umbrella,a rain jacket,rubber boots,a plastic bike cover,a tent,sunscreen,main
postit-board,postit,"Your colleague is organizing a workshop at the office. They want to collect ideas for a new product with the team and gather everyone's thoughts on at the office whiteboard. In your office, you have",\n\nYour colleague asks:,Do you have post-its?,Suppose someone wants,had,"I'm sorry, I don’t have any post-its.",I have *.,post-its,whiteboard marker,notebook,pen,pencil,eraser,main
postit-reading,postit,"Your colleague at the office has to read through a lot of documents and wants to take some notes. At your desk, you have",\n\nYour colleague asks:,Do you have post-its?,Suppose someone wants,had,"I'm sorry, I don’t have any post-its.",I have *.,post-its,notebook,pencil,pen,whiteboard marker,eraser,main
pot-garden,pot,"Your neighbor is a passionate gardener. She is now repotting and splitting her plants on the veranda, but since they grew so big she ran out of pots. You are also a crafty person, so have different supplies stored in you basement. You have",\n\nShe asks:,Do you have a pot?,Suppose someone wants,had,"I’m sorry, I don’t have a pot.",I have *.,a pot,old cans,an old bucket,a vase,a kettle,several pans,main
pot-jam,pot,"Your neighbor has a beautiful apple tree in their garden. They harvested a lot of apples and are now in the middle of cooking apple jam in the garden. However, she ran out of space for cooking the apples since there are so many. In your basement, you have",\n\nShe asks:,Do you have a pot?,Suppose someone wants,had,"I’m sorry, I don’t have a pot.",I have *.,a pot,a kettle,some pans,a vase,an old bucket,old cans,main
towel-hair,towel,There is a Halloween party at your college dorm. Some of your friends who live in other dorms came over. A heavy rain started while they were on their way so now some of them want to dry their hair. In your dorm you have,\n\nThey ask:,Do you have a towel?,Suppose someone wants,had,"I’m sorry, I don’t have a towel.",I have *.,a towel,a hair dryer,paper towels,a blanket,a hoodie,a dryer in the basement,main
towel-clothes,towel,There is a Halloween party at your college dorm. Some of your friends who live in other dorms came over. A heavy rain started while they were on their way so now some of them want to dry their costumes. In your dorm you have,\n\nThey ask:,Do you have a towel?,Suppose someone wants,had,"I’m sorry, I don’t have a towel.",I have *.,a towel,a dryer in the basement,paper towels,a blanket,a hoodie,a hair dryer,main
paper-bbq,paper,"You and your roommates are hosting a BBQ in the backyard of your house. Everyone was involved in getting ready for the party and helped to mow the lawn, get the groceries and clean up the house before the guests arrive. One of your roommates who was responsible for getting groceries is now about to start the fire, but forgot to buy lighter cubes. You have",\n\nThey ask:,Is there any paper?,Suppose someone wants,had,"I’m sorry, we don’t have any paper.",We have *.,some paper,old newspapers,notebooks,old books,cut grass left after mowing the lawn,paper plates,main
paper-hamster,paper,"You and your roommates have a hamster in a cage in your shared living room. While tidying up the house, you and your roommates also started cleaning the cage, before realizing that you ran out of cage bedding. Today it’s too late in the evening to go to the store. While tidying up, you collected","\n\nTherefore, someone asks:",Is there any paper?,Suppose someone wants,had,"I’m sorry, we don’t have any paper.",We have *.,some paper,cut grass left after mowing the lawn,old newspapers,notebooks,old books,paper plates,main
candy-halloween,candy,It’s Halloween. You just sat down to have dinner with your family as you hear the doorbell ring. Your partner answers the door and you hear that some kids are trick-or-treating. You have,\n\nYour partner wants to give them some sweets and calls back into the house:,Do we have any candy?,Suppose someone wants,had,"I’m sorry, we are out of candy.",We have *.,candy,little trail mix packages,some fruit,a big chocolate bar,ice cream,cheesecake,main
candy-dessert,candy,You just had lunch with your family and now your partner is craving some dessert. You have,\n\nThey ask:,Do we have any candy?,Suppose someone wants,had,"I’m sorry, we are out of candy.",We have *.,candy,cheesecake,ice cream,a big chocolate bar,some fruit,little trail mix packages,main
bottle-plants,bottle,"You and your colleagues like plants, so you decorated the window ledge of your office with several exemplars. The holiday season is about to begin at your company. Your colleague wants to water the plants before leaving. At your office you have",\n\nShe asks:,Do you have a bottle?,Suppose someone wants,had,"I’m sorry, I don’t have a bottle.",I have *.,a bottle,a watering can,a coffee cup,a glass,a to-go mug,a spoon,main
bottle-water,bottle,"You are about to go for a longer walk with some friends. It is a hot day outside. Someone forgot to bring a bottle of water. In your car trunk, you happen to have",\n\nThey ask:,Do you have a bottle?,Suppose someone wants,had,"I’m sorry, I don’t have a bottle.",I have *.,a bottle,a to-go mug,a coffee cup,a glass,a spoon,a watering can,main
