itemName,settingName,vignette,question,taciturn,competitor,sameCategory,otherCategory,fullList,itemQuestion,itemCompetitor,itemSameCat1,itemSameCat2,itemOtherCat1,itemOtherCat2,weakItem?
waterSport-motor,waterSport,"You are working in a water sports rental agency in a popular tourist region with a large lake and many water ways for different types of water sports. The agency offers water ski equipment, flyboards, kajaks, pedal boats, and motorboats for rental.\n\nA customer calls on the phone and asks:","""Do you rent out jetskis?""","""I'm sorry, we don’t rent out jetskis.""","""I'm sorry, we don’t rent out jetskis. We rent out motorboats.""","""I'm sorry, we don’t rent out jetskis. We rent out water ski equipment, flyboards, and motorboats.""","""I'm sorry, we don’t rent out jetskis. We rent out kajaks and pedal boats.""","""I'm sorry, we don’t rent out jetskis. We rent out water ski equipment, flyboards, kajaks, pedal boats, and motorboats.""",jetskis,motorboats,water ski equipment,flyboards,pedal boats,kajaks,0
waterSport-muscle,waterSport,"You are working in a water sports rental agency in a popular tourist region with a large lake and many water ways for different types of water sports. The agency offers kajaks, rowing boats, motorboats, pedal boats, and flyboards for rental.\n\nA customer calls on the phone and asks:","""Do you rent out canoes?""","""I'm sorry, we don’t rent out canoes.""","""I'm sorry, we don’t rent out canoes. We rent out kajaks.""","""I'm sorry, we don’t rent out canoes. We rent out kajaks, rowing boats, and pedal boats.""","""I'm sorry, we don’t rent out canoes. We rent out motorboats and flyboards.""","""I'm sorry, we don’t rent out canoes. We rent out kajaks, rowing boats, motorboats, pedal boats, and flyboards.""",canoes,kajaks,pedal boats,rowing boats,motorboats,flyboards,0
dutyFree-smokes,dutyFree,"You are a flight attendant on an international flight. You are selling duty free items during the flight. Currently on offer are the following items: Swiss chocolate, whiskey, gingerbread, cigarettes, and gin.\n\nAs you walk by, a passenger asks:","""Do you sell cigars?""","""I'm sorry, we don’t sell cigars.""","""I'm sorry, we don’t sell cigars. We sell cigarettes.""","""I'm sorry, we don’t sell cigars. We sell whiskey, cigarettes, and gin.""","""I'm sorry, we don’t sell cigars. We sell Swiss chocolate and gingerbread.""","""I'm sorry, we don’t sell cigars. We sell Swiss chocolate, whiskey, gingerbread, cigarettes, and gin.""",cigars,cigarettes,gin,whiskey,Swiss chocolate,gingerbread,1
dutyFree-sweets,dutyFree,"You are a flight attendant on an international flight. You are selling duty free items during the flight. Currently on offer are the following items: Swiss chocolate, gingerbread, cigarettes, waffles, and whiskey.\n\nAs you walk by, a passenger asks:","""Do you sell pralines?""","""I'm sorry, we don’t sell pralines.""","""I'm sorry, we don’t sell pralines. We sell Swiss chocolate.""","""I'm sorry, we don’t sell pralines. We sell Swiss chocolate, gingerbread, and waffles.""","""I'm sorry, we don’t sell pralines. We sell cigarettes and whiskey.""","""I'm sorry, we don’t sell pralines. We sell Swiss chocolate, gingerbread, cigarettes, waffles, and whiskey.""",pralines,Swiss chocolate,waffles,gingerbread,cigarettes,whiskey,1
clothing-beach,clothing,"You work at a small designer clothing store. You currently have the following items in stock: T-shirts, shirts, tank tops, hoodies, and sweatshirts.\n\nA customer comes in and asks:","""Do you have any Hawaiian shirts?"""," ""I'm sorry, we don’t have any Hawaiian shirts.""","""I'm sorry, we don’t have any Hawaiian shirts. We have T-shirts, though.""","""I'm sorry, we don’t have any Hawaiian shirts. We have T-shirts, shirts, and tank tops, though.""","""I'm sorry, we don’t have any Hawaiian shirts. We have sweatshirts and hoodies.”","""I'm sorry, we don’t have any Hawaiian shirts. We have T-shirts, shirts, tank tops, sweatshirts, and hoodies.”",Hawaiian shirt,T-Shirt,shirt,tank top,sweatshirt,hoodie,0
clothing-winter,clothing,"You work at a small designer clothing store. You currently have the following items in stock: long sleeve shirts, hoodies, T-Shirts, winter coats, and sweatshirts.\n\nA customer comes in and asks:","""Do you have any wool sweaters?"""," ""I'm sorry, we don’t have any wool sweaters.”","""I'm sorry, we don’t have any wool sweaters. We have sweatshirts, though.""","""I'm sorry, we don’t have any wool sweaters. We have hoodies, sweatshirts, and winter coats, though.""","""I'm sorry, we don’t have any wool sweaters. We have T-Shirts and long-sleeve shirts, though.""","""I'm sorry, we don’t have any wool sweaters. We have hoodies, sweatshirts, winter coats, T-Shirts, and long-sleeve shirts.”",wool sweater,sweatshirt,hoodie,winter coat,t-shirt,long-sleeve shirt,0
petAdoption-dogs,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center: chocolate labs, golden retrievers, terriers, Siamese cats, and gerbils.\n\nA family comes in and asks:","""Do you have any Dalmatians?"""," ""I'm sorry, we don’t have any Dalmatians.”","""I'm sorry, we don’t have any Dalmatians. We have chocolate labs, though.""","""I'm sorry, we don’t have any Dalmatians. We have chocolate labs, golden retrievers, and terriers, though.""","""I'm sorry, we don’t have any Dalmatians. We have Siamese cats and gerbils, though.""","""I'm sorry, we don’t have any Dalmatians. We have chocolate labs, golden retrievers, terriers, Siamese cats, and gerbils.""",Dalmatians,chocolate labs,golden retrievers,terriers,Siamese cats,gerbils,0
petAdoption-dogs,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center: gerbils, mice, ferrets, chocolate labs, and Great Danes.\n\nA family comes in and asks:","""Do you have any hamsters?"""," ""I'm sorry, we don’t have any hamsters.""","""I'm sorry, we don’t have any hamsters. We have gerbils, though.""","""I'm sorry, we don’t have any hamsters. We have gerbils, mice, and ferrets, though.""","""I'm sorry, we don’t have any hamsters. We have chocolate labs and Great Danes, though.""","""I'm sorry, we don’t have any hamsters. We have gerbils, mice, ferrets, chocolate labs, and Great Danes.""",hamsters,gerbils,mice,ferrets,chocolate labs,Great Danes,0
furniture-indoors,furniture,"You work at a vintage furniture store. You currently have a mid 20th century rocking chair, bean bag, sofa, a wooden bench and a hollywood swing on display.\n\nA family walks in and asks:",“Do you have an armchair?”,"“I’m sorry, we don’t have an armchair at the store.”","“I’m sorry, we don’t have an armchair at the store. We have a sofa.”","“I’m sorry, we don’t have an armchair at the store. We have a sofa, a rocking chair, and a bean bag.”","“I’m sorry, we don’t have an armchair at the store. We have a wooden bench and a garden swing.”","“I’m sorry, we don’t have an armchair at the store. We have a sofa, a wooden bench, a garden swing, a bean bag , and a rocking chair.”",armchair,sofa,beanbag,rocking chair,wooden bench,garden swing,0
furniture-outdoors,furniture,"You work at a vintage furniture store. You currently have mid 20th century rocking chair, cane-chair, sofa, a wooden bench and a hollywood swing on display.\n\nA family walks in and asks:",“Do you have a deck chair?”,"“I’m sorry, we don’t have a deck chair at the store.”","“I’m sorry, we don’t have a deck chair at the store. We have a wooden bench.”","“I’m sorry, we don’t have a deck chair at the store. We have a a cane-chair, a wooden bench and a hollywood swing.”","“I’m sorry, we don’t have a deck chair at the store. We have a sofa and a rocking chair.”","“I’m sorry, we don’t have a deck chair at the store. We have a sofa, a wooden bench, a hollywood swing, a cane-chair, and a rocking chair.”",deck chair,wooden bench,cane-chair,hollywood swing,sofa,rocking chair,0
books-romance,books,"You work at a book shop in a small town. You have currently have French love letters, a new science fiction novel, a historical novel, a science fiction novel, a thriller book and a romantic novel in your book selection.\n\nA student walks in and asks:",“Do you sell love poems books?”,"“I’m sorry, we don’t sell love poem books.”","“I’m sorry, we don’t sell love poem books. But we sell French love letter books.”","“I’m sorry, we don’t sell love poem books. But we sell history dramas, French love letter books, and romantic novels.”","“I’m sorry, we don’t sell love poem books. But we sell science fiction novels and thrillers.”","“I’m sorry, we don’t sell love poem books. But we sell thrillers, French love letter books, science fiction novels, historical dramas, and romantic novels.”",love poem,French love letters,romantic novel,historical drama,thriller,science fiction novel,0
books-fantasy,books,"You work at a book shop in a small town. You have currently have French love letters, a new science fiction novel, an adventure book, a detective book and a romantic novel in your book selection.\n\nA student walks in and asks:",“Do you sell fantasy books?”,"“I’m sorry, we don’t sell fantasy books.”","“I’m sorry, we don’t sell fantasy books. But we sell science fiction novels.”","“I’m sorry, we don’t sell fantasy books. But we sell science fiction novels, detective books, and adventure books.”","“I’m sorry, we don’t sell fantasy books. But we sell French love letter books and romantic novels.”","“I’m sorry, we don’t sell fantasy books. But we sell French love letters, a new science fiction novel, an adventure book, a detective book and a romantic novel.”",fantasy,science fiction novel,adventure book,detective book,French love letters,romantic novel,0
electronics-laptop,electronics,"You work at a second hand electronics store. There are currently an old MacBook Air, a Dell laptop, a desktop computer, a TV, and Xbox at your store.\n\nA young man walks in and asks:",“Do you have a MacBook Pro?”,"“I’m sorry, we don’t have a MacBook Pro.”","“I'm sorry, we don't have a MacBook Pro. We have a MacBook Air.”","“I'm sorry, we don't have a MacBook Pro. We have a Dell laptop, a MacBook Air and a desktop computer.”","“I'm sorry, we don't have a MacBook Pro. We have a TV and an Xbox.”","“I'm sorry, we don't have a MacBook Pro. We have a Dell laptop, a desktop computer, an Xbox, a MacBook Air, and a TV.”",MacBook Pro,MacBook Air,desktop,dell laptop,tv,xbox,0
electronics-console,electronics,"You work at a second hand electronics store. There are currently an old MacBook Air, a Wii console, a desktop computer, a Nintendo, and an Xbox at your store.\n\nA young man walks in and asks:",“Do you have a PlayStation?”,"“I’m sorry, we don’t have a PlayStation.”","“I'm sorry, we don't have a PlayStation. We have an Xbox.”","“I'm sorry, we don't have a PlayStation. We have a Wii, a Nintendo and an Xbox.”","“I'm sorry, we don't have a PlayStation. We have a desktop computer and a MacBook Air.”","“I'm sorry, we don't have a PlayStation. We have a Wii, a desktop computer, an Xbox, a MacBook Air, and a Nintendo.”",PlayStation,Xbox,Wii,Nintendo,desktop,MacBook Air,0
gym-yoga,gymActivities,"You work at the reception of a gym. Your gym currently offers pilates classes, zumba classes, aerobics, karate classes and kickboxing.\n\nA woman walks in and asks:",“Do you have yoga classes?”,"“I’m sorry, we don’t have yoga.”","“I’m sorry, we don’t have yoga. We have a pilates class.”","“I’m sorry, we don't have yoga classes. We have an aerobics class, pilates and zumba.”","“I’m sorry, we don't have yoga classes. We have a karate class and kickboxing.”","“I’m sorry, we don't have yoga classes. We have aerobics, a karate class, pilates classes, zumba classes, and kickboxing.”",yoga,pilates,aerobics,zumba,kickboxing,karate,0
gym-boxing,gymActivities,"You work at the reception of a gym. Your gym currently offers pilates classes, judo classes, aerobics, karate classes and kickboxing.\n\nA young guy walks in and asks:",“Do you have Thai boxing classes?”,"“I’m sorry, we don’t have Thai boxing.”","“I’m sorry, we don’t have Thai boxing classes. We have kickboxing classes.”","“I’m sorry, we don’t have Thai boxing classes. We have judo, kickboxing, and karate classes.”","“I'm sorry, we don't have Thai boxing classes. We have pilates and aerobics classes.”","“I'm sorry, we don't have Thai boxing classes. We have pilates, judo, kickboxing, karate classes, and aerobics classes.”",thai boxing,kickboxing,judo,karate,aerobics,pilates,0
kidsActivities-crafts,kidsActivities,"You are a teacher at a summer camp. Today a new group of children arrived. They have to sign up for different activities for the next day. The camp offers a sewing class, a watercolor painting class, an origami class, acrobatics and a swimming class.\n\nA kid walks up to you and asks:",“Is there a pottery class?”,"“I'm sorry, there is no pottery class.”","“I'm sorry, there is no pottery class. There is a watercolor painting class.”","“I'm sorry, there is no pottery class. There is a sewing class, a watercolor painting class, and an origami class.”","“I’m sorry, there is no pottery class. There is a swimming class and an acrobatics class.”","“I'm sorry, there is no pottery class. There is a sewing class, a watercolor painting class, an origami class, acrobatics and a swimming class.”",pottery,painting,sewing,origami,swimming,acrobatics,0
kidsActivities-sports,kidsActivities,"You are a teacher at a summer camp. Today a new group of children arrived. They have to sign up for different activities for the next day. The camp offers a painting class, an acrobatics class, a karate class, a dancing class, and a pottery class.\n\nA kid walks up to you and asks:",“Is there a cheerleading class?”,"“I'm sorry, there is no cheerleading class.”","“I'm sorry, there is no cheerleading class. There is an acrobatics class.”","“I'm sorry, there is no cheerleading class. There is an acrobatics class, a karate class, and a dancing class.”","“I’m sorry, there is no cheerleading class. There is a pottery class and a painting class.”","“I'm sorry, there is no cheerleading class. There is a painting class, a dancing class, a pottery class, acrobatics and a karate class.”",cheerleading,acrobatics,karate,dancing,painting,pottery,0
friendsActivities-boardGames,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared Monopoly, Twister, a poker set, some movies and PlayStation games.\n\nYour friends arrived to your house and ask you:",“Do you have Clue?”,"“I'm sorry, I don't have Clue.”","“I'm sorry, I don't have Clue. I have Monopoly.”","“I'm sorry, I don't have Clue. I have Twister, Monopoly and a poker set.”","“I'm sorry, I don't have Clue. I have some movies and PlayStation games.”","“I'm sorry, I don't have Clue. I have Twister, a poker set, some movies, Monopoly, and PlayStation games.”",clue,monopoly,twister,poker,playstation,movies,0
friendsActivities-videoEntertainment,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared Monopoly, a poker set, some movies, some Wii games, and PlayStation games.\n\nYour friends arrived to your house and ask you:",“Do you have Xbox games?”,"“I'm sorry, I don't have Xbox games.”","“I'm sorry, I don't have Xbox games. I have PlayStation games.”","“I’m sorry, I don't have Xbox games. I have Wii games, some movies, and PlayStation games.”","“I'm sorry, I don't have Xbox games. I have Monopoly and a poker set.”","“I'm sorry, I don't have Xbox games. I have Wii games, some movies, Monopoly, PlayStation games and a poker set.”",xbox,playstation,wii,movies,wii,monopoly,0
disney-action,disney,"You work at the entrance counter at Disney World. Today visitors can see Elsa, Spiderman, Batman, Ariel and Hulk.\n\nA group of kids walks in and asks:",“Can we see Superman?”,"“I’m sorry, Superman is not here today.” ","“I’m sorry, Superman is not here today. Spiderman is here today.” ","“I’m sorry, Superman is not here today. Hulk, Spiderman, and Batman are here today.” ","“I’m sorry, Superman is not here today. Ariel and Elsa are here today.” ","“I’m sorry, Superman is not here today. Elsa, Hulk, Ariel, Spiderman, and Batman are here today.” ",superman,spiderman,hulk,batman,ariel,elsa,0
disney-princess,disney,"You work at the entrance counter at Disney World. Today visitors can see Ariel, Elsa, Cinderella, and Spiderman and Batman.\n\nA group of kids walks in and asks:",“Can we see Moana?”,"“I’m sorry, Moana is not here today.” ","“I’m sorry, Moana is not here today. Elsa is here today.” ","“I’m sorry, Moana is not here today. Cinderella, Elsa and Ariel are here today.” ","“I’m sorry, Moana is not here today. Batman and Spiderman are here today.” ","“I’m sorry, Moana is not here today. Elsa, Batman, Cinderella, Spiderman and Ariel are here today.” ",moana,elsa,ariel,cinderella,spiderman,batman,0
plants-green,plants,"You are a hobby florist and grow beautiful plants and flowers in your house and your garden. You often give away plants and bouquets to friends and family. You currently have an agave, an ivy, a rose bush, bamboo, and an orchid. \n\nA friend who just moved wants to get something to decorate her new apartment visits you and asks:",“Do you have an aloe vera?”,"“I'm sorry, I don’t have an aloe vera.”","“I'm sorry, I don’t have an aloe vera. I have an agave.”","“I'm sorry, I don’t have an aloe vera. I have an ivy, an agave, and bamboo.”","“I'm sorry, I don’t have an aloe vera. I have a rose bush and an orchid.”","“I'm sorry, I don’t have an aloe vera. I have an agave, a rose bush, an ivy, an orchid, and bamboo.”",aloe vera,agave,ivy,bamboo,rose,orchid,0
plants-flowers,plants,"You are a hobby florist and grow beautiful plants and flowers in your house and your garden. You often give away plants and bouquets to friends and family. You currently have an agave, an ivy, a rose bush, tulips, and sunflowers. \n\nA friend who just moved wants to get something to decorate her new apartment visits you and asks:",“Do you have peonies?”,"“I'm sorry, I don’t have peonies.”","“I'm sorry, I don’t have peonies. I have roses.”","“I'm sorry, I don’t have peonies. I have roses, tulips, and sunflowers.”","“I'm sorry, I don’t have peonies. I have an ivy and an agave.”","“I'm sorry, I don’t have peonies. I have an agave, a rose bush, an ivy, tulips, and sunflowers.”",peonies,rose,sunflower,tulip,ivy,agave,0
zoo-xl,zoo,"You live in a middle sized town and took your kids to the zoo today. You just carefully studied the map of the zoo and saw that there is a lion, a giraffe, gorillas, snakes and iguanas.\n\nYour eight-year-old is impatient and asks:",”Can we see the tiger?”,"“I’m sorry, they don’t have a tiger here.”","“I’m sorry, they don’t have a tiger here. They have a lion.”","“I’m sorry, they don’t have a tiger here. They have gorillas, a lion, and a giraffe.”","“I’m sorry, they don’t have a tiger here. They have iguanas and snakes.”","“I’m sorry, they don’t have a tiger here. They have iguanas, a lion, gorillas, snakes and a giraffe.”",tiger,lion,gorilla,giraffe,snake,iguana,0
zoo-reptiles,zoo,"You live in a middle sized town and took your kids to the zoo today. You just carefully studied the map of the zoo and saw that there is a lion, iguanas, gorillas, snakes and turtles.\n\nYour eight-year-old is impatient and asks:",”Can we see the chameleon?”,"“I'm sorry, they don't have chameleons here.”","“I'm sorry, they don't have chameleons here. They have iguanas.”","“I'm sorry, they don't have chameleons here. They have iguanas, turtles, and snakes.”","“I'm sorry, they don't have chameleons here. They have gorillas and a lion.”","“I'm sorry, they don't have chameleons here. They have a lion, gorillas, turtles, snakes, and iguanas.”",chameleon,iguana,turtle,snake,lion,gorilla,0
