,itemName,settingName,vignette,variable,value
19,music-bebop,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: cool jazz, death metal, hard bop, soul jazz, and doom metal.\n\nYour neighbor asks: ""Do you have any bebop?""\n\nYou reply:",competitor,"""I'm sorry, I don't have any bebop, but I have some hard bop."""
20,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, pasta al forno, lemon cake, chocolate cookies and cheese sandwich.\n\nA customer asks: ""Do you have raspberry cake?""\n\nYou reply:",sameCategory,"""I'm sorry, we don't have raspberry cake today. We have raspberry pie, lemon cake, and chocolate cookies."""
21,cafe-pasta,cafe,"You are a server in a café. Today the café has pasta al forno, pizza, lemon cake, chocolate cookies and lasagne.\n\nA customer asks: ""Do you have pasta arrabiata?""\n\nYou reply:",sameCategory,"""I'm sorry, we don't have pasta arrabiata today. We have pasta al forno, pizza, and lasange."""
22,bar-whiteWine,bar,"You are a bar tender in a hotel bar. The bar serves only whiskey, beer, red wine, soft drinks and coffee today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have white wine?""\n\nYou reply:",sameCategory,"""I'm sorry, we don't have white wine today. We have whiskey, beer, and red wine."""
23,bar-coffee,bar,"You are a bar tender in a hotel bar. The bar serves only coffee, beer, red wine, soft drinks and soda today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have tea?""\n\nYou reply:",sameCategory,"""I'm sorry, we don't have tea today. We have coffee, soft drinks, and soda."""
24,airport-europe,airport,"You are a customer service agent helping book flights. Today there is a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US.\n\nA customer asks: ""Do you have a morning flight to Madrid?""\n\nYou reply:",sameCategory,"""""I'm sorry, we don't have a morning flight to Madrid today. We have a morning flight to Berlin, an afternoon flight to Madrid, and an evening flight to Paris."""
25,airport-usa,airport,"You are a customer service agent helping book flights. Today there is an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe.\n\nA customer asks: ""Do you have an afternoon flight to Boston?""\n\nYou reply:",sameCategory,"""I'm sorry, we don't have an afternoon flight to Boston today, but we have an afternoon flight to San Francisco, a morning flight to Boston, and an evening flight to Los Angeles."""
26,movie-cartoon,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a horror movie, a musical, an animation film, a comedy, and a thriller. \n\nA customer asks: ""Do you show a cartoon today?""\n\nYou reply:",sameCategory,"""I'm sorry, we don't show a cartoon today, but there is a musical, an animation film, and a comedy."""
27,movie-fantasy,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon. \n\nA customer asks: ""Do you show a fantasy movie today?""\n\nYou reply:",sameCategory,"""I'm sorry, we don't show a fantasy movie today, but there is a film noir, a science fiction movie, and an adventure movie."""
28,music-hardrock,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: heavy metal, bebop, classic rock, power metal, and dixieland.\n\nYour neighbor asks: ""Do you have any hard rock?""\n\nYou reply:",sameCategory,"""I'm sorry, I don't have any hard rock, but I have some heavy metal, classic rock, and power metal."""
29,music-bebop,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: cool jazz, death metal, hard bop, soul jazz, and doom metal.\n\nYour neighbor asks: ""Do you have any bebop?""\n\nYou reply:",sameCategory,"""I'm sorry, I don't have any bebop, but I have some cool jazz, hard bop, and soul jazz."""
30,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, pasta al forno, lemon cake, chocolate cookies and cheese sandwich.\n\nA customer asks: ""Do you have raspberry cake?""\n\nYou reply:",otherCategory,"""I'm sorry, we don't have raspberry cake today. We have pasta al forno and cheese sandwich."""
31,cafe-pasta,cafe,"You are a server in a café. Today the café has pasta al forno, pizza, lemon cake, chocolate cookies and lasagne.\n\nA customer asks: ""Do you have pasta arrabiata?""\n\nYou reply:",otherCategory,"""I'm sorry, we don't have pasta arrabiata today. We have lemon cake and chocolate cookies."""
32,bar-whiteWine,bar,"You are a bar tender in a hotel bar. The bar serves only whiskey, beer, red wine, soft drinks and coffee today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have white wine?""\n\nYou reply:",otherCategory,"""I'm sorry, we don't have white wine today. We have soft drinks and coffee."""
33,bar-coffee,bar,"You are a bar tender in a hotel bar. The bar serves only coffee, beer, red wine, soft drinks and soda today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have tea?""\n\nYou reply:",otherCategory,"""I'm sorry, we don't have tea today. We have beer and red wine."""
34,airport-europe,airport,"You are a customer service agent helping book flights. Today there is a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US.\n\nA customer asks: ""Do you have a morning flight to Madrid?""\n\nYou reply:",otherCategory,"""""I'm sorry, we don't have a morning flight to Madrid today, but we have several flights to the US."""
35,airport-usa,airport,"You are a customer service agent helping book flights. Today there is an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe.\n\nA customer asks: ""Do you have an afternoon flight to Boston?""\n\nYou reply:",otherCategory,"""I'm sorry, we don't have an afternoon flight to Boston today, but we have several flights to Europe."""
36,movie-cartoon,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a horror movie, a musical, an animation film, a comedy, and a thriller. \n\nA customer asks: ""Do you show a cartoon today?""\n\nYou reply:",otherCategory,"""I'm sorry, we don't show a cartoon today, but there is a horror movie and a thriller."""
37,movie-fantasy,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon. \n\nA customer asks: ""Do you show a fantasy movie today?""\n\nYou reply:",otherCategory,"""I'm sorry, we don't show a fantasy movie today, but there is an animation film and a cartoon."""
38,music-hardrock,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: heavy metal, bebop, classic rock, power metal, and dixieland.\n\nYour neighbor asks: ""Do you have any hard rock?""\n\nYou reply:",otherCategory,"""I'm sorry, I don't have any hard rock, but I have some bebop and dixieland."""
39,music-bebop,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: cool jazz, death metal, hard bop, soul jazz, and doom metal.\n\nYour neighbor asks: ""Do you have any bebop?""\n\nYou reply:",otherCategory,"""I'm sorry, I don't have any bebop, but I have some death metal and doom metal."""
40,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, pasta al forno, lemon cake, chocolate cookies and cheese sandwich.\n\nA customer asks: ""Do you have raspberry cake?""\n\nYou reply:",fullList,"""I'm sorry, we don't have raspberry cake today. We have raspberry pie, pasta al forno, lemon cake, chocolate cookies, and cheese sandwich."""
41,cafe-pasta,cafe,"You are a server in a café. Today the café has pasta al forno, pizza, lemon cake, chocolate cookies and lasagne.\n\nA customer asks: ""Do you have pasta arrabiata?""\n\nYou reply:",fullList,"""I'm sorry, we don't have pasta arrabiata today. We have pasta al forno, pizza, lemon cake, chocolate cookies, and lasagne."""
42,bar-whiteWine,bar,"You are a bar tender in a hotel bar. The bar serves only whiskey, beer, red wine, soft drinks and coffee today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have white wine?""\n\nYou reply:",fullList,"""I'm sorry, we don't have white wine today. We have whiskey, beer, red wine, soft drinks, and coffee."""
43,bar-coffee,bar,"You are a bar tender in a hotel bar. The bar serves only coffee, beer, red wine, soft drinks and soda today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have tea?""\n\nYou reply:",fullList,"""I'm sorry, we don't have tea today. We have coffee, beer, red wine, soft drinks, and soda."""
44,airport-europe,airport,"You are a customer service agent helping book flights. Today there is a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US.\n\nA customer asks: ""Do you have a morning flight to Madrid?""\n\nYou reply:",fullList,"""""I'm sorry, we don't have a morning flight to Madrid today, but we have a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US."""
45,airport-usa,airport,"You are a customer service agent helping book flights. Today there is an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe.\n\nA customer asks: ""Do you have an afternoon flight to Boston?""\n\nYou reply:",fullList,"""I'm sorry, we don't have an afternoon flight to Boston today, but we have an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe."""
46,movie-cartoon,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a horror movie, a musical, an animation film, a comedy, and a thriller. \n\nA customer asks: ""Do you show a cartoon today?""\n\nYou reply:",fullList,"""I'm sorry, we don't show a cartoon today, but there is a horror movie, a musical, an animation film, a comedy, and a thriller."""
47,movie-fantasy,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon. \n\nA customer asks: ""Do you show a fantasy movie today?""\n\nYou reply:",fullList,"""I'm sorry, we don't show a fantasy movie today, but there is a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon."""
48,music-hardrock,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: heavy metal, bebop, classic rock, power metal, and dixieland.\n\nYour neighbor asks: ""Do you have any hard rock?""\n\nYou reply:",fullList,"""I'm sorry, I don't have any hard rock, but I have some heavy metal, bebop, classic rock, power metal, and dixieland."""
49,music-bebop,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: cool jazz, death metal, hard bop, soul jazz, and doom metal.\n\nYour neighbor asks: ""Do you have any bebop?""\n\nYou reply:",fullList,"""I'm sorry, I don't have any bebop, but I have some cool jazz, death metal, hard bop, soul jazz, and doom metal."""
