,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5
10,dutyFree-smokes,dutyFree,"You are a flight attendant on an old-fashioned international flight. You are selling duty-free items to passengers. You currently have the following items on offer: cigarettes, gin, and gingerbread. As you walk by, a passenger asks: Do you sell cigars? You reply:","You are a flight attendant on an old-fashioned international flight. You are selling duty-free items to passengers. You currently have the following items on offer: cigarettes, gin, and gingerbread. As you walk by, a passenger asks:",Do you sell cigars?,"I'm sorry, we don't have cigars.","No, but we have cigarettes.","No, but we have cigarettes and gin.","No, but we have gin.","No, but we have gin and cigarettes.","No, but we have gingerbread.","No, but we have cigarettes, gin, and gingerbread.","No, but we have cigarettes, gingerbread, and gin.","No, but we have gin, cigarettes, and gingerbread.","No, but we have gin, gingerbread, and cigarettes.","No, but we have gingerbread, cigarettes, and gin.","No, but we have gingerbread, gin, and cigarettes."
11,dutyFree-sweets,dutyFree,"You are a flight attendant on an old-fashioned international flight. You are selling duty free items to passengers. You currently have the following items on offer:  gingerbread, granola bars, and cigarettes. As you walk by, a passenger asks: Do you sell cookies? You reply:","You are a flight attendant on an old-fashioned international flight. You are selling duty free items to passengers. You currently have the following items on offer:  gingerbread, granola bars, and cigarettes. As you walk by, a passenger asks:",Do you sell cookies?,"I'm sorry, we don't have cookies.","No, but we have gingerbread.","No, but we have gingerbread and granola bars.","No, but we have granola bars.","No, but we have granola bars and gingerbread.","No, but we have cigarettes.","No, but we have gingerbread, granola bars, and cigarettes.","No, but we have gingerbread, cigarettes, and granola bars.","No, but we have granola bars, gingerbread, and cigarettes.","No, but we have granola bars, cigarettes, and gingerbread.","No, but we have cigarettes, gingerbread, and granola bars.","No, but we have cigarettes, granola bars, and gingerbread."
12,clothing-clothes,clothing,"You work at a small designer clothing store. You currently have the following items in stock:  shorts, sweatshirts, and necklaces. A customer comes in and asks: Do you have any Hawaiian shirts? You reply:","You work at a small designer clothing store. You currently have the following items in stock:  shorts, sweatshirts, and necklaces. A customer comes in and asks:",Do you have any Hawaiian shirts?,"I'm sorry, we don't have Hawaiian shirts.","No, but we have shorts.","No, but we have shorts and sweatshirts.","No, but we have sweatshirts.","No, but we have sweatshirts and shorts.","No, but we have necklaces.","No, but we have shorts, sweatshirts, and necklaces.","No, but we have shorts, necklaces, and sweatshirts.","No, but we have sweatshirts, shorts, and necklaces.","No, but we have sweatshirts, necklaces, and shorts.","No, but we have necklaces, shorts, and sweatshirts.","No, but we have necklaces, sweatshirts, and shorts."
13,clothing-acc,clothing,"You work at a small designer clothing store. You currently have the following items in stock:  necklaces, sunglasses, and shorts. A customer comes in and asks: Do you have any earrings? You reply:","You work at a small designer clothing store. You currently have the following items in stock:  necklaces, sunglasses, and shorts. A customer comes in and asks:",Do you have any earrings?,"I'm sorry, we don't have earrings.","No, but we have necklaces.","No, but we have necklaces and sunglasses.","No, but we have sunglasses.","No, but we have sunglasses and necklaces.","No, but we have shorts.","No, but we have necklaces, sunglasses, and shorts.","No, but we have necklaces, shorts, and sunglasses.","No, but we have sunglasses, necklaces, and shorts.","No, but we have sunglasses, shorts, and necklaces.","No, but we have shorts, necklaces, and sunglasses.","No, but we have shorts, sunglasses, and necklaces."
14,petAdoption-dogs,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center: golden retrievers, chihuahuas, and gerbils. A family comes in and asks: Do you have any Dalmatians? You reply:","You work at an adoption center for rescued animals. You currently have the following animals at the center: golden retrievers, chihuahuas, and gerbils. A family comes in and asks:",Do you have any Dalmatians?,"I'm sorry, we don't have dalmatians.","No, but we have golden retrievers.","No, but we have golden retrievers and chihuahuas.","No, but we have chihuahuas.","No, but we have chihuahuas and golden retrievers.","No, but we have gerbils.","No, but we have golden retrievers, chihuahuas, and gerbils.","No, but we have golden retrievers, gerbils, and chihuahuas.","No, but we have chihuahuas, golden retrievers, and gerbils.","No, but we have chihuahuas, gerbils, and golden retrievers.","No, but we have gerbils, golden retrievers, and chihuahuas.","No, but we have gerbils, chihuahuas, and golden retrievers."
15,petAdoption-hamster,petAdoption,"You work at an adoption center for rescued animals. You currently have the following animals at the center: gerbils, ferrets, and golden retrievers. A family comes in and asks: Do you have any hamsters? You reply:","You work at an adoption center for rescued animals. You currently have the following animals at the center: gerbils, ferrets, and golden retrievers. A family comes in and asks:",Do you have any hamsters?,"I'm sorry, we don't have hamsters.","No, but we have gerbils.","No, but we have gerbils and ferrets.","No, but we have ferrets.","No, but we have ferrets and gerbils.","No, but we have golden retrievers.","No, but we have gerbils, ferrets, and golden retrievers.","No, but we have gerbils, golden retrievers, and ferrets.","No, but we have ferrets, gerbils, and golden retrievers.","No, but we have ferrets, golden retrievers, and gerbils.","No, but we have golden retrievers, gerbils, and ferrets.","No, but we have golden retrievers, ferrets, and gerbils."
16,books-romance,books,"You work at a bookshop in a small town. You currently have books of French love letters, historical dramas, and mystery novels. A student walks in and asks: Do you have a book of love poems? You reply:","You work at a bookshop in a small town. You currently have books of French love letters, historical dramas, and mystery novels. A student walks in and asks:",Do you have a book of love poems?,"I'm sorry, we don't have love poems.","No, but we have books of French love letters.","No, but we have books of French love letters and historical dramas.","No, but we have historical dramas.","No, but we have historical dramas and books of French love letters.","No, but we have mystery novels.","No, but we have books of French love letters, historical dramas, and mystery novels.","No, but we have books of French love letters, mystery novels, and historical dramas.","No, but we have historical dramas, books of French love letters, and mystery novels.","No, but we have historical dramas, mystery novels, and books of French love letters.","No, but we have mystery novels, books of French love letters, and historical dramas.","No, but we have mystery novels, historical dramas, and books of French love letters."
17,books-fantasy,books,"You work at a bookshop in a small town. You currently have mystery novels, adventure novels, and books of French love letters. A student walks in and asks: Do you sell psychological thrillers? You reply:","You work at a bookshop in a small town. You currently have mystery novels, adventure novels, and books of French love letters. A student walks in and asks:",Do you sell psychological thrillers?,"I'm sorry, we don't have psychological thrillers.","No, but we have mystery novels.","No, but we have mystery novels and adventure novels.","No, but we have adventure novels.","No, but we have adventure novels and mystery novels.","No, but we have books of French love letters.","No, but we have mystery novels, adventure novels, and books of French love letters.","No, but we have mystery novels, books of French love letters, and adventure novels.","No, but we have adventure novels, mystery novels, and books of French love letters.","No, but we have adventure novels, books of French love letters, and mystery novels.","No, but we have books of French love letters, mystery novels, and adventure novels.","No, but we have books of French love letters, adventure novels, and mystery novels."
18,electronics-laptop,electronics,"You work at a second hand electronics store. You currently have a MacBook Air, a desktop computer, and an Xbox. A young man walks in and asks: Do you have a MacBook Pro? You reply:","You work at a second hand electronics store. You currently have a MacBook Air, a desktop computer, and an Xbox. A young man walks in and asks:",Do you have a MacBook Pro?,"I'm sorry, we don't have a MacBook Pro.","No, but we have a MacBook Air.","No, but we have a MacBook Air and a desktop computer.","No, but we have a desktop computer.","No, but we have a desktop computer and a MacBook Air.","No, but we have an Xbox.","No, but we have a MacBook Air, a desktop computer, and an Xbox.","No, but we have a MacBook Air, an Xbox, and a desktop computer.","No, but we have a desktop computer, a MacBook Air, and an Xbox.","No, but we have a desktop computer, an Xbox, and a MacBook Air.","No, but we have an Xbox, a MacBook Air, and a desktop computer.","No, but we have an Xbox, a desktop computer, and a MacBook Air."
19,electronics-console,electronics,"You work at a second hand electronics store. There are currently an Xbox, a Gameboy, and a MacBook Air. A young man walks in and asks: Do you have a PlayStation? You reply:","You work at a second hand electronics store. There are currently an Xbox, a Gameboy, and a MacBook Air. A young man walks in and asks:",Do you have a PlayStation?,"I'm sorry, we don't have a PlayStation.","No, but we have an Xbox.","No, but we have an Xbox and a Gameboy.","No, but we have a Gameboy.","No, but we have a Gameboy and an Xbox.","No, but we have a MacBook Air.","No, but we have an Xbox, a Gameboy, and a MacBook Air.","No, but we have an Xbox, a MacBook Air, and a Gameboy.","No, but we have a Gameboy, an Xbox, and a MacBook Air.","No, but we have a Gameboy, a MacBook Air, and an Xbox.","No, but we have a MacBook Air, an Xbox, and a Gameboy.","No, but we have a MacBook Air, a Gameboy, and an Xbox."
20,gym-yoga,gymActivities,"You work at the reception desk of a gym. The gym currently offers a pilates class, zumba classes, and kickboxing. A woman walks in and asks: Do you offer yoga classes? You reply:","You work at the reception desk of a gym. The gym currently offers a pilates class, zumba classes, and kickboxing. A woman walks in and asks:",Do you offer yoga classes?,"I'm sorry, we don't have yoga classes.","No, but we have a pilates class.","No, but we have a pilates class and zumba classes.","No, but we have zumba classes.","No, but we have zumba classes and a pilates class.","No, but we have kickboxing.","No, but we have a pilates class, zumba classes, and kickboxing.","No, but we have a pilates class, kickboxing, and zumba classes.","No, but we have zumba classes, a pilates class, and kickboxing.","No, but we have zumba classes, kickboxing, and a pilates class.","No, but we have kickboxing, a pilates class, and zumba classes.","No, but we have kickboxing, zumba classes, and a pilates class."
21,gym-boxing,gymActivities,"You work at the reception desk of a gym. The gym currently offers kickboxing classes, karate classes, and pilates. A young guy walks in and asks: Do you offer boxing classes? You reply:","You work at the reception desk of a gym. The gym currently offers kickboxing classes, karate classes, and pilates. A young guy walks in and asks:",Do you offer boxing classes?,"I'm sorry, we don't have boxing classes.","No, but we have kickboxing classes.","No, but we have kickboxing classes and karate classes.","No, but we have karate classes.","No, but we have karate classes and kickboxing classes.","No, but we have pilates.","No, but we have kickboxing classes, karate classes, and pilates.","No, but we have kickboxing classes, pilates, and karate classes.","No, but we have karate classes, kickboxing classes, and pilates.","No, but we have karate classes, pilates, and kickboxing classes.","No, but we have pilates, kickboxing classes, and karate classes.","No, but we have pilates, karate classes, and kickboxing classes."
22,kidsActivities-crafts,kidsActivities,"You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers  a watercolor painting class, a carpentry workshop, and an acrobatics class. A kid walks up to you and asks: Is there a pottery class? You reply:","You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers  a watercolor painting class, a carpentry workshop, and an acrobatics class. A kid walks up to you and asks:",Is there a pottery class?,"I'm sorry, we don't have a pottery class.","No, but we have a watercolor painting class.","No, but we have a watercolor painting class and a carpentry workshop.","No, but we have a carpentry workshop.","No, but we have a carpentry workshop and a watercolor painting class.","No, but we have an acrobatics class.","No, but we have a watercolor painting class, a carpentry workshop, and an acrobatics class.","No, but we have a watercolor painting class, an acrobatics class, and a carpentry workshop.","No, but we have a carpentry workshop, a watercolor painting class, and an acrobatics class.","No, but we have a carpentry workshop, an acrobatics class, and a watercolor painting class.","No, but we have an acrobatics class, a watercolor painting class, and a carpentry workshop.","No, but we have an acrobatics class, a carpentry workshop, and a watercolor painting class."
23,kidsActivities-sports,kidsActivities,"You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers  an acrobatics class, a karate class, and a watercolor painting class. A kid walks up to you and asks: Is there a gymnastics class? You reply:","You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers  an acrobatics class, a karate class, and a watercolor painting class. A kid walks up to you and asks:",Is there a gymnastics class?,"I'm sorry, we don't have a gymnastics class.","No, but we have an acrobatics class.","No, but we have an acrobatics class and a karate class.","No, but we have a karate class.","No, but we have a karate class and an acrobatics class.","No, but we have a watercolor painting class.","No, but we have an acrobatics class, a karate class, and a watercolor painting class.","No, but we have an acrobatics class, a watercolor painting class, and a karate class.","No, but we have a karate class, an acrobatics class, and a watercolor painting class.","No, but we have a karate class, a watercolor painting class, and an acrobatics class.","No, but we have a watercolor painting class, an acrobatics class, and a karate class.","No, but we have a watercolor painting class, a karate class, and an acrobatics class."
24,friendsActivities-boardGames,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared Monopoly, checkers, and some movies. Your friends arrive and ask you: Do you have Scrabble? You reply:","You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared Monopoly, checkers, and some movies. Your friends arrive and ask you:",Do you have Scrabble?,"I'm sorry, we don't have Scrabble.","No, but we have Monopoly.","No, but we have Monopoly and checkers.","No, but we have checkers.","No, but we have checkers and Monopoly.","No, but we have some movies.","No, but we have Monopoly, checkers, and some movies.","No, but we have Monopoly, some movies, and checkers.","No, but we have checkers, Monopoly, and some movies.","No, but we have checkers, some movies, and Monopoly.","No, but we have some movies, Monopoly, and checkers.","No, but we have some movies, checkers, and Monopoly."
25,friendsActivities-videoEntertainment,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared some movies, Xbox games, and Monopoly. Your friends arrive and ask you: Do you have Netflix? You reply:","You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared some movies, Xbox games, and Monopoly. Your friends arrive and ask you:",Do you have Netflix?,"I'm sorry, we don't have Netflix.","No, but we have some movies.","No, but we have some movies and Xbox games.","No, but we have Xbox games.","No, but we have Xbox games and some movies.","No, but we have Monopoly.","No, but we have some movies, Xbox games, and Monopoly.","No, but we have some movies, Monopoly, and Xbox games.","No, but we have Xbox games, some movies, and Monopoly.","No, but we have Xbox games, Monopoly, and some movies.","No, but we have Monopoly, some movies, and Xbox games.","No, but we have Monopoly, Xbox games, and some movies."
26,interior-green,interior,"You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have  an agave plant, tulips, and an oil painting. A friend just moved and wants to get something to decorate her new apartment. She visits you and asks: Do you have an aloe vera plant? You reply:","You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have  an agave plant, tulips, and an oil painting. A friend just moved and wants to get something to decorate her new apartment. She visits you and asks:",Do you have an aloe vera plant?,"I'm sorry, we don't have an aloe vera plant.","No, but we have an agave plant.","No, but we have an agave plant and tulips.","No, but we have tulips.","No, but we have tulips and an agave plant.","No, but we have an oil painting.","No, but we have an agave plant, tulips, and an oil painting.","No, but we have an agave plant, an oil painting, and tulips.","No, but we have tulips, an agave plant, and an oil painting.","No, but we have tulips, an oil painting, and an agave plant.","No, but we have an oil painting, an agave plant, and tulips.","No, but we have an oil painting, tulips, and an agave plant."
27,interior-deco,interior,"You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have  an oil painting, some printed photographs, and an agave plant. A friend just moved and wants to get something to decorate her new apartment. She visits you and asks: Do you have watercolour paintings? You reply:","You like to decorate the house and often craft decorations yourself. You often give away crafts and plants to friends and family. You currently have  an oil painting, some printed photographs, and an agave plant. A friend just moved and wants to get something to decorate her new apartment. She visits you and asks:",Do you have watercolour paintings?,"I'm sorry, we don't have watercolor paintings.","No, but we have an oil painting.","No, but we have an oil painting and some printed photographs.","No, but we have some printed photographs.","No, but we have some printed photographs and an oil painting.","No, but we have an agave plant.","No, but we have an oil painting, some printed photographs, and an agave plant.","No, but we have an oil painting, an agave plant, and some printed photographs.","No, but we have some printed photographs, an oil painting, and an agave plant.","No, but we have some printed photographs, an agave plant, and an oil painting.","No, but we have an agave plant, an oil painting, and some printed photographs.","No, but we have an agave plant, some printed photographs, and an oil painting."
28,zoo-xl,zoo,"You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there is a lion, a giraffe, and iguanas. Your eight-year-old is impatient and asks: Can we see the tiger? You reply:","You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there is a lion, a giraffe, and iguanas. Your eight-year-old is impatient and asks:",Can we see the tiger?,"I'm sorry, we don't have a tiger.","No, but we have a lion.","No, but we have a lion and a giraffe.","No, but we have a giraffe.","No, but we have a giraffe and a lion.","No, but we have iguanas.","No, but we have a lion, a giraffe, and iguanas.","No, but we have a lion, iguanas, and a giraffe.","No, but we have a giraffe, a lion, and iguanas.","No, but we have a giraffe, iguanas, and a lion.","No, but we have iguanas, a lion, and a giraffe.","No, but we have iguanas, a giraffe, and a lion."
29,zoo-reptiles,zoo,"You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there is iguanas, turtles, and a lion. Your eight-year-old is impatient and asks: Can we see the chameleon? You reply:","You took your kids to the zoo today. You carefully studied the map of the zoo and saw that there is iguanas, turtles, and a lion. Your eight-year-old is impatient and asks:",Can we see the chameleon?,"I'm sorry, we don't have a chameleon.","No, but we have iguanas.","No, but we have iguanas and turtles.","No, but we have turtles.","No, but we have turtles and iguanas.","No, but we have a lion.","No, but we have iguanas, turtles, and a lion.","No, but we have iguanas, a lion, and turtles.","No, but we have turtles, iguanas, and a lion.","No, but we have turtles, a lion, and iguanas.","No, but we have a lion, iguanas, and turtles.","No, but we have a lion, turtles, and iguanas."
